,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Perm Id,Country of Headquarters
343,ACLJ.J,0.14,2002-12-31T00:00:00Z,,
344,ACLJ.J,0.11,2002-12-31T00:00:00Z,5001196565,
345,ACLJ.J,0.09,2002-12-31T00:00:00Z,5000064072,
346,ACLJ.J,0.03,2002-12-31T00:00:00Z,5001449682,
347,ACLJ.J,0.02,2002-12-31T00:00:00Z,5001196700,
348,ACLJ.J,0.02,2002-12-31T00:00:00Z,,
349,ACLJ.J,0.01,2002-12-31T00:00:00Z,5001211262,
350,ACLJ.J,0.01,2002-12-31T00:00:00Z,4298409344,
351,ACLJ.J,0.0046,2002-12-31T00:00:00Z,5000749182,
352,ACLJ.J,0.0009,2002-12-31T00:00:00Z,5000313307,
353,ACLJ.J,0.0,2001-09-02T00:00:00Z,,
354,ACLJ.J,0.0,2001-09-02T00:00:00Z,5000854298,
355,ACLJ.J,0.0,2002-12-29T00:00:00Z,5055414090,
356,ACLJ.J,0.0,2001-09-02T00:00:00Z,4297636693,
357,ACLJ.J,0.0,2001-09-02T00:00:00Z,,
358,ACLJ.J,0.0,2001-09-02T00:00:00Z,4297902883,
359,ACLJ.J,0.0,2002-06-30T00:00:00Z,4298459126,
360,ACLJ.J,0.0,2001-03-31T00:00:00Z,4297908191,
361,ACLJ.J,0.0,2002-09-30T00:00:00Z,4296293277,
362,ACLJ.J,0.0,2001-03-31T00:00:00Z,,
363,ACLJ.J,0.0,2002-06-30T00:00:00Z,,
364,ACLJ.J,0.0,2001-09-30T00:00:00Z,4296555936,
365,ACLJ.J,,,,
366,ACLJ.J,,,,
367,ACLJ.J,,,,
368,ACLJ.J,,,,
369,ACLJ.J,,,,
370,ACLJ.J,,,,
371,ACLJ.J,,,,
372,ACLJ.J,,,,
373,ACLJ.J,0.46,2001-12-31T00:00:00Z,,
374,ACLJ.J,0.32,2001-12-31T00:00:00Z,4296293277,
375,ACLJ.J,0.32,2001-12-31T00:00:00Z,4298459126,
376,ACLJ.J,0.14,2001-12-31T00:00:00Z,,
377,ACLJ.J,0.03,2001-06-30T00:00:00Z,,
378,ACLJ.J,0.01,2001-12-31T00:00:00Z,5000313307,
379,ACLJ.J,0.0012,2001-12-31T00:00:00Z,,
380,ACLJ.J,0.0,2001-09-02T00:00:00Z,,
381,ACLJ.J,0.0,2001-09-02T00:00:00Z,5000854298,
382,ACLJ.J,0.0,2001-09-02T00:00:00Z,4297636693,
383,ACLJ.J,0.0,2001-09-02T00:00:00Z,5001449709,
384,ACLJ.J,0.0,2001-09-02T00:00:00Z,,
385,ACLJ.J,0.0,2001-09-02T00:00:00Z,4297902883,
386,ACLJ.J,0.0,2000-12-31T00:00:00Z,,
387,ACLJ.J,0.0,2001-03-31T00:00:00Z,4297908191,
388,ACLJ.J,0.0,2000-09-30T00:00:00Z,,
389,ACLJ.J,0.0,2001-12-31T00:00:00Z,4298409344,
390,ACLJ.J,0.0,2000-06-30T00:00:00Z,,
391,ACLJ.J,0.0,2001-03-31T00:00:00Z,,
392,ACLJ.J,0.0,2001-12-31T00:00:00Z,5000064072,
393,ACLJ.J,0.0,2001-09-30T00:00:00Z,4296555936,
394,ACLJ.J,0.0,2000-09-30T00:00:00Z,5000152801,
395,ACLJ.J,,,,
396,ACLJ.J,,,,
397,ACLJ.J,,,,
398,ACLJ.J,,,,
399,ACLJ.J,,,,
400,ACLJ.J,,,,
401,ACLJ.J,,,,
402,ACLJ.J,,,,
403,ACLJ.J,,,,
404,ACLJ.J,,,,
405,ACLJ.J,,,,
406,ACLJ.J,,,,
407,ACLJ.J,,,,
408,ACLJ.J,,,,
409,ACLJ.J,,,,
410,ACLJ.J,,,,
411,ACLJ.J,43.14,2000-11-30T00:00:00Z,5000854298,
412,ACLJ.J,12.21,2000-11-30T00:00:00Z,5001449709,
413,ACLJ.J,12.02,2000-11-30T00:00:00Z,4297902883,
414,ACLJ.J,2.77,2000-11-30T00:00:00Z,4297636693,
415,ACLJ.J,1.73,2000-11-30T00:00:00Z,,
416,ACLJ.J,0.77,2000-12-31T00:00:00Z,4296293277,
417,ACLJ.J,0.4275,1999-12-31T00:00:00Z,5001218765,
418,ACLJ.J,0.42,2000-12-31T00:00:00Z,,
419,ACLJ.J,0.39,2000-12-31T00:00:00Z,4296555936,
420,ACLJ.J,0.36,2000-09-30T00:00:00Z,,
421,ACLJ.J,0.04,2000-12-31T00:00:00Z,,
422,ACLJ.J,0.01,2000-12-31T00:00:00Z,5000313307,
423,ACLJ.J,0.0002,2000-12-31T00:00:00Z,4297908191,
424,ACLJ.J,0.0,1999-12-31T00:00:00Z,,
425,ACLJ.J,0.0,2000-12-31T00:00:00Z,,
426,ACLJ.J,0.0,2000-12-31T00:00:00Z,4298459126,
427,ACLJ.J,0.0,2000-09-30T00:00:00Z,,
428,ACLJ.J,0.0,2000-12-31T00:00:00Z,4298409344,
429,ACLJ.J,0.0,2000-09-30T00:00:00Z,,
430,ACLJ.J,0.0,2000-06-30T00:00:00Z,,
431,ACLJ.J,0.0,2000-09-30T00:00:00Z,,
432,ACLJ.J,0.0,2000-09-30T00:00:00Z,5000152801,
433,ACLJ.J,,,,
434,ACLJ.J,,,,
435,ACLJ.J,,,,
436,ACLJ.J,,,,
437,ACLJ.J,,,,
438,ACLJ.J,,,,
439,ACLJ.J,,,,
440,ACLJ.J,,,,
441,ACLJ.J,,,,
442,ACLJ.J,,,,
443,ACLJ.J,,,,
444,ACLJ.J,,,,
445,ACLJ.J,,,,
446,ACLJ.J,,,,
447,ACLJ.J,,,,
448,ACLJ.J,,,,
449,ACTJ.J,7.0,2002-12-27T00:00:00Z,,South Africa
450,ACTJ.J,0.378,2002-12-27T00:00:00Z,5055409332,
451,ACTJ.J,0.204,2002-12-27T00:00:00Z,,
452,ACTJ.J,0.053,2002-12-27T00:00:00Z,,
453,ACTJ.J,0.045,2002-12-27T00:00:00Z,,
454,ACTJ.J,0.039,2002-12-27T00:00:00Z,,
455,ACTJ.J,0.031,2002-12-27T00:00:00Z,48471686148,
456,ACTJ.J,0.028,2002-12-27T00:00:00Z,,
457,ACTJ.J,0.027,2002-12-27T00:00:00Z,,
458,ACTJ.J,0.023,2002-12-27T00:00:00Z,,
459,ACTJ.J,0.021,2002-12-27T00:00:00Z,,
460,ACTJ.J,0.021,2002-12-27T00:00:00Z,,
461,ACTJ.J,0.019,2002-12-27T00:00:00Z,,
462,ACTJ.J,0.018,2002-12-27T00:00:00Z,,
463,ACTJ.J,0.017,2002-12-27T00:00:00Z,,
464,ACTJ.J,0.016,2002-12-27T00:00:00Z,,
465,ACTJ.J,0.016,2002-12-27T00:00:00Z,48471689753,
466,ACTJ.J,0.013,2002-12-27T00:00:00Z,,
467,ACTJ.J,0.0,2002-06-30T00:00:00Z,48471669567,
468,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
469,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
470,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
471,ACTJ.J,0.0,2002-09-29T00:00:00Z,,
472,ACTJ.J,0.0,2002-12-29T00:00:00Z,,
473,ACTJ.J,0.0,2002-12-29T00:00:00Z,,
474,ACTJ.J,0.0,2002-12-29T00:00:00Z,,
475,ACTJ.J,0.0,2002-06-30T00:00:00Z,34421558832,
476,ACTJ.J,0.0,2002-12-29T00:00:00Z,,
477,ACTJ.J,0.0,2001-04-02T00:00:00Z,,
478,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
479,ACTJ.J,0.0,2002-09-29T00:00:00Z,,
480,ACTJ.J,0.0,2002-06-30T00:00:00Z,48470517922,
481,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
482,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
483,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
484,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
485,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
486,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
487,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
488,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
489,ACTJ.J,0.0,2002-09-29T00:00:00Z,,
490,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
491,ACTJ.J,0.0,2001-04-02T00:00:00Z,5043419846,
492,ACTJ.J,0.0,2002-06-30T00:00:00Z,,
493,ACTJ.J,0.0,2002-12-29T00:00:00Z,5043432161,
494,ACTJ.J,0.0,2001-04-02T00:00:00Z,4295882969,
495,ACTJ.J,0.0,2002-06-30T00:00:00Z,4297902883,
496,ACTJ.J,,,,
497,ACTJ.J,,,,
498,ACTJ.J,0.351,2001-12-31T00:00:00Z,4297902883,
499,ACTJ.J,0.104,2001-12-31T00:00:00Z,,
500,ACTJ.J,0.081,2001-12-31T00:00:00Z,,
501,ACTJ.J,0.044,2001-12-31T00:00:00Z,,
502,ACTJ.J,0.038,2001-12-31T00:00:00Z,48470517922,
503,ACTJ.J,0.037,2001-12-31T00:00:00Z,,
504,ACTJ.J,0.032,2001-12-31T00:00:00Z,,
505,ACTJ.J,0.029,2001-12-31T00:00:00Z,,
506,ACTJ.J,0.028,2001-12-31T00:00:00Z,34421558832,
507,ACTJ.J,0.017,2001-12-31T00:00:00Z,,
508,ACTJ.J,0.013,2001-12-31T00:00:00Z,,
509,ACTJ.J,0.009,2001-12-31T00:00:00Z,,
510,ACTJ.J,0.009,2001-12-31T00:00:00Z,,
511,ACTJ.J,0.007,2001-12-31T00:00:00Z,,
512,ACTJ.J,0.007,2001-12-31T00:00:00Z,,
513,ACTJ.J,0.006,2001-12-31T00:00:00Z,,
514,ACTJ.J,0.006,2001-12-31T00:00:00Z,,
515,ACTJ.J,0.005,2001-12-31T00:00:00Z,48471669567,
516,ACTJ.J,0.005,2001-12-31T00:00:00Z,,
517,ACTJ.J,0.005,2001-12-31T00:00:00Z,,
518,ACTJ.J,0.005,2001-12-31T00:00:00Z,,
519,ACTJ.J,0.005,2001-12-31T00:00:00Z,,
520,ACTJ.J,0.0,2001-04-02T00:00:00Z,,
521,ACTJ.J,0.0,2001-04-02T00:00:00Z,5043419846,
522,ACTJ.J,0.0,2000-10-30T00:00:00Z,5000854298,
523,ACTJ.J,0.0,2001-04-02T00:00:00Z,5055409332,
524,ACTJ.J,0.0,2001-04-02T00:00:00Z,,
525,ACTJ.J,0.0,2001-04-02T00:00:00Z,4295882969,
526,ACTJ.J,0.0,2000-09-30T00:00:00Z,,
527,ACTJ.J,,,,
528,ACTJ.J,,,,
529,ACTJ.J,,,,
530,ACTJ.J,,,,
531,ACTJ.J,,,,
532,ACTJ.J,,,,
533,ACTJ.J,,,,
534,ACTJ.J,,,,
535,ACTJ.J,,,,
536,ACTJ.J,,,,
537,ACTJ.J,,,,
538,ACTJ.J,,,,
539,ACTJ.J,,,,
540,ACTJ.J,,,,
541,ACTJ.J,,,,
542,ACTJ.J,,,,
543,ACTJ.J,,,,
544,ACTJ.J,,,,
545,ACTJ.J,,,,
546,ACTJ.J,,,,
547,ACTJ.J,5.369,2000-10-30T00:00:00Z,,
548,ACTJ.J,0.799,2000-10-30T00:00:00Z,5043419846,
549,ACTJ.J,0.731,2000-10-30T00:00:00Z,4297902883,
550,ACTJ.J,0.313,2000-10-30T00:00:00Z,5055409332,
551,ACTJ.J,0.106,2000-10-30T00:00:00Z,,
552,ACTJ.J,0.104,2000-10-30T00:00:00Z,,
553,ACTJ.J,0.053,2000-10-30T00:00:00Z,4295882969,
554,ACTJ.J,0.0,2000-10-30T00:00:00Z,5000854298,
555,ACTJ.J,0.0,2000-09-30T00:00:00Z,,
556,ACTJ.J,,,,
557,ACTJ.J,,,,
558,ACTJ.J,,,,
559,ACTJ.J,,,,
560,ACTJ.J,,,,
561,ACTJ.J,,,,
562,ACTJ.J,,,,
563,ACTJ.J,,,,
564,ACTJ.J,,,,
565,ACTJ.J,,,,
566,ACTJ.J,,,,
567,ACTJ.J,,,,
568,ACTJ.J,,,,
569,ACTJ.J,,,,
570,ACTJ.J,,,,
571,ACTJ.J,,,,
572,ACTJ.J,,,,
573,ACTJ.J,,,,
574,ACTJ.J,,,,
575,ACTJ.J,,,,
576,ACTJ.J,,,,
577,ACTJ.J,,,,
578,ACTJ.J,,,,
579,ACTJ.J,,,,
580,ACTJ.J,,,,
581,ACTJ.J,,,,
582,ACTJ.J,,,,
583,ACTJ.J,,,,
584,ACTJ.J,,,,
585,ACTJ.J,,,,
586,ACTJ.J,,,,
587,ACTJ.J,,,,
588,ACTJ.J,,,,
589,ACTJ.J,,,,
590,ACTJ.J,,,,
591,ACTJ.J,,,,
592,ACTJ.J,,,,
593,ACTJ.J,,,,
594,ACTJ.J,,,,
595,ACTJ.J,,,,
596,ADHJ.J,7.37,2002-12-27T00:00:00Z,5035471517,South Africa
597,ADHJ.J,6.96,2002-12-27T00:00:00Z,5055412328,
598,ADHJ.J,4.23,2002-12-27T00:00:00Z,5055414229,
599,ADHJ.J,3.91,2002-12-27T00:00:00Z,48471687431,
600,ADHJ.J,1.82,2002-12-27T00:00:00Z,34413407318,
601,ADHJ.J,1.61,2002-12-27T00:00:00Z,,
602,ADHJ.J,1.42,2002-12-27T00:00:00Z,5055411662,
603,ADHJ.J,1.22,2002-06-28T00:00:00Z,5055413527,
604,ADHJ.J,1.07,2002-12-27T00:00:00Z,,
605,ADHJ.J,0.98,2002-12-27T00:00:00Z,,
606,ADHJ.J,0.86,2002-12-27T00:00:00Z,5055419078,
607,ADHJ.J,0.76,2002-12-27T00:00:00Z,,
608,ADHJ.J,0.74,2002-12-27T00:00:00Z,5055407743,
609,ADHJ.J,0.69,2002-12-27T00:00:00Z,5055407557,
610,ADHJ.J,0.68,2002-12-27T00:00:00Z,,
611,ADHJ.J,0.5,2002-12-27T00:00:00Z,,
612,ADHJ.J,0.44,2002-12-27T00:00:00Z,,
613,ADHJ.J,0.0,2002-12-29T00:00:00Z,4297021561,
614,ADHJ.J,0.0,2002-03-22T00:00:00Z,5043375791,
615,ADHJ.J,0.0,2001-08-31T00:00:00Z,,
616,ADHJ.J,0.0,2002-12-29T00:00:00Z,34413364468,
617,ADHJ.J,0.0,2002-03-22T00:00:00Z,,
618,ADHJ.J,0.0,2002-03-22T00:00:00Z,,
619,ADHJ.J,0.0,2001-12-31T00:00:00Z,5000854298,
620,ADHJ.J,0.0,2001-12-31T00:00:00Z,5055410695,
621,ADHJ.J,0.0,2002-03-22T00:00:00Z,5055408659,
622,ADHJ.J,0.0,2002-03-22T00:00:00Z,4297902883,
623,ADHJ.J,0.0,2002-06-30T00:00:00Z,5000749182,
624,ADHJ.J,0.0,2002-03-31T00:00:00Z,4298409344,
