,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
0,SMBC.CI,,,,,,Ivory Coast,
1,SACL.ZI,,,,,,Zimbabwe,
2,SEMC.CI,,,,,,United States,
3,ILV.MV,,,,,,United Kingdom,
4,NITL.MV,,,,,,Malawi,
5,TPCC.TZ,,,,,,Germany,
6,ZBFH.ZI,,,,,,Zimbabwe,
7,TTP.TZ,,,,,,Tanzania,
8,TCCL.TZ,,,,,,,
9,FMB.MV,,,,,,Malawi,
10,NBS.MV,,,,,,Malawi,
11,SUNB.MV,,,,,,Malawi,
12,MPICO.MV,,,,,,Malawi,
13,DCB.TZ,,,,,,Tanzania,
14,NMB.TZ,,,,,,Tanzania,
15,COURTVI.LG,,,,,,Nigeria,
16,CRDB.TZ,,,,,,Tanzania,
17,NANG.LZ,,,,,,United Kingdom,
18,PRIM.LZ,,,,,,Zambia,
19,MCNICHO.LG,,,,,,Nigeria,
20,NIC.UG,,,,,,Uganda,
21,BATZ.LZ,0.75,2001-12-31T00:00:00Z,2003708,113,5000064072,United Kingdom,
22,BATZ.LZ,0.0,2001-06-30T00:00:00Z,2006494,113,5000706029,,Emerg. Mkts.
23,BATZ.LZ,,,2005726,107,,,
24,BATZ.LZ,0.17,2000-12-31T00:00:00Z,2006494,107,5000706029,,Emerg. Mkts.
25,BATZ.LZ,0.0,1999-06-30T00:00:00Z,2005726,,5001449043,,
26,BATZ.LZ,,,2003708,113,,,
27,BATZ.LZ,,,,107,,,
28,BATZ.LZ,,,,107,,,
29,BATZ.LZ,,,,107,,,
30,BATZ.LZ,,,,,,,
31,BOAC.CI,,,,,,Morocco,
32,RACPp.J,,,,,,South Africa,
33,LHCJ.J,,,,,,South Africa,
34,TNM.MV,,,,,,Malawi,
35,CRESTA.BT,,,,,,Botswana,
36,UHOMREI.LG,,,,,,Nigeria,
37,DANGCEM.LG,,,,,,Nigeria,
38,MULTITREX.LG,,,,,,Nigeria,
39,RBPJ.J,,,,,,South Africa,
40,NPFMCRF.LG,,,,,,Nigeria,
41,BOABF.CI,,,,,,Morocco,
42,MMPJ.J,,,,,,South Africa,
43,OUTJ.J,,,,,,South Africa,
44,IPFJ.J,,,,,,South Africa,
45,LBTY.NR,,,,,,South Africa,
46,REBJ.J,,,,,,South Africa,
47,COHJ.J,,,,,,South Africa,
48,LETL.BT,,,,,,Botswana,
49,GOLI.MZ,,,,,,Mauritius,
50,BLR.RW,,,,,,Netherlands,
51,MPTJ.J,,,,,,South Africa,
52,TCL.NR,,,,,,Kenya,
53,BUCJ.J,,,,,,South Africa,
54,TEXJ.J,,,,,,South Africa,
55,DIBJ.J,,,,,,South Africa,
56,BOK.RW,,,,,,Rwanda,
57,BRIT.NR,,,,,,Kenya,
58,NAP.BT,,,,,,Botswana,
59,FTAJ.J,,,,,,South Africa,
60,SILPp.NM,,,,,,Namibia,
61,PAL.TZ,,,,,,Tanzania,
62,TERA.MZ,,,,,,Mauritius,
63,CHOPP.BT,,,,,,Botswana,
64,AUSTINLAZ.LG,,,,,,Nigeria,
65,SIT.MZ,,,,,,Mauritius,
66,LKL.NR,,,,,,Kenya,
67,TCPJ.J,,,,,,South Africa,
68,CIC.NR,,,,,,United Kingdom,
69,FNBMIDJ.J,,,,,,,
70,CIM.MZ,,,,,,,
71,DLTJ.J,,,,,,South Africa,
72,NHL.NM,,,,,,Namibia,
73,UMEME.UG,,,,,,Uganda,
74,MDIJ.J,,,,,,South Africa,
75,UCAP.LG,,,,,,Nigeria,
76,AFRIPRU.LG,,,,,,Nigeria,
77,AGR.NM,,,,,,Namibia,
78,ETFSAPJ.J,,,,,,,
79,SHUMBA.BT,,,,,,Botswana,
80,NGPLTJ.J,,,,,,,
81,MLIJ.J,,,,,,United Kingdom,
82,CGP.NM,,,,,,Namibia,
83,HAFR.NR,,,,,,Kenya,
84,ATTJ.J,,,,,,South Africa,
85,ASCJ.J,,,,,,South Africa,
86,APFJ.J,,,,,,South Africa,
87,CWG.LG,,,,,,Nigeria,
88,UCHUMI.UG,,,,,,Kenya,
89,ETFPLDJ.J,,,,,,,
90,NGPLDJ.J,,,,,,,
91,SARJ.J,,,,,,South Africa,
92,ETFPLTJ.J,,,,,,,
93,ETFGLDJ.J,,,,,,,
94,THAJ.J,,,,,,Cyprus,
95,LVLTRXJ.J^H18,,,,,,,
96,DIVTRXJ.J,,,,,,,
97,AVLJ.J,,,,,,South Africa,
98,LOTO.MZ,,,,,,Mauritius,
99,CAVERTON.LG,,,,,,Nigeria,
100,VISJ.J,,,,,,South Africa,
101,MBP.TZ,,,,,,Tanzania,
102,SARE.MZ,,,,,,South Africa,
103,KSTJ.J,,,,,,South Africa,
104,EQUJ.J,,,,,,South Africa,
105,AFHJ.J,,,,,,United States,
106,MAFS.LZ,,,,,,Zambia,
107,NSE.NR,,,,,,Kenya,
108,SWALA.TZ,,,,,,Tanzania,
109,BTCL.BT,,,,,,Botswana,
110,RFGJ.J,,,,,,South Africa,
111,TRANSCOHOT.LG,,,,,,Nigeria,
112,QFHJ.J,,,,,,South Africa,
113,NOV.MZ,,,,,,Mauritius,
114,LIVINGTRUST.LG,,,,,,Nigeria,
115,TTLS.CI,,,,,,France,
116,FTGH.NR,,,,,,Kenya,
117,KCCGLDJ.J,,,,,,,
118,KUR.NR,,,,,,Kenya,
119,MEDVIEWAIR.LG,,,,,,Nigeria,
120,DNBJ.J,,,,,,South Africa,
121,HILJ.J,,,,,,Malta,
122,ACSJ.J,,,,,,South Africa,
123,IMRP7p.J,,,,,,South Africa,
124,BOAS.CI,,,,,,Morocco,
125,NVSJ.J,,,,,,South Africa,
126,MFDG.MZ,,,,,,Mauritius,
127,MKCB.TZ,,,,,,Tanzania,
128,MAC.GH,,,,,,Ghana,
129,IMR.RW,,,,,,Kenya,
130,MCB.TZ,,,,,,Tanzania,
131,INFINITY.LG,,,,,,Nigeria,
132,VALUEFUND.LG,,,,,,Nigeria,
133,UPDCREIT.LG,,,,,,Nigeria,
134,ADB.GH,,,,,,Ghana,
135,BOAM.CI,,,,,,Morocco,
136,CTOP50J.J,,,,,,,
137,IKUL.LZ,,,,,,Zambia,
138,EIZP.LZ,,,,,,Zambia,
139,ILUJ.J,,,,,,South Africa,
140,PROL.ZI,,,,,,Zimbabwe,
141,RENJ.J,,,,,,South Africa,
142,PEMJ.J,,,,,,South Africa,
143,YETU.TZ,,,,,,Tanzania,
144,STANBIC.LG,,,,,,,
145,VETIVA.LG,,,,,,,
146,APL.MZ,,,,,,Mauritius,
147,DCPJ.J,,,,,,,
148,BWNJ.J,,,,,,South Africa,
149,SYGJ.J,,,,,,South Africa,
150,TRLJ.J,,,,,,South Africa,
151,CTAJ.J,,,,,,South Africa,
152,IIL.GH,,,,,,Ghana,
153,NOTORE.LG,,,,,,,
154,SSSJ.J,,,,,,South Africa,
155,SAMBA.GH,,,,,,Ghana,
156,HORDS.GH,,,,,,Ghana,
157,MMH.GH,,,,,,Ghana,
158,MHBJ.J,,,,,,South Africa,
159,ATIL.MZ,,,,,,South Africa,
160,LTEJ.J,,,,,,Malta,
161,FAHR.NR,,,,,,Kenya,
162,ETFRHOJ.J,,,,,,,
163,SNHJ.J,0.0,2001-12-31T00:00:00Z,2003066,113,5000051932,South Africa,
164,SNHJ.J,,,2003066,113,,,
165,SNHJ.J,,,,107,,,
166,SNHJ.J,,,,113,,,
167,SNHJ.J,,,,,,,
168,SNHJ.J,,,,,,,
169,GBFS.ZI,,,,,,Luxembourg,
170,ABCB.MZ,,,,,,Mauritius,
171,VETBANK.LG,,,,,,,
172,VETGOODS.LG,,,,,,,
173,VETINDETF.LG,,,,,,,
174,NRLJ.J,,,,,,South Africa,
175,TAD.MZ,,,,,,Mauritius,
176,DCON.NR,,,,,,Kenya,
177,FPC.BT,,,,,,Botswana,
178,AXIA.ZI,,,,,,Zimbabwe,
179,BIDJ.J,,,,,,South Africa,
180,MUCOBA.TZ,,,,,,Tanzania,
181,NBV.NR,,,,,,United Arab Emirates,
182,NSBC.CI,,,,,,Ivory Coast,
183,DSE.TZ,,,,,,Tanzania,
184,IBLL.MZ,,,,,,Mauritius,
185,EPEJ.J,,,,,,Mauritius,
186,UPL.MZ,,,,,,Mauritius,
187,YYLBEEJ.J,,,,,,South Africa,
188,ACCESS.GH,,,,,,Nigeria,
189,SCRC.CI,,,,,,Ivory Coast,
190,SEAJ.J,,,,,,South Africa,
191,SIBC.CI,,,,,,Morocco,
192,GLPROPJ.J,,,,,,,
193,CBIBF.CI,,,,,,Burkina Faso,
194,TPFJ.J,,,,,,South Africa,
195,VODA.TZ,,,,,,United Kingdom,
196,CQCIL.UG,,,,,,India,
197,L2DJ.J,,,,,,South Africa,
198,TIP.LG,,,,,,Nigeria,
199,DCCUSDJ.J,,,,,,,
200,SHGJ.J,,,,,,South Africa,
201,JAIZBANK.LG,,,,,,Nigeria,
202,STXILBJ.J,,,,,,,
203,STXPROJ.J,,,,,,,
204,PFBJ.J,,,,,,South Africa,
205,MTNGH.GH,,,,,,South Africa,
206,MIN.BT,,,,,,Botswana,
207,BAYP.MZ,,,,,,Mauritius,
208,AILJ.J,,,,,,South Africa,
209,KALJ.J,,,,,,South Africa,
210,NRPJ.J,,,,,,Netherlands,
211,RHBJ.J,,,,,,South Africa,
212,HETJ.J,,,,,,South Africa,
213,STXWDMJ.J,,,,,,,
214,STXEMGJ.J,,,,,,,
215,STX500J.J,,,,,,,
216,FMP.ZI,,,,,,Zimbabwe,
217,ZXSWS.ZX,,,,,,South Africa,
218,ZXSWB.ZX,,,,,,South Africa,
219,ZXTWI.ZX,,,,,,South Africa,
220,FMBCH.MV,,,,,,Malawi,
221,PPHJ.J,,,,,,South Africa,
222,STXQUAJ.J,,,,,,,
223,LHN.NM,,,,,,Botswana,
224,4SIJ.J,,,,,,Mauritius,
225,SDOJ.J,,,,,,South Africa,
226,FNBEQFJ.J,,,,,,,
227,PNH.NM,,,,,,Namibia,
228,SYG500J.J,,,,,,,
229,CCAF.LZ,,,,,,Zambia,
230,DCCUS2J.J,,,,,,,
231,ECOC.CI,,,,,,Togo,
232,GSPECPLC.LG,,,,,,Nigeria,
233,ARIN.MZ,,,,,,Indonesia,
234,CVWJ.J,,,,,,,
235,AYOJ.J,,,,,,South Africa,
236,ZXTIP.ZX,,,,,,South Africa,
237,ETF500J.J,,,,,,,
238,FNBWGBJ.J,,,,,,,
239,STXNDQJ.J,,,,,,,
240,LBRJ.J,,,,,,South Africa,
241,DIGICUT.GH,,,,,,Ghana,
242,FTHJ.J,,,,,,South Africa,
243,AEIBy.MZ,,,,,,Egypt,
244,4ANWKH.4AX,,,,,,South Africa,
245,4AHWP.4AX,,,,,,South Africa,
246,4AASP.4AX,,,,,,South Africa,
247,NFEMODJ.J,,,,,,,
248,NFEHGEJ.J,,,,,,,
249,NFEDEFJ.J,,,,,,,
250,MTNN.LG,,,,,,South Africa,
251,ETFBNDJ.J,,,,,,,
252,NFNAMA.NM,,,,,,,
253,STXGOVJ.J,,,,,,,
254,STXESGJ.J,,,,,,,
255,STXEMEJ.J,,,,,,,
256,MERGROWTH.LG,,,,,,,
257,MERVALUE.LG,,,,,,,
258,SYGESGJ.J,,,,,,,
259,MTNR.RW,,,,,,South Africa,
260,SYGEMFJ.J,,,,,,,
261,STXCAPJ.J,,,,,,,
262,STXNDAJ.J,,,,,,,
263,4AAVC.4AX,,,,,,South Africa,
264,STXHLTJ.J,,,,,,,
265,ETFSRIJ.J,,,,,,,
266,ETFEMAJ.J,,,,,,,
267,BIND.VF,,,,,,United Kingdom,
268,PHL.VF,,,,,,Zimbabwe,
269,SYGSEJ.J,,,,,,,
270,CSGOVIJ.J,,,,,,South Africa,
271,SIM.VF,,,,,,Zimbabwe,
272,NED.VF,,,,,,Zimbabwe,
273,ZZDJ.J,,,,,,South Africa,
274,NTFD.VF,,,,,,Zimbabwe,
275,4AGFR1O.4AX,,,,,,South Africa,
276,GEREGU.LG,,,,,,Nigeria,
277,CAAJ.J,,,,,,South Africa,
278,SREE.MZ,,,,,,Mauritius,
279,ACCESSCORP.LG,,,,,,Nigeria,
280,4ABKB.4AX,,,,,,South Africa,
281,APOJ.J,,,,,,South Africa,
282,TANG.ZI,,,,,,Zimbabwe,
283,BUAFOODS.LG,,,,,,Nigeria,
284,RONCHESS.LG,,,,,,Nigeria,
285,VELG.MZ,,,,,,,
286,ANIJ.J,,,,,,South Africa,
287,MTNU.UG,,,,,,South Africa,
288,MOC.NM,,,,,,Namibia,
289,CTEL.MZ,,,,,,Mauritius,
290,NGXGROUP.LG,,,,,,Nigeria,
291,GTCO.LG,,,,,,Nigeria,
292,TGAJ.J,,,,,,South Africa,
293,SZKJ.J,,,,,,South Africa,
294,BAPLC.LG,,,,,,Nigeria,
295,HBE.NR,,,,,,Kenya,
296,HPL.MZ,,,,,,Mauritius,
297,DASPHARMA.GH,,,,,,Ghana,
298,4AGR1O.4AX,,,,,,South Africa,
299,CMR.RW,,,,,,South Africa,
300,FDHB.MV,,,,,,Malawi,
