		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)
VARIABLES	LABELS	Own Home	Own Home	Own Home	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE
																						
112.investortypedescriptionid	Investor Type Description ID = 112	-0.257*	-0.275**	-0.0300	-0.257*	-0.275**	-0.0300	-0.0999	-0.128	0.0205	-0.0999	-0.128	0.0205	-0.0999	-0.128	0.0205	-0.0999	-0.128	0.0205	-0.139	-0.155	0.0246
		(0.135)	(0.125)	(0.0514)	(0.135)	(0.125)	(0.0514)	(0.134)	(0.123)	(0.0489)	(0.134)	(0.123)	(0.0489)	(0.134)	(0.123)	(0.0489)	(0.134)	(0.123)	(0.0489)	(0.134)	(0.123)	(0.0481)
113.investortypedescriptionid	Investor Type Description ID = 113	-0.280***	-0.265***	-0.0201*	-0.280***	-0.265***	-0.0201*	-0.272***	-0.257***	-0.0175*	-0.272***	-0.257***	-0.0175*	-0.272***	-0.257***	-0.0175*	-0.272***	-0.257***	-0.0175*	-0.276***	-0.261***	-0.0181*
		(0.0288)	(0.0267)	(0.0110)	(0.0288)	(0.0267)	(0.0110)	(0.0284)	(0.0261)	(0.0104)	(0.0284)	(0.0261)	(0.0104)	(0.0284)	(0.0261)	(0.0104)	(0.0284)	(0.0261)	(0.0104)	(0.0287)	(0.0263)	(0.0103)
114.investortypedescriptionid	Investor Type Description ID = 114	-0.502***	-0.448***	-0.0247*	-0.502***	-0.448***	-0.0247*	-0.496***	-0.440***	-0.0190	-0.496***	-0.440***	-0.0190	-0.496***	-0.440***	-0.0190	-0.496***	-0.440***	-0.0190	-0.505***	-0.433***	-0.0176
		(0.0372)	(0.0344)	(0.0142)	(0.0372)	(0.0344)	(0.0142)	(0.0367)	(0.0337)	(0.0134)	(0.0367)	(0.0337)	(0.0134)	(0.0367)	(0.0337)	(0.0134)	(0.0367)	(0.0337)	(0.0134)	(0.0370)	(0.0340)	(0.0133)
200.investortypedescriptionid	Investor Type Description ID = 200	-0.605	-0.666	0.194	-0.605	-0.666	0.194	-0.533	-0.615	0.242	-0.533	-0.615	0.242	-0.533	-0.615	0.242	-0.533	-0.615	0.242	-0.584	-0.685	0.201
		(0.809)	(0.749)	(0.308)	(0.809)	(0.749)	(0.308)	(0.798)	(0.732)	(0.291)	(0.798)	(0.732)	(0.291)	(0.798)	(0.732)	(0.291)	(0.798)	(0.732)	(0.291)	(0.803)	(0.737)	(0.288)
201.investortypedescriptionid	Investor Type Description ID = 201	-1.067***	-0.903***	-0.177***	-1.067***	-0.903***	-0.177***	-1.070***	-0.919***	-0.127***	-1.070***	-0.919***	-0.127***	-1.070***	-0.919***	-0.127***	-1.070***	-0.919***	-0.127***	-1.105***	-0.918***	-0.165***
		(0.0878)	(0.0813)	(0.0335)	(0.0878)	(0.0813)	(0.0335)	(0.0868)	(0.0797)	(0.0317)	(0.0868)	(0.0797)	(0.0317)	(0.0868)	(0.0797)	(0.0317)	(0.0868)	(0.0797)	(0.0317)	(0.0878)	(0.0806)	(0.0315)
