,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Perm Id,Country of Headquarters
607,BAWJ.J,0.0,1997-06-30T00:00:00Z,,
608,BAWJ.J,0.1734,1997-12-31T00:00:00Z,5000051932,
609,BAWJ.J,0.0815,1997-12-31T00:00:00Z,,
610,BAWJ.J,0.0776,1997-03-31T00:00:00Z,5000001140,
611,BAWJ.J,0.0485,1997-06-30T00:00:00Z,4298409344,
612,BAWJ.J,0.0199,1997-12-31T00:00:00Z,5000071982,
613,BAWJ.J,0.0096,1997-12-31T00:00:00Z,5000064072,
614,BAWJ.J,0.0045,1997-12-31T00:00:00Z,,
615,BAWJ.J,0.002,1997-12-31T00:00:00Z,,
616,BAWJ.J,0.0,1997-06-30T00:00:00Z,,
617,BAWJ.J,,,,
618,BAWJ.J,,,,
619,BAWJ.J,,,,
620,BAWJ.J,,,,
621,BAWJ.J,,,,
622,BAWJ.J,,,,
623,BAWJ.J,,,,
624,ABSA.NR,0.2153,1998-12-31T00:00:00Z,5001449043,South Africa
625,ABSA.NR,,,,
626,BCFJ.J,52.5507,1998-08-03T00:00:00Z,48471677077,South Africa
627,BCFJ.J,13.7102,1998-08-03T00:00:00Z,5000854298,
628,BCFJ.J,13.1734,1998-08-03T00:00:00Z,48471686560,
629,BCFJ.J,4.686,1998-12-31T00:00:00Z,,
630,BCFJ.J,,,,
631,BCFJ.J,,,,
632,BCFJ.J,,,,
633,BCFJ.J,,,,
634,BELJ.J,25.5242,1998-08-03T00:00:00Z,34413317827,South Africa
635,BELJ.J,25.52,1998-08-03T00:00:00Z,,
636,BELJ.J,25.52,1998-08-03T00:00:00Z,,
637,BELJ.J,10.85,1998-08-03T00:00:00Z,,
638,BELJ.J,8.85,1998-08-03T00:00:00Z,,
639,BELJ.J,5.51,1998-08-03T00:00:00Z,5000854298,
640,BELJ.J,2.5837,1998-08-03T00:00:00Z,5001196246,
641,BELJ.J,25.6171,1997-01-31T00:00:00Z,34413317827,
642,BELJ.J,25.62,1997-01-31T00:00:00Z,,
643,BELJ.J,25.62,1997-01-31T00:00:00Z,,
644,BELJ.J,,,,
645,BELJ.J,,,,
646,BELJ.J,,,,
647,BELJ.J,,,,
648,BERGER.LG,,,,Nigeria
649,CAFCA.ZI,,,,
650,BIHL.BT,,,,South Africa
651,BIKJ.J,,,,South Africa
652,BLUJ.J,,,,South Africa
653,BOPP.GH,,,,Singapore
654,BRDR.ZI,,,,Zimbabwe
655,BRTJ.J,16.14,1998-08-17T00:00:00Z,5055408633,South Africa
656,BRTJ.J,16.14,1998-08-17T00:00:00Z,,
657,BRTJ.J,1.54,1998-08-17T00:00:00Z,34413513297,
658,BRTJ.J,1.2378,1998-08-17T00:00:00Z,34413321011,
659,BRTJ.J,1.22,1998-08-17T00:00:00Z,5055410695,
660,BRTJ.J,,,,
661,BRTJ.J,,,,
662,BRTJ.J,,,,
663,BRTJ.J,,,,
664,BRTJ.J,,,,
665,BSRJ.J,4.51,1998-08-03T00:00:00Z,5000854298,South Africa
666,BSRJ.J,0.52,1998-06-30T00:00:00Z,,
667,BSRJ.J,0.0027,1998-12-31T00:00:00Z,,
668,BSRJ.J,0.27,1997-12-31T00:00:00Z,,
669,BSRJ.J,,,,
670,BSRJ.J,,,,
671,BVTJ.J,27.71,1998-08-03T00:00:00Z,5000854298,South Africa
672,BVTJ.J,16.36,1998-08-03T00:00:00Z,4297902883,
673,BVTJ.J,8.96,1998-07-01T00:00:00Z,,
674,BVTJ.J,6.93,1998-07-01T00:00:00Z,,
675,BVTJ.J,6.85,1998-07-01T00:00:00Z,,
676,BVTJ.J,4.09,1998-07-01T00:00:00Z,5001196246,
677,BVTJ.J,1.45,1998-07-01T00:00:00Z,,
678,BVTJ.J,1.31,1998-07-01T00:00:00Z,,
679,BVTJ.J,1.25,1998-08-03T00:00:00Z,,
680,BVTJ.J,0.06,1998-06-30T00:00:00Z,,
681,BVTJ.J,0.01,1998-03-31T00:00:00Z,,
682,BVTJ.J,0.01,1998-12-31T00:00:00Z,4298409344,
683,BVTJ.J,0.0011,1998-12-31T00:00:00Z,,
684,BVTJ.J,0.0002,1998-12-31T00:00:00Z,5000071982,
685,BVTJ.J,0.0,1997-09-30T00:00:00Z,,
686,BVTJ.J,0.0,1997-12-31T00:00:00Z,5000051932,
687,BVTJ.J,0.0,1998-09-30T00:00:00Z,,
688,BVTJ.J,25.48,1997-01-31T00:00:00Z,,
689,BVTJ.J,0.13,1997-12-31T00:00:00Z,,
690,BVTJ.J,0.01,1997-12-31T00:00:00Z,,
691,BVTJ.J,0.002,1997-12-31T00:00:00Z,,
692,BVTJ.J,0.0,1997-09-30T00:00:00Z,,
693,BVTJ.J,0.0,1997-12-31T00:00:00Z,5000051932,
694,BVTJ.J,,,,
695,BVTJ.J,,,,
696,BVTJ.J,,,,
697,BVTJ.J,,,,
698,BVTJ.J,,,,
699,BVTJ.J,,,,
700,BVTJ.J,,,,
701,BVTJ.J,,,,
702,BVTJ.J,,,,
703,BVTJ.J,,,,
704,BVTJ.J,,,,
705,CILEASI.LG,,,,Nigeria
706,CADBURY.LG,,,,United States
707,CAL.GH,,,,Ghana
708,CAP.LG,,,,Nigeria
709,CAPOIL.LG,,,,Nigeria
710,CGEN.NR,,,,Kenya
711,CARB.NR,,,,Kenya
712,CATJ.J,60.0895,1998-06-01T00:00:00Z,5035511837,South Africa
713,CATJ.J,5.3578,1998-06-01T00:00:00Z,4297902883,
714,CATJ.J,2.776,1998-06-01T00:00:00Z,5000854298,
715,CATJ.J,2.0677,1998-06-01T00:00:00Z,48471680717,
716,CATJ.J,0.7018,1998-12-31T00:00:00Z,,
717,CATJ.J,0.0034,1998-12-31T00:00:00Z,,
718,CATJ.J,0.0023,1998-06-30T00:00:00Z,,
719,CATJ.J,60.9865,1997-01-31T00:00:00Z,5035511837,
720,CATJ.J,0.0037,1997-12-31T00:00:00Z,,
721,CATJ.J,0.0019,1997-12-31T00:00:00Z,,
722,CATJ.J,,,,
723,CATJ.J,,,,
724,CATJ.J,,,,
725,CATJ.J,,,,
726,CRWN.NR,,,,Kenya
727,CBZ.ZI,,,,Zimbabwe
728,SBIC.NR,,,,South Africa
729,CFAO.GH,,,,Japan
730,CFI.ZI,,,,Zimbabwe
731,CGRJ.J,,,,South Africa
732,CHAMPIO.LG,,,,Netherlands
733,CHELLAR.LG,,,,Nigeria
734,CHO.BT,,,,Botswana
735,LACZ.ZI,,,,Switzerland
736,CKSJ.J,9.81,1997-12-04T00:00:00Z,5000854298,South Africa
737,CKSJ.J,7.0,1997-12-04T00:00:00Z,5035499051,
738,CKSJ.J,3.37,1997-12-04T00:00:00Z,,
739,CKSJ.J,2.72,1997-12-04T00:00:00Z,,
740,CKSJ.J,2.66,1997-12-04T00:00:00Z,4295889079,
741,CKSJ.J,1.58,1997-12-04T00:00:00Z,,
742,CKSJ.J,1.53,1997-12-04T00:00:00Z,,
743,CKSJ.J,1.5,1997-12-04T00:00:00Z,,
744,CKSJ.J,1.24,1997-12-04T00:00:00Z,,
745,CKSJ.J,1.17,1997-12-04T00:00:00Z,,
746,CKSJ.J,1.11,1997-12-04T00:00:00Z,,
747,CKSJ.J,1.06,1997-12-04T00:00:00Z,4297902883,
748,CKSJ.J,9.81,1997-12-04T00:00:00Z,5000854298,
749,CKSJ.J,7.0,1997-12-04T00:00:00Z,5035499051,
750,CKSJ.J,3.37,1997-12-04T00:00:00Z,,
751,CKSJ.J,2.72,1997-12-04T00:00:00Z,,
752,CKSJ.J,2.66,1997-12-04T00:00:00Z,4295889079,
753,CKSJ.J,1.58,1997-12-04T00:00:00Z,,
754,CKSJ.J,1.53,1997-12-04T00:00:00Z,,
755,CKSJ.J,1.5,1997-12-04T00:00:00Z,,
756,CKSJ.J,1.24,1997-12-04T00:00:00Z,,
757,CKSJ.J,1.17,1997-12-04T00:00:00Z,,
758,CKSJ.J,1.11,1997-12-04T00:00:00Z,,
759,CKSJ.J,1.06,1997-12-04T00:00:00Z,4297902883,
760,CLHJ.J,48.57,1998-08-03T00:00:00Z,4295888650,South Africa
761,CLHJ.J,18.7272,1998-08-03T00:00:00Z,5035499104,
762,CLHJ.J,2.74,1998-08-03T00:00:00Z,5000854298,
763,CLHJ.J,1.29,1998-08-03T00:00:00Z,4297902883,
764,CLHJ.J,0.19,1998-06-30T00:00:00Z,,
765,CLHJ.J,0.0025,1998-12-31T00:00:00Z,,
766,CLHJ.J,44.75,1997-01-31T00:00:00Z,4295888650,
767,CLHJ.J,25.4674,1997-01-31T00:00:00Z,5035499104,
768,CLHJ.J,0.09,1997-12-31T00:00:00Z,,
769,CLHJ.J,,,,
770,CLHJ.J,,,,
771,CLHJ.J,,,,
772,CLYD.GH,,,,Ghana
773,MTUJ.J,29.33,1998-08-03T00:00:00Z,4298534128,South Africa
774,MTUJ.J,25.02,1998-08-03T00:00:00Z,,
775,MTUJ.J,24.98,1998-08-03T00:00:00Z,,
776,MTUJ.J,25.0,1997-01-31T00:00:00Z,,
777,MTUJ.J,25.0,1997-01-31T00:00:00Z,,
778,MTUJ.J,,,,
779,CMHJ.J,47.68,1998-08-03T00:00:00Z,,South Africa
780,CMHJ.J,25.14,1998-08-03T00:00:00Z,5055410548,
781,CMHJ.J,4.11,1998-08-03T00:00:00Z,48471669190,
782,CMHJ.J,1.35,1998-08-03T00:00:00Z,,
783,CMHJ.J,44.43,1997-01-31T00:00:00Z,,
784,CMHJ.J,25.06,1997-01-31T00:00:00Z,5055410548,
785,CMHJ.J,,,,
786,CMHJ.J,,,,
787,CMLJ.J,,,,South Africa
788,CMLT.GH,,,,Ghana
789,CMOJ.J,,,,South Africa
790,CNDJ.J,,,,South Africa
791,CONFDIN.LG,,,,Nigeria
792,CORNERS.LG,,,,Nigeria
793,COSTAIN.LG,,,,Nigeria
794,AICO.ZI,,,,Zimbabwe
795,CPC.GH,,,,Ghana
796,CPIJ.J,,,,South Africa
797,CRUSADE.LG,,,,Nigeria
798,CSBJ.J,11.19,1998-08-03T00:00:00Z,5055415176,South Africa
799,CSBJ.J,6.03,1998-08-03T00:00:00Z,5035474046,
800,CSBJ.J,3.38,1998-08-03T00:00:00Z,5000854298,
801,CSBJ.J,0.89,1998-08-03T00:00:00Z,4297021561,
802,CSBJ.J,,,,
803,CSBJ.J,,,,
804,CSBJ.J,,,,
805,CSBJ.J,,,,
806,IMH.NR,,,,Kenya
807,CUSTODIAN.LG,,,,Nigeria
808,CUTIX.LG,,,,Nigeria
809,DZL.ZI,,,,Zimbabwe
810,DANGSUG.LG,,,,Nigeria
811,DAWN.ZI,,,,Mauritius
812,SYGEUJ.J,,,,
813,SYGUSJ.J,,,,
814,SYGUKJ.J,,,,
815,SYGJPJ.J,,,,
816,SYGWDJ.J,,,,
817,DLTA.ZI,0.06,1998-12-31T00:00:00Z,5001449043,Zimbabwe
818,DLTA.ZI,,,,
819,BETAGLA.LG,,,,Greece
820,DNMEYER.LG,,,,Nigeria
821,DRDJ.J,,,,South Africa
822,DSYJ.J,,,,South Africa
823,DTCJ.J,19.2381,1998-09-30T00:00:00Z,5000854298,South Africa
824,DTCJ.J,8.2853,1998-09-30T00:00:00Z,34415923066,
825,DTCJ.J,2.5496,1998-09-30T00:00:00Z,4297902883,
826,DTCJ.J,1.3623,1998-09-30T00:00:00Z,4295889203,
827,DTCJ.J,1.3124,1998-09-30T00:00:00Z,48471669465,
828,DTCJ.J,0.8439,1998-06-30T00:00:00Z,,
829,DTCJ.J,0.2334,1998-12-31T00:00:00Z,4298409344,
830,DTCJ.J,0.0026,1998-12-31T00:00:00Z,,
831,DTCJ.J,0.0,1998-06-01T00:00:00Z,4295888700,
832,DTCJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
833,DTCJ.J,,1997-01-31T00:00:00Z,48471669465,
834,DTCJ.J,78.1473,1997-01-31T00:00:00Z,4295888700,
835,DTCJ.J,0.3977,1997-06-30T00:00:00Z,4298409344,
836,DTCJ.J,0.2662,1997-12-31T00:00:00Z,,
837,DTCJ.J,0.1578,1997-03-31T00:00:00Z,5000001140,
838,DTCJ.J,0.0346,1997-12-31T00:00:00Z,,
839,DTCJ.J,,,,
840,DTCJ.J,,,,
841,DTCJ.J,,,,
842,DTCJ.J,,,,
843,DTK.NR,,,,Kenya
844,OCH.NR,,,,Kenya
845,DUNLOP.LG,0.0,1998-12-31T00:00:00Z,5000706029,Nigeria
846,DUNLOP.LG,0.0,1997-06-30T00:00:00Z,5000706029,
847,CABL.NR,,,,Kenya
848,PORT.NR,,,,Kenya
849,EGH.GH,,,,Togo
850,EQTY.NR,,,,Kenya
851,EGAD.NR,,,,
852,EGL.GH,6.54,1997-03-31T00:00:00Z,,Ghana
853,EGL.GH,1.07,1998-12-31T00:00:00Z,5000706029,
854,EGL.GH,6.54,1997-03-31T00:00:00Z,,
855,EGL.GH,0.43,1997-06-30T00:00:00Z,5000706029,
856,EKOCORP.LG,,,,Nigeria
857,ELIJ.J,,,,South Africa
858,ELLAHLA.LG,,,,Nigeria
859,EMIJ.J,,,,
860,ECO.ZI,0.69,1998-12-31T00:00:00Z,5000706029,Zimbabwe
861,ECO.ZI,,,,
862,ENGN.BT,,,,Malaysia
863,EOHJ.J,1.56,1998-12-31T00:00:00Z,,South Africa
864,EOHJ.J,,,,
865,ETERNAO.LG,,,,Nigeria
866,ETI.LG,,,,Togo
867,EVRD.NR,,,,
868,XPRS.NR,,,,Kenya
869,EXXJ.J,,,,South Africa
870,FALG.ZI,,,,Switzerland
871,FBRJ.J,29.6526,1998-08-03T00:00:00Z,,South Africa
872,FBRJ.J,27.8574,1998-08-03T00:00:00Z,34413324417,
873,FBRJ.J,7.31,1998-08-03T00:00:00Z,,
874,FBRJ.J,2.64,1998-08-03T00:00:00Z,5000854298,
875,FBRJ.J,2.27,1998-08-03T00:00:00Z,,
876,FBRJ.J,40.2078,1997-01-31T00:00:00Z,,
877,FBRJ.J,36.4012,1997-01-31T00:00:00Z,34413324417,
878,FBRJ.J,,,,
879,FBRJ.J,,,,
880,FBRJ.J,,,,
881,FCMB.LG,,,,Nigeria
882,FIDL.ZI,,,,Zimbabwe
883,FIDELIT.LG,,,,Nigeria
884,SMER.NR,0.21,1998-12-31T00:00:00Z,5000706029,Kenya
885,SMER.NR,0.1006,1998-12-31T00:00:00Z,5001449043,
886,SMER.NR,0.2086,1997-06-30T00:00:00Z,5000706029,
887,SMER.NR,,,,
888,FBNH.LG,,,,Nigeria
889,FLOURMI.LG,,,,
890,FML.GH,,,,France
891,FNBB.BT,,,,South Africa
892,TFGJ.J,52.45,1998-07-01T00:00:00Z,48471668836,South Africa
893,TFGJ.J,10.88,1998-07-01T00:00:00Z,5000854298,
894,TFGJ.J,5.95,1998-07-01T00:00:00Z,4297902883,
895,TFGJ.J,1.29,1998-07-01T00:00:00Z,48471680717,
896,TFGJ.J,1.28,1998-07-01T00:00:00Z,5001446208,
897,TFGJ.J,0.2384,1998-12-31T00:00:00Z,4298409344,
898,TFGJ.J,0.0068,1998-12-31T00:00:00Z,,
899,TFGJ.J,0.0032,1998-06-30T00:00:00Z,,
900,TFGJ.J,0.0,1998-12-31T00:00:00Z,,
901,TFGJ.J,56.76,1997-01-31T00:00:00Z,48471668836,
902,TFGJ.J,0.0897,1997-06-30T00:00:00Z,4298409344,
903,TFGJ.J,0.0047,1997-12-31T00:00:00Z,,
904,TFGJ.J,0.0018,1997-12-31T00:00:00Z,,
905,TFGJ.J,,,,
906,TFGJ.J,,,,
907,TFGJ.J,,,,
908,TFGJ.J,,,,
909,TFGJ.J,,,,
910,FSRJ.J,13.67,1998-12-31T00:00:00Z,5000854298,South Africa
911,FSRJ.J,7.67,1998-12-31T00:00:00Z,4297902883,
912,FSRJ.J,3.08,1998-12-31T00:00:00Z,,
913,FSRJ.J,0.29,1998-12-31T00:00:00Z,,
914,FSRJ.J,0.08,1998-06-30T00:00:00Z,,
915,FSRJ.J,0.04,1998-12-31T00:00:00Z,4298409344,
916,FSRJ.J,0.01,1998-12-31T00:00:00Z,,
917,FSRJ.J,0.01,1998-12-31T00:00:00Z,,
918,FSRJ.J,0.0019,1998-12-31T00:00:00Z,5000036827,
919,FSRJ.J,0.0017,1998-12-31T00:00:00Z,,
920,FSRJ.J,0.33,1997-12-31T00:00:00Z,,
921,FSRJ.J,0.01,1997-06-30T00:00:00Z,4298409344,
922,FSRJ.J,0.0034,1997-12-31T00:00:00Z,,
923,FSRJ.J,0.002,1997-12-31T00:00:00Z,,
924,FSRJ.J,,,,
925,FSRJ.J,,,,
926,FSRJ.J,,,,
927,FSRJ.J,,,,
928,FSRJ.J,,,,
929,FSRJ.J,,,,
930,CGNJ.J,,,,South Africa
931,GFS.BT,,,,United States
932,GCB.GH,,,,Ghana
933,TSGJ.J,98.77,1998-08-03T00:00:00Z,,South Africa
934,TSGJ.J,2.61,1998-06-01T00:00:00Z,,
935,TSGJ.J,0.19,1998-12-31T00:00:00Z,,
936,TSGJ.J,34.27,1997-01-31T00:00:00Z,,
937,TSGJ.J,3.41,1997-12-31T00:00:00Z,,
938,TSGJ.J,,,,
939,GBH.ZI,,,,Zimbabwe
940,GFIJ.J,14.3838,1998-11-30T00:00:00Z,5000854298,South Africa
941,GFIJ.J,2.2511,1998-11-30T00:00:00Z,4295896494,
942,GFIJ.J,0.148,1998-12-31T00:00:00Z,,
943,GFIJ.J,0.09,1998-12-31T00:00:00Z,,
944,GFIJ.J,0.0168,1998-06-30T00:00:00Z,,
945,GFIJ.J,0.0064,1998-12-31T00:00:00Z,5000008390,
946,GFIJ.J,0.0038,1998-06-30T00:00:00Z,5001231143,
947,GFIJ.J,0.0021,1998-12-31T00:00:00Z,5035750181,
948,GFIJ.J,0.0021,1998-06-30T00:00:00Z,5000036022,
949,GFIJ.J,0.0015,1998-12-31T00:00:00Z,5000050125,
950,GFIJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
951,GFIJ.J,0.0,1997-12-31T00:00:00Z,,
952,GFIJ.J,0.2078,1997-12-31T00:00:00Z,,
953,GFIJ.J,0.0404,1997-03-31T00:00:00Z,5000001140,
954,GFIJ.J,0.0056,1997-12-31T00:00:00Z,5001231143,
955,GFIJ.J,0.0,1997-06-30T00:00:00Z,,
956,GFIJ.J,0.0,1997-12-31T00:00:00Z,,
957,GFIJ.J,,,,
958,GFIJ.J,,,,
959,GFIJ.J,,,,
960,GFIJ.J,,,,
961,GFIJ.J,,,,
962,GFIJ.J,,,,
963,GFIJ.J,,,,
964,GGBL.GH,0.0,1998-06-30T00:00:00Z,5000706029,United Kingdom
965,GGBL.GH,1.2453,1997-06-30T00:00:00Z,5000706029,
966,GLDJ.J,,,,
967,GNDJ.J,50.3595,1998-07-01T00:00:00Z,5035478601,South Africa
968,GNDJ.J,9.45,1998-07-01T00:00:00Z,5000854298,
969,GNDJ.J,1.8121,1998-07-01T00:00:00Z,,
970,GNDJ.J,,,,
971,GNDJ.J,,,,
972,GNDJ.J,,,,
973,GOIL.GH,,,,Ghana
974,GRTJ.J,0.844,1998-07-01T00:00:00Z,5000854298,South Africa
975,GRTJ.J,,,,
976,GUINNES.LG,0.3108,1998-12-31T00:00:00Z,5000706029,United Kingdom
977,GUINNES.LG,0.0283,1997-06-30T00:00:00Z,5000706029,
978,GUINEAI.LG,,,,Nigeria
979,HALLMAR.LG,,,,Nigeria
980,HARJ.J,1.5556,1998-12-31T00:00:00Z,,South Africa
981,HARJ.J,0.3125,1998-12-31T00:00:00Z,,
982,HARJ.J,0.072,1998-03-31T00:00:00Z,,
983,HARJ.J,0.0468,1998-12-31T00:00:00Z,4296583298,
984,HARJ.J,0.0439,1998-12-31T00:00:00Z,5000014523,
985,HARJ.J,0.0307,1998-12-31T00:00:00Z,4298409344,
986,HARJ.J,0.0259,1998-06-30T00:00:00Z,5001231143,
987,HARJ.J,0.0073,1998-12-31T00:00:00Z,5000050125,
988,HARJ.J,0.0,1997-09-30T00:00:00Z,,
989,HARJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
990,HARJ.J,0.0,1998-03-31T00:00:00Z,,
991,HARJ.J,0.7719,1997-12-31T00:00:00Z,,
992,HARJ.J,0.3787,1997-12-31T00:00:00Z,,
993,HARJ.J,0.1535,1997-03-31T00:00:00Z,5000001140,
994,HARJ.J,0.0836,1997-12-31T00:00:00Z,4296583298,
995,HARJ.J,0.0617,1997-12-31T00:00:00Z,5001231143,
996,HARJ.J,0.0028,1997-06-30T00:00:00Z,4298409344,
997,HARJ.J,0.0,1997-12-31T00:00:00Z,5000014523,
998,HARJ.J,0.0,1997-09-30T00:00:00Z,,
999,HARJ.J,,,,
1000,HARJ.J,,,,
1001,HARJ.J,,,,
1002,HCIJ.J,4.41,1998-12-31T00:00:00Z,,South Africa
1003,HCIJ.J,0.72,1998-06-30T00:00:00Z,,
1004,HCIJ.J,,,,
1005,HCIJ.J,32.96,1997-01-31T00:00:00Z,,
1006,HCIJ.J,3.52,1997-12-31T00:00:00Z,,
1007,HCIJ.J,0.0,1997-12-31T00:00:00Z,,
1008,HDCJ.J,1.4424,1998-03-31T00:00:00Z,,South Africa
1009,HDCJ.J,1.4424,1998-06-30T00:00:00Z,,
1010,HDCJ.J,0.0,1998-12-31T00:00:00Z,,
1011,HDCJ.J,1.4426,1997-12-31T00:00:00Z,,
1012,HDCJ.J,0.0059,1997-12-31T00:00:00Z,,
1013,HDCJ.J,,,,
1014,RBGH.GH,,,,Trinidad and Tobago
1015,HFCK.NR,,,,Kenya
1016,HIPO.ZI,,,,South Africa
1017,HLMJ.J,,,,South Africa
1018,HUGJ.J,,,,South Africa
1019,NPKZ.ZI,,,,South Africa
1020,HYPJ.J,0.0178,1998-12-31T00:00:00Z,,South Africa
1021,HYPJ.J,,,,
1022,HYPJ.J,22.3895,1997-01-31T00:00:00Z,5001449671,
1023,HYPJ.J,,,,
1024,IBTC.LG,,,,South Africa
1025,CTUM.NR,0.0401,1998-12-31T00:00:00Z,5001449043,Kenya
1026,CTUM.NR,,,,
1027,IMG.LG,,,,Nigeria
1028,IKEJAHO.LG,,,,Nigeria
1029,IMPJ.J,0.6127,1997-06-03T00:00:00Z,,South Africa
1030,IMPJ.J,0.5338,1998-06-30T00:00:00Z,,
1031,IMPJ.J,0.1317,1998-03-31T00:00:00Z,,
1032,IMPJ.J,0.0666,1998-12-31T00:00:00Z,4298409344,
1033,IMPJ.J,0.0464,1998-12-31T00:00:00Z,,
1034,IMPJ.J,0.0456,1998-12-31T00:00:00Z,,
1035,IMPJ.J,0.0076,1998-12-31T00:00:00Z,5000052202,
1036,IMPJ.J,0.0,1997-12-31T00:00:00Z,5000014523,
1037,IMPJ.J,0.0,1997-12-31T00:00:00Z,,
1038,IMPJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
1039,IMPJ.J,0.6127,1997-06-03T00:00:00Z,,
1040,IMPJ.J,0.1896,1997-12-31T00:00:00Z,,
1041,IMPJ.J,0.045,1997-03-31T00:00:00Z,5000001140,
1042,IMPJ.J,0.0321,1997-06-30T00:00:00Z,4298409344,
1043,IMPJ.J,0.0,1997-12-31T00:00:00Z,5000014523,
1044,IMPJ.J,0.0,1997-12-31T00:00:00Z,,
1045,IMPJ.J,0.0,1997-12-31T00:00:00Z,,
1046,IMPJ.J,0.0,1997-06-30T00:00:00Z,,
1047,IMPJ.J,,,,
1048,IMPJ.J,,,,
1049,FIRSTIN.LG,,,,Nigeria
1050,INLJ.J,14.088,1998-03-02T00:00:00Z,5000854298,South Africa
1051,INLJ.J,12.7898,1998-03-02T00:00:00Z,4297902883,
1052,INLJ.J,0.411,1998-06-30T00:00:00Z,,
1053,INLJ.J,0.1874,1998-12-31T00:00:00Z,5000051932,
1054,INLJ.J,0.0414,1998-03-31T00:00:00Z,,
1055,INLJ.J,0.0225,1998-03-02T00:00:00Z,5000128439,
1056,INLJ.J,0.0041,1998-12-31T00:00:00Z,,
1057,INLJ.J,0.0009,1998-12-31T00:00:00Z,5000052202,
1058,INLJ.J,0.0,1998-09-30T00:00:00Z,4298409344,
1059,INLJ.J,0.0,1998-09-30T00:00:00Z,,
1060,INLJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
1061,INLJ.J,0.0,1997-09-30T00:00:00Z,,
1062,INLJ.J,7.817,1997-01-31T00:00:00Z,5000128439,
1063,INLJ.J,0.8387,1997-12-31T00:00:00Z,,
1064,INLJ.J,0.2897,1997-03-31T00:00:00Z,5000001140,
1065,INLJ.J,0.0735,1997-06-30T00:00:00Z,4298409344,
1066,INLJ.J,0.0089,1997-12-31T00:00:00Z,5000051932,
1067,INLJ.J,0.0042,1997-12-31T00:00:00Z,,
1068,INLJ.J,0.002,1997-12-31T00:00:00Z,,
1069,INLJ.J,0.0,1997-09-30T00:00:00Z,,
1070,INLJ.J,,,,
1071,INLJ.J,,,,
1072,INLJ.J,,,,
1073,INLJ.J,,,,
1074,INN.ZI,,,,Zimbabwe
1075,INTBREW.LG,,,,Germany
1076,EUNISELL.LG,,,,Nigeria
1077,ISAJ.J,,,,South Africa
1078,ISBJ.J,,,,South Africa
1079,ITEJ.J,0.0,1998-06-30T00:00:00Z,,
1080,ITEJ.J,,,,
1081,ITEJ.J,,,,
1082,ITEJ.J,60.5,1997-01-31T00:00:00Z,5035512577,
1083,ITEJ.J,5.2,1997-01-31T00:00:00Z,,
1084,ITEJ.J,0.0,1997-12-31T00:00:00Z,,
1085,IVTJ.J,0.0036,1998-12-31T00:00:00Z,,South Africa
1086,IVTJ.J,0.0,1998-12-31T00:00:00Z,,
1087,IVTJ.J,0.0064,1997-12-31T00:00:00Z,,
1088,IVTJ.J,,,,
1089,JAPAULGOLD.LG,,,,Nigeria
1090,JBERGER.LG,0.0161,1998-12-31T00:00:00Z,5000706029,Nigeria
1091,JBERGER.LG,0.1615,1997-06-30T00:00:00Z,5000706029,
1092,ATIJ.J,,,,
1093,JOHNHOL.LG,0.0,1998-06-30T00:00:00Z,5000706029,
1094,JOHNHOL.LG,0.1532,1997-06-30T00:00:00Z,5000706029,
1095,JSCJ.J,2.5722,1998-06-30T00:00:00Z,,South Africa
1096,JSCJ.J,,,,
1097,JSCJ.J,,,,
1098,JSCJ.J,20.8076,1997-01-31T00:00:00Z,4295891340,
1099,JSCJ.J,16.6,1997-01-31T00:00:00Z,34413325189,
1100,JSCJ.J,,,,
1101,JSEJ.J,,,,South Africa
1102,JUB.NR,,,,Kenya
1103,JULI.LG,,,,Nigeria
1104,KUKZ.NR,0.0,1998-12-31T00:00:00Z,5000706029,Bermuda
1105,KUKZ.NR,0.5482,1997-06-30T00:00:00Z,5000706029,
1106,KAPC.NR,,,,Kenya
1107,KAPJ.J,62.94,1998-06-01T00:00:00Z,4296692230,South Africa
1108,KAPJ.J,5.51,1998-07-01T00:00:00Z,5000854298,
1109,KAPJ.J,0.0047,1998-12-31T00:00:00Z,,
1110,KAPJ.J,,,,
1111,KAPJ.J,,,,
1112,KAPJ.J,,,,
1113,KCB.NR,0.4476,1998-12-31T00:00:00Z,5000706029,Kenya
1114,KCB.NR,0.2785,1998-12-31T00:00:00Z,5001449043,
1115,KCB.NR,0.2308,1997-06-30T00:00:00Z,5000706029,
1116,KCB.NR,,,,
1117,KEGN.NR,,,,Kenya
1118,KIOJ.J,,,,United Kingdom
1119,ORCH.NR,,,,Kenya
1120,KPLC.NR,,,,Kenya
1121,KQNA.NR,26.0,1998-07-14T00:00:00Z,,Kenya
1122,KQNA.NR,,,,
1123,KNRE.NR,,,,Kenya
1124,LABJ.J,25.797,1998-08-03T00:00:00Z,48470517600,South Africa
1125,LABJ.J,,,,
1126,LASACO.LG,,,,Nigeria
1127,LBHJ.J^C22,10.09,1998-07-01T00:00:00Z,5000854298,South Africa
