,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
0,SMBC.CI,,,,,,Ivory Coast,
1,SACL.ZI,,,,,,Zimbabwe,
2,SEMC.CI,,,,,,United States,
3,ILV.MV,,,,,,United Kingdom,
4,NITL.MV,,,,,,Malawi,
5,TPCC.TZ,,,,,,Germany,
6,ZBFH.ZI,,,,,,Zimbabwe,
7,TTP.TZ,,,,,,Tanzania,
8,TCCL.TZ,,,,,,,
9,FMB.MV,,,,,,Malawi,
10,NBS.MV,,,,,,Malawi,
11,SUNB.MV,,,,,,Malawi,
12,MPICO.MV,,,,,,Malawi,
13,DCB.TZ,,,,,,Tanzania,
14,NMB.TZ,,,,,,Tanzania,
15,COURTVI.LG,,,,,,Nigeria,
16,CRDB.TZ,,,,,,Tanzania,
17,NANG.LZ,,,,,,United Kingdom,
18,PRIM.LZ,,,,,,Zambia,
19,MCNICHO.LG,,,,,,Nigeria,
20,NIC.UG,,,,,,Uganda,
21,BATZ.LZ,,,,,,United Kingdom,
22,BATZ.LZ,,,,,,,
23,BOAC.CI,,,,,,Morocco,
24,RACPp.J,,,,,,South Africa,
25,LHCJ.J,,,,,,South Africa,
26,TNM.MV,,,,,,Malawi,
27,CRESTA.BT,,,,,,Botswana,
28,UHOMREI.LG,,,,,,Nigeria,
29,DANGCEM.LG,,,,,,Nigeria,
30,MULTITREX.LG,,,,,,Nigeria,
31,RBPJ.J,,,,,,South Africa,
32,NPFMCRF.LG,,,,,,Nigeria,
33,BOABF.CI,,,,,,Morocco,
34,MMPJ.J,,,,,,South Africa,
35,OUTJ.J,,,,,,South Africa,
36,IPFJ.J,,,,,,South Africa,
37,LBTY.NR,,,,,,South Africa,
38,REBJ.J,,,,,,South Africa,
39,COHJ.J,,,,,,South Africa,
40,LETL.BT,,,,,,Botswana,
41,GOLI.MZ,,,,,,Mauritius,
42,BLR.RW,,,,,,Netherlands,
43,MPTJ.J,,,,,,South Africa,
44,TCL.NR,,,,,,Kenya,
45,BUCJ.J,,,,,,South Africa,
46,TEXJ.J,,,,,,South Africa,
47,DIBJ.J,,,,,,South Africa,
48,BOK.RW,,,,,,Rwanda,
49,BRIT.NR,,,,,,Kenya,
50,NAP.BT,,,,,,Botswana,
51,FTAJ.J,,,,,,South Africa,
52,SILPp.NM,,,,,,Namibia,
53,PAL.TZ,,,,,,Tanzania,
54,TERA.MZ,,,,,,Mauritius,
55,CHOPP.BT,,,,,,Botswana,
56,AUSTINLAZ.LG,,,,,,Nigeria,
57,SIT.MZ,,,,,,Mauritius,
58,LKL.NR,,,,,,Kenya,
59,TCPJ.J,,,,,,South Africa,
60,CIC.NR,,,,,,United Kingdom,
61,FNBMIDJ.J,,,,,,,
62,CIM.MZ,,,,,,,
63,DLTJ.J,,,,,,South Africa,
64,NHL.NM,,,,,,Namibia,
65,UMEME.UG,,,,,,Uganda,
66,MDIJ.J,,,,,,South Africa,
67,UCAP.LG,,,,,,Nigeria,
68,AFRIPRU.LG,,,,,,Nigeria,
69,AGR.NM,,,,,,Namibia,
70,ETFSAPJ.J,,,,,,,
71,SHUMBA.BT,,,,,,Botswana,
72,NGPLTJ.J,,,,,,,
73,MLIJ.J,,,,,,United Kingdom,
74,CGP.NM,,,,,,Namibia,
75,HAFR.NR,,,,,,Kenya,
76,ATTJ.J,,,,,,South Africa,
77,ASCJ.J,,,,,,South Africa,
78,APFJ.J,,,,,,South Africa,
79,CWG.LG,,,,,,Nigeria,
80,UCHUMI.UG,,,,,,Kenya,
81,ETFPLDJ.J,,,,,,,
82,NGPLDJ.J,,,,,,,
83,SARJ.J,,,,,,South Africa,
84,ETFPLTJ.J,,,,,,,
85,ETFGLDJ.J,,,,,,,
86,THAJ.J,,,,,,Cyprus,
87,LVLTRXJ.J^H18,,,,,,,
88,DIVTRXJ.J,,,,,,,
89,AVLJ.J,,,,,,South Africa,
90,LOTO.MZ,,,,,,Mauritius,
91,CAVERTON.LG,,,,,,Nigeria,
92,VISJ.J,,,,,,South Africa,
93,MBP.TZ,,,,,,Tanzania,
94,SARE.MZ,,,,,,South Africa,
95,KSTJ.J,,,,,,South Africa,
96,EQUJ.J,,,,,,South Africa,
97,AFHJ.J,,,,,,United States,
98,MAFS.LZ,,,,,,Zambia,
99,NSE.NR,,,,,,Kenya,
100,SWALA.TZ,,,,,,Tanzania,
101,BTCL.BT,,,,,,Botswana,
102,RFGJ.J,,,,,,South Africa,
103,TRANSCOHOT.LG,,,,,,Nigeria,
104,QFHJ.J,,,,,,South Africa,
105,NOV.MZ,,,,,,Mauritius,
106,LIVINGTRUST.LG,,,,,,Nigeria,
107,TTLS.CI,,,,,,France,
108,FTGH.NR,,,,,,Kenya,
109,KCCGLDJ.J,,,,,,,
110,KUR.NR,,,,,,Kenya,
111,MEDVIEWAIR.LG,,,,,,Nigeria,
112,DNBJ.J,,,,,,South Africa,
113,HILJ.J,,,,,,Malta,
114,ACSJ.J,,,,,,South Africa,
115,IMRP7p.J,,,,,,South Africa,
116,BOAS.CI,,,,,,Morocco,
117,NVSJ.J,,,,,,South Africa,
118,MFDG.MZ,,,,,,Mauritius,
119,MKCB.TZ,,,,,,Tanzania,
120,MAC.GH,,,,,,Ghana,
121,IMR.RW,,,,,,Kenya,
122,MCB.TZ,,,,,,Tanzania,
123,INFINITY.LG,,,,,,Nigeria,
124,VALUEFUND.LG,,,,,,Nigeria,
125,UPDCREIT.LG,,,,,,Nigeria,
126,ADB.GH,,,,,,Ghana,
127,BOAM.CI,,,,,,Morocco,
128,CTOP50J.J,,,,,,,
129,IKUL.LZ,,,,,,Zambia,
130,EIZP.LZ,,,,,,Zambia,
131,ILUJ.J,,,,,,South Africa,
132,PROL.ZI,,,,,,Zimbabwe,
133,RENJ.J,,,,,,South Africa,
134,PEMJ.J,,,,,,South Africa,
135,YETU.TZ,,,,,,Tanzania,
136,STANBIC.LG,,,,,,,
137,VETIVA.LG,,,,,,,
138,APL.MZ,,,,,,Mauritius,
139,DCPJ.J,,,,,,,
140,BWNJ.J,,,,,,South Africa,
141,SYGJ.J,,,,,,South Africa,
142,TRLJ.J,,,,,,South Africa,
143,CTAJ.J,,,,,,South Africa,
144,IIL.GH,,,,,,Ghana,
145,NOTORE.LG,,,,,,,
146,SSSJ.J,,,,,,South Africa,
147,SAMBA.GH,,,,,,Ghana,
148,HORDS.GH,,,,,,Ghana,
149,MMH.GH,,,,,,Ghana,
150,MHBJ.J,,,,,,South Africa,
151,ATIL.MZ,,,,,,South Africa,
152,LTEJ.J,,,,,,Malta,
153,FAHR.NR,,,,,,Kenya,
154,ETFRHOJ.J,,,,,,,
155,SNHJ.J,2.7601,2005-12-30T00:00:00Z,3238019,303,34413286392,South Africa,
156,SNHJ.J,0.0197,2005-09-10T00:00:00Z,2484925,107,5000043067,,
157,SNHJ.J,0.0039,2005-12-31T00:00:00Z,2003276,107,4296618041,,
158,SNHJ.J,0.0,2004-03-31T00:00:00Z,2003066,113,5000051932,,
159,SNHJ.J,0.0,2004-03-31T00:00:00Z,2003066,113,5000051932,,
160,SNHJ.J,,,3238019,113,,,
161,SNHJ.J,,,2484925,107,,,
162,SNHJ.J,,,2003276,113,,,
163,SNHJ.J,,,,107,,,
164,SNHJ.J,,,,107,,,
165,SNHJ.J,,,,113,,,
166,SNHJ.J,,,,110,,,
167,SNHJ.J,,,,110,,,
168,SNHJ.J,,,,107,,,
169,SNHJ.J,,,,107,,,
170,SNHJ.J,,,,113,,,
171,SNHJ.J,,,,107,,,
172,SNHJ.J,,,,113,,,
173,SNHJ.J,,,,107,,,
174,SNHJ.J,,,,113,,,
175,SNHJ.J,,,,107,,,
176,SNHJ.J,,,,113,,,
177,SNHJ.J,,,,107,,,
178,SNHJ.J,,,,,,,
179,SNHJ.J,,,,,,,
180,SNHJ.J,,,,,,,
181,SNHJ.J,,,,,,,
182,SNHJ.J,,,,,,,
183,GBFS.ZI,,,,,,Luxembourg,
184,ABCB.MZ,,,,,,Mauritius,
185,VETBANK.LG,,,,,,,
186,VETGOODS.LG,,,,,,,
187,VETINDETF.LG,,,,,,,
188,NRLJ.J,,,,,,South Africa,
189,TAD.MZ,,,,,,Mauritius,
190,DCON.NR,,,,,,Kenya,
191,FPC.BT,,,,,,Botswana,
192,AXIA.ZI,,,,,,Zimbabwe,
193,BIDJ.J,,,,,,South Africa,
194,MUCOBA.TZ,,,,,,Tanzania,
195,NBV.NR,,,,,,United Arab Emirates,
196,NSBC.CI,,,,,,Ivory Coast,
197,DSE.TZ,,,,,,Tanzania,
198,IBLL.MZ,,,,,,Mauritius,
199,EPEJ.J,,,,,,Mauritius,
200,UPL.MZ,,,,,,Mauritius,
201,YYLBEEJ.J,,,,,,South Africa,
202,ACCESS.GH,,,,,,Nigeria,
203,SCRC.CI,,,,,,Ivory Coast,
204,SEAJ.J,,,,,,South Africa,
205,SIBC.CI,,,,,,Morocco,
206,GLPROPJ.J,,,,,,,
207,CBIBF.CI,,,,,,Burkina Faso,
208,TPFJ.J,,,,,,South Africa,
209,VODA.TZ,,,,,,United Kingdom,
210,CQCIL.UG,,,,,,India,
211,L2DJ.J,,,,,,South Africa,
212,TIP.LG,,,,,,Nigeria,
213,DCCUSDJ.J,,,,,,,
214,SHGJ.J,,,,,,South Africa,
215,JAIZBANK.LG,,,,,,Nigeria,
216,STXILBJ.J,,,,,,,
217,STXPROJ.J,,,,,,,
218,PFBJ.J,,,,,,South Africa,
219,MTNGH.GH,,,,,,South Africa,
220,MIN.BT,,,,,,Botswana,
221,BAYP.MZ,,,,,,Mauritius,
222,AILJ.J,,,,,,South Africa,
223,KALJ.J,,,,,,South Africa,
224,NRPJ.J,,,,,,Netherlands,
225,RHBJ.J,,,,,,South Africa,
226,HETJ.J,,,,,,South Africa,
227,STXWDMJ.J,,,,,,,
228,STXEMGJ.J,,,,,,,
229,STX500J.J,,,,,,,
230,FMP.ZI,,,,,,Zimbabwe,
231,ZXSWS.ZX,,,,,,South Africa,
232,ZXSWB.ZX,,,,,,South Africa,
233,ZXTWI.ZX,,,,,,South Africa,
234,FMBCH.MV,,,,,,Malawi,
235,PPHJ.J,,,,,,South Africa,
236,STXQUAJ.J,,,,,,,
237,LHN.NM,,,,,,Botswana,
238,4SIJ.J,,,,,,Mauritius,
239,SDOJ.J,,,,,,South Africa,
240,FNBEQFJ.J,,,,,,,
241,PNH.NM,,,,,,Namibia,
242,SYG500J.J,,,,,,,
243,CCAF.LZ,,,,,,Zambia,
244,DCCUS2J.J,,,,,,,
245,ECOC.CI,,,,,,Togo,
246,GSPECPLC.LG,,,,,,Nigeria,
247,ARIN.MZ,,,,,,Indonesia,
248,CVWJ.J,,,,,,,
249,AYOJ.J,,,,,,South Africa,
250,ZXTIP.ZX,,,,,,South Africa,
251,ETF500J.J,,,,,,,
252,FNBWGBJ.J,,,,,,,
253,STXNDQJ.J,,,,,,,
254,LBRJ.J,,,,,,South Africa,
255,DIGICUT.GH,,,,,,Ghana,
256,FTHJ.J,,,,,,South Africa,
257,AEIBy.MZ,,,,,,Egypt,
258,4ANWKH.4AX,,,,,,South Africa,
259,4AHWP.4AX,,,,,,South Africa,
260,4AASP.4AX,,,,,,South Africa,
261,NFEMODJ.J,,,,,,,
262,NFEHGEJ.J,,,,,,,
263,NFEDEFJ.J,,,,,,,
264,MTNN.LG,,,,,,South Africa,
265,ETFBNDJ.J,,,,,,,
266,NFNAMA.NM,,,,,,,
267,STXGOVJ.J,,,,,,,
268,STXESGJ.J,,,,,,,
269,STXEMEJ.J,,,,,,,
270,MERGROWTH.LG,,,,,,,
271,MERVALUE.LG,,,,,,,
272,SYGESGJ.J,,,,,,,
273,MTNR.RW,,,,,,South Africa,
274,SYGEMFJ.J,,,,,,,
275,STXCAPJ.J,,,,,,,
276,STXNDAJ.J,,,,,,,
277,4AAVC.4AX,,,,,,South Africa,
278,STXHLTJ.J,,,,,,,
279,ETFSRIJ.J,,,,,,,
280,ETFEMAJ.J,,,,,,,
281,BIND.VF,,,,,,United Kingdom,
282,PHL.VF,,,,,,Zimbabwe,
283,SYGSEJ.J,,,,,,,
284,CSGOVIJ.J,,,,,,South Africa,
285,SIM.VF,,,,,,Zimbabwe,
286,NED.VF,,,,,,Zimbabwe,
287,ZZDJ.J,,,,,,South Africa,
288,NTFD.VF,,,,,,Zimbabwe,
289,4AGFR1O.4AX,,,,,,South Africa,
290,GEREGU.LG,,,,,,Nigeria,
291,CAAJ.J,,,,,,South Africa,
292,SREE.MZ,,,,,,Mauritius,
293,ACCESSCORP.LG,,,,,,Nigeria,
294,4ABKB.4AX,,,,,,South Africa,
295,APOJ.J,,,,,,South Africa,
296,TANG.ZI,,,,,,Zimbabwe,
297,BUAFOODS.LG,,,,,,Nigeria,
298,RONCHESS.LG,,,,,,Nigeria,
299,VELG.MZ,,,,,,,
300,ANIJ.J,,,,,,South Africa,
301,MTNU.UG,,,,,,South Africa,
302,MOC.NM,,,,,,Namibia,
303,CTEL.MZ,,,,,,Mauritius,
304,NGXGROUP.LG,,,,,,Nigeria,
