,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
0,SMBC.CI,,,,,,Ivory Coast,
1,SACL.ZI,,,,,,Zimbabwe,
2,SEMC.CI,,,,,,United States,
3,ILV.MV,,,,,,United Kingdom,
4,NITL.MV,,,,,,Malawi,
5,TPCC.TZ,,,,,,Germany,
6,ZBFH.ZI,,,,,,Zimbabwe,
7,TTP.TZ,,,,,,Tanzania,
8,TCCL.TZ,,,,,,,
9,FMB.MV,,,,,,Malawi,
10,NBS.MV,,,,,,Malawi,
11,SUNB.MV,,,,,,Malawi,
12,MPICO.MV,,,,,,Malawi,
13,DCB.TZ,,,,,,Tanzania,
14,NMB.TZ,0.0404,2014-12-31T00:00:00Z,2003347,113,4296380501,Tanzania,Yield
15,NMB.TZ,,,2003347,113,,,
16,NMB.TZ,,,,113,,,Yield
17,NMB.TZ,,,,113,,,
18,NMB.TZ,,,,107,,,
19,NMB.TZ,,,,113,,,GARP
20,NMB.TZ,,,,107,,,Yield
21,NMB.TZ,,,,,,,Yield
22,NMB.TZ,,,,,,,GARP
23,NMB.TZ,,,,,,,
24,NMB.TZ,,,,,,,
25,NMB.TZ,,,,,,,
26,COURTVI.LG,,,,,,Nigeria,
27,CRDB.TZ,0.9704,2014-12-31T00:00:00Z,2006494,107,5000706029,Tanzania,
28,CRDB.TZ,0.2382,2014-12-31T00:00:00Z,2003347,107,4296380501,,Aggres. Gr.
29,CRDB.TZ,0.7912,2013-12-31T00:00:00Z,2006494,113,5000706029,,
30,CRDB.TZ,,,2003347,107,,,
31,CRDB.TZ,,,,,,,
32,CRDB.TZ,,,,,,,
33,NANG.LZ,,,,,,United Kingdom,
34,PRIM.LZ,,,,,,Zambia,
35,MCNICHO.LG,,,,,,Nigeria,
36,NIC.UG,,,,,,Uganda,
37,BATZ.LZ,,,,,,United Kingdom,
38,BOAC.CI,,,,,,Morocco,
39,RACPp.J,15.57,2014-03-31T00:00:00Z,2636816,113,5000749186,South Africa,
40,RACPp.J,7.78,2014-03-31T00:00:00Z,2445138,113,5000068710,,
41,RACPp.J,5.73,2014-03-31T00:00:00Z,2918570,113,,,Core Growth
42,RACPp.J,3.5786,2014-09-30T00:00:00Z,3879199,113,5000660468,,
43,RACPp.J,2.7778,2014-03-31T00:00:00Z,6237635,107,34418289536,,
44,RACPp.J,2.1216,2014-03-31T00:00:00Z,5894107,113,34415071139,,
45,RACPp.J,1.6438,2014-03-31T00:00:00Z,5338216,303,34413507034,,
46,RACPp.J,0.6971,2014-03-31T00:00:00Z,5659934,303,34415552795,,
47,RACPp.J,,,5894119,303,,,
48,RACPp.J,,,2522977,303,,,Core Growth
49,RACPp.J,10.0,2013-03-31T00:00:00Z,2636816,,5000749186,,
50,RACPp.J,7.78,2013-03-31T00:00:00Z,2445138,,5000068710,,Core Value
51,RACPp.J,3.58,2013-12-31T00:00:00Z,3879199,,5000660468,,
52,RACPp.J,1.6055,2013-03-31T00:00:00Z,5894107,113,34415071139,,
53,RACPp.J,0.3778,2013-03-31T00:00:00Z,5338216,113,34413507034,,
54,RACPp.J,0.18,2013-03-31T00:00:00Z,5894119,113,34414693282,,
55,RACPp.J,0.0,2012-06-30T00:00:00Z,2522977,113,5001196700,,
56,RACPp.J,,,6237635,303,,,
57,RACPp.J,,,5659934,303,,,
58,RACPp.J,,,2918570,303,,,
59,RACPp.J,,,,107,,,
60,RACPp.J,,,,113,,,
61,RACPp.J,,,,,,,
62,RACPp.J,,,,,,,
63,RACPp.J,,,,,,,
64,RACPp.J,,,,,,,
65,LHCJ.J,13.4297,2014-09-30T00:00:00Z,2637859,114,4297369644,South Africa,Index
66,LHCJ.J,5.025,2014-09-30T00:00:00Z,2644211,107,4295888698,,Income Value
67,LHCJ.J,4.9948,2014-09-30T00:00:00Z,2657747,301,5001449709,,Core Value
68,LHCJ.J,4.65,2014-09-30T00:00:00Z,2002962,114,4297901803,,GARP
69,LHCJ.J,2.92,2014-09-30T00:00:00Z,2003937,107,5000002955,,Emerg. Mkts.
70,LHCJ.J,0.66,2014-12-31T00:00:00Z,2004198,301,5001446506,,Income Value
71,LHCJ.J,0.6235,2014-12-31T00:00:00Z,2005965,114,5000667881,,Index
72,LHCJ.J,0.6067,2014-09-30T00:00:00Z,5433356,113,34424382919,,Emerg. Mkts.
73,LHCJ.J,0.47,2013-12-31T00:00:00Z,2003660,107,5000045878,,
74,LHCJ.J,0.2569,2014-12-31T00:00:00Z,2003407,113,5000652799,,Index
75,LHCJ.J,0.16,2014-12-31T00:00:00Z,2003347,201,4296380501,,Core Value
76,LHCJ.J,0.12,2014-12-31T00:00:00Z,2004974,113,5000689330,,Growth
77,LHCJ.J,0.11,2014-12-31T00:00:00Z,2003524,107,5000317623,,Emerg. Mkts.
78,LHCJ.J,0.1,2013-10-31T00:00:00Z,2386352,113,5000007967,,Yield
79,LHCJ.J,0.08,2014-12-31T00:00:00Z,2005167,107,5000071988,,Emerg. Mkts.
80,LHCJ.J,0.0603,2014-12-31T00:00:00Z,2575182,113,4295907833,,Growth
81,LHCJ.J,0.06,2014-12-01T00:00:00Z,3315235,110,4295859577,,GARP
82,LHCJ.J,0.053,2014-03-31T00:00:00Z,2785397,113,4298348889,,
83,LHCJ.J,0.0522,2014-05-31T00:00:00Z,2999107,114,5001446366,,Yield
84,LHCJ.J,0.0483,2013-08-31T00:00:00Z,3346463,113,5001449676,,
85,LHCJ.J,0.048,2013-09-30T00:00:00Z,3878742,303,5001449675,,Core Growth
86,LHCJ.J,0.0444,2014-12-31T00:00:00Z,2611357,113,5000055896,,Yield
87,LHCJ.J,0.0432,2014-12-31T00:00:00Z,2412732,107,5000068471,,Core Value
88,LHCJ.J,0.041,2014-09-30T00:00:00Z,2132706,107,4298459126,,Core Growth
89,LHCJ.J,0.0384,2014-12-31T00:00:00Z,2003744,113,4295895369,,Specialty
90,LHCJ.J,0.03,2014-12-31T00:00:00Z,2621326,107,5000062040,,Yield
91,LHCJ.J,0.03,2014-12-31T00:00:00Z,2002400,110,5000074291,,Yield
92,LHCJ.J,0.0262,2014-12-31T00:00:00Z,2627998,113,4295999033,,GARP
93,LHCJ.J,0.0255,2014-12-31T00:00:00Z,2497905,107,4296093501,,Emerg. Mkts.
94,LHCJ.J,0.02,2014-12-31T00:00:00Z,2502374,113,4298295079,,Index
95,LHCJ.J,0.02,2014-12-31T00:00:00Z,5480085,107,5000060878,,Index
96,LHCJ.J,0.02,2014-03-31T00:00:00Z,2240396,113,5000008903,,Income Value
97,LHCJ.J,0.0145,2014-09-30T00:00:00Z,5951503,113,,,Emerg. Mkts.
98,LHCJ.J,0.0103,2014-12-31T00:00:00Z,2006956,113,5001447576,,Emerg. Mkts.
99,LHCJ.J,0.0103,2014-09-30T00:00:00Z,5702076,110,34421367525,,Emerg. Mkts.
100,LHCJ.J,0.01,2014-12-31T00:00:00Z,3820411,107,5001214551,,Yield
101,LHCJ.J,0.0085,2013-06-30T00:00:00Z,5834199,107,5001426096,,Emerg. Mkts.
102,LHCJ.J,0.0084,2014-12-31T00:00:00Z,5263563,113,4298072990,,Index
103,LHCJ.J,0.0081,2013-05-31T00:00:00Z,2005964,113,5001447811,,Growth
104,LHCJ.J,0.01,2014-12-31T00:00:00Z,5199362,110,5001425643,,Emerg. Mkts.
105,LHCJ.J,0.01,2013-10-31T00:00:00Z,3880251,113,5001445244,,Emerg. Mkts.
106,LHCJ.J,0.0061,2013-12-31T00:00:00Z,2403920,113,5000749182,,Emerg. Mkts.
107,LHCJ.J,0.0041,2014-12-31T00:00:00Z,5079944,110,5000075979,,Emerg. Mkts.
108,LHCJ.J,0.0039,2013-07-31T00:00:00Z,2003357,113,4296082779,,Income Value
109,LHCJ.J,0.0037,2014-12-31T00:00:00Z,5206911,107,4298335424,,
110,LHCJ.J,0.0029,2014-12-31T00:00:00Z,2006204,107,4298202767,,Emerg. Mkts.
111,LHCJ.J,0.0028,2014-11-30T00:00:00Z,2001981,113,4296936358,,Core Value
112,LHCJ.J,0.0023,2014-12-31T00:00:00Z,2003096,113,4296336142,,Yield
113,LHCJ.J,0.0021,2014-09-30T00:00:00Z,5702079,113,34414627483,,Specialty
114,LHCJ.J,0.0019,2014-03-31T00:00:00Z,5020208,113,5001442859,,Growth
115,LHCJ.J,0.0018,2014-12-31T00:00:00Z,2674727,107,4297053111,,Core Value
116,LHCJ.J,0.0014,2013-09-30T00:00:00Z,5832879,107,5035483963,,Income Value
117,LHCJ.J,0.0007,2014-09-30T00:00:00Z,2645974,107,5036882646,,Index
118,LHCJ.J,0.0,2014-09-30T00:00:00Z,5951501,110,,,Emerg. Mkts.
119,LHCJ.J,0.0,2014-03-31T00:00:00Z,5776381,113,5037315798,,GARP
120,LHCJ.J,0.0,2014-09-30T00:00:00Z,5702091,113,,,Yield
121,LHCJ.J,0.0,2014-03-31T00:00:00Z,5664449,113,5039710136,,Index
122,LHCJ.J,0.0,2013-06-30T00:00:00Z,5592212,107,5001210858,,Index
123,LHCJ.J,0.0,2013-03-31T00:00:00Z,5451564,113,5001175362,,Index
124,LHCJ.J,0.0,2014-09-30T00:00:00Z,2915245,113,4298106595,,Index
125,LHCJ.J,0.0,2013-12-31T00:00:00Z,2529158,113,5001196565,,Growth
126,LHCJ.J,0.0,2013-09-30T00:00:00Z,2522977,113,5001196700,,
127,LHCJ.J,0.0,2013-09-30T00:00:00Z,2005510,113,5074516385,,Aggres. Gr.
128,LHCJ.J,0.0,2013-08-31T00:00:00Z,2004306,101,5000067071,,Index
129,LHCJ.J,0.0,2014-06-30T00:00:00Z,2004197,113,4296293277,,Emerg. Mkts.
130,LHCJ.J,0.0,2014-07-31T00:00:00Z,2003742,107,4297592696,,Emerg. Mkts.
131,LHCJ.J,0.0,2014-12-31T00:00:00Z,2003708,113,5000064072,,Sector Specific
132,LHCJ.J,0.0,2013-09-30T00:00:00Z,2003192,113,5000726718,,
133,LHCJ.J,0.0,2013-09-30T00:00:00Z,2002449,107,4296438629,,Core Growth
134,LHCJ.J,,,5636766,113,,,Emerg. Mkts.
135,LHCJ.J,,,5482082,107,,,Specialty
136,LHCJ.J,,,5395396,113,,,Emerg. Mkts.
137,LHCJ.J,,,2398884,107,,,Emerg. Mkts.
138,LHCJ.J,,,2287993,113,,,Emerg. Mkts.
139,LHCJ.J,,,2007365,107,,,Emerg. Mkts.
140,LHCJ.J,,,2006423,113,,,Growth
141,LHCJ.J,,,2004134,113,,,Emerg. Mkts.
142,LHCJ.J,,,2002312,113,,,Core Value
143,LHCJ.J,,,2001961,113,,,GARP
144,LHCJ.J,13.5739,2013-09-27T00:00:00Z,2637859,113,4297369644,,Emerg. Mkts.
145,LHCJ.J,5.0302,2013-09-27T00:00:00Z,2644211,107,4295888698,,Core Growth
146,LHCJ.J,4.9948,2013-09-27T00:00:00Z,2657747,113,5001449709,,Emerg. Mkts.
147,LHCJ.J,3.41,2013-09-27T00:00:00Z,2003937,113,5000002955,,Emerg. Mkts.
148,LHCJ.J,2.24,2013-12-31T00:00:00Z,2002962,107,4297901803,,Emerg. Mkts.
149,LHCJ.J,0.97,2013-09-30T00:00:00Z,5702091,107,,,Aggres. Gr.
150,LHCJ.J,0.6233,2013-12-31T00:00:00Z,2004198,107,5001446506,,Core Growth
151,LHCJ.J,0.6056,2013-09-30T00:00:00Z,5433356,108,34424382919,,Index
152,LHCJ.J,0.5228,2013-12-31T00:00:00Z,2005965,107,5000667881,,Emerg. Mkts.
153,LHCJ.J,0.52,2013-12-31T00:00:00Z,2003347,113,4296380501,,Emerg. Mkts.
154,LHCJ.J,0.47,2013-12-31T00:00:00Z,2003660,113,5000045878,,Index
155,LHCJ.J,0.2359,2013-12-31T00:00:00Z,2003407,107,5000652799,,
156,LHCJ.J,0.14,2013-12-31T00:00:00Z,2003708,107,5000064072,,Growth
157,LHCJ.J,0.12,2013-12-31T00:00:00Z,2003524,113,5000317623,,Core Value
158,LHCJ.J,0.11,2013-12-31T00:00:00Z,2004974,113,5000689330,,Emerg. Mkts.
159,LHCJ.J,0.1,2013-10-31T00:00:00Z,2386352,113,5000007967,,Index
160,LHCJ.J,0.08,2013-12-31T00:00:00Z,2999107,113,5001446366,,Core Growth
161,LHCJ.J,0.07,2012-03-31T00:00:00Z,2006423,101,4297874637,,Emerg. Mkts.
162,LHCJ.J,0.0483,2013-08-31T00:00:00Z,3346463,113,5001449676,,Emerg. Mkts.
163,LHCJ.J,0.048,2013-09-30T00:00:00Z,3878742,113,5001449675,,Emerg. Mkts.
164,LHCJ.J,0.05,2013-12-31T00:00:00Z,2915245,107,4298106595,,GARP
165,LHCJ.J,0.0473,2013-12-31T00:00:00Z,2575182,113,4295907833,,GARP
166,LHCJ.J,0.0388,2013-12-31T00:00:00Z,2004197,113,4296293277,,GARP
167,LHCJ.J,0.03,2013-12-31T00:00:00Z,2621326,107,5000062040,,Emerg. Mkts.
168,LHCJ.J,0.0325,2013-12-31T00:00:00Z,2611357,107,5000055896,,Specialty
