		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	LABELS	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE
																			
200.investortypedescriptionid	Investor Type Description ID = 200	-11.66	-11.82	-4.098	-12.76	-12.84	-4.091	-12.73	-12.83	-4.087	-12.73	-12.83	-4.087	-12.73	-12.83	-4.087	-11.70	-11.85	-4.091
		(12.97)	(12.71)	(9.093)	(9.433)	(8.999)	(6.755)	(9.428)	(9.003)	(6.761)	(9.428)	(9.003)	(6.761)	(9.428)	(9.003)	(6.761)	(13.01)	(12.74)	(9.124)
201.investortypedescriptionid	Investor Type Description ID = 201	0.593	0.348	-0.170	0.838	0.755	-0.165	0.817	0.733	-0.161	0.817	0.733	-0.161	0.817	0.733	-0.161	0.579	0.258	-0.223
		(0.935)	(0.916)	(0.656)	(0.694)	(0.662)	(0.497)	(0.693)	(0.663)	(0.498)	(0.693)	(0.663)	(0.498)	(0.693)	(0.663)	(0.498)	(0.945)	(0.926)	(0.663)
202.investortypedescriptionid	Investor Type Description ID = 202	3.247	2.822	3.705	3.533	2.913	3.545	3.567	2.956	3.549	3.567	2.956	3.549	3.567	2.956	3.549	2.954	2.642	3.670
		(9.177)	(8.986)	(6.430)	(6.672)	(6.365)	(4.777)	(6.668)	(6.368)	(4.781)	(6.668)	(6.368)	(4.781)	(6.668)	(6.368)	(4.781)	(9.204)	(9.012)	(6.453)
301.investortypedescriptionid	Investor Type Description ID = 301	-5.622***	-5.645***	-1.147***	-3.993***	-3.607***	-1.006***	-3.987***	-3.623***	-1.007***	-3.987***	-3.623***	-1.007***	-3.987***	-3.623***	-1.007***	-5.640***	-5.688***	-1.186***
		(0.332)	(0.327)	(0.239)	(0.242)	(0.232)	(0.178)	(0.242)	(0.232)	(0.178)	(0.242)	(0.232)	(0.178)	(0.242)	(0.232)	(0.178)	(0.336)	(0.331)	(0.242)
302.investortypedescriptionid	Investor Type Description ID = 302	-0.549	-0.757	-1.127***	-0.601	-0.798**	-1.090***	-0.598	-0.808**	-1.090***	-0.598	-0.808**	-1.090***	-0.598	-0.808**	-1.090***	-0.536	-0.718	-1.134***
		(0.556)	(0.545)	(0.394)	(0.408)	(0.389)	(0.295)	(0.408)	(0.390)	(0.296)	(0.408)	(0.390)	(0.296)	(0.408)	(0.390)	(0.296)	(0.565)	(0.554)	(0.401)
303.investortypedescriptionid	Investor Type Description ID = 303	-4.591***	-4.324***	-0.378*	-2.171***	-1.548***	-0.418**	-2.168***	-1.562***	-0.420**	-2.168***	-1.562***	-0.420**	-2.168***	-1.562***	-0.420**	-4.605***	-4.385***	-0.408*
		(0.308)	(0.302)	(0.220)	(0.224)	(0.215)	(0.164)	(0.224)	(0.215)	(0.164)	(0.224)	(0.215)	(0.164)	(0.224)	(0.215)	(0.164)	(0.312)	(0.306)	(0.222)
304.investortypedescriptionid	Investor Type Description ID = 304	-2.388**	-2.456**	-0.666	-1.651**	-1.723**	-0.495	-1.646**	-1.724**	-0.493	-1.646**	-1.724**	-0.493	-1.646**	-1.724**	-0.493	-2.075*	-2.028*	-0.664
		(1.100)	(1.078)	(0.776)	(0.839)	(0.800)	(0.605)	(0.838)	(0.801)	(0.605)	(0.838)	(0.801)	(0.605)	(0.838)	(0.801)	(0.605)	(1.114)	(1.091)	(0.786)
306.investortypedescriptionid	Investor Type Description ID = 306	-3.246**	-3.719***	-0.876	-3.314***	-3.052***	-0.863	-3.316***	-3.038***	-0.869	-3.316***	-3.038***	-0.869	-3.316***	-3.038***	-0.869	-3.125**	-3.760***	-0.868
		(1.268)	(1.244)	(0.900)	(0.918)	(0.877)	(0.666)	(0.918)	(0.877)	(0.666)	(0.918)	(0.877)	(0.666)	(0.918)	(0.877)	(0.666)	(1.272)	(1.247)	(0.902)
402.investortypedescriptionid	Investor Type Description ID = 402	-0.493	0.618	1.120	-1.017	0.159	0.522	-0.988	0.169	0.523	-0.988	0.169	0.523	-0.988	0.169	0.523	-0.469	0.626	1.166
		(5.809)	(5.691)	(4.073)	(4.223)	(4.031)	(3.026)	(4.221)	(4.033)	(3.028)	(4.221)	(4.033)	(3.028)	(4.221)	(4.033)	(3.028)	(5.827)	(5.707)	(4.087)
600.investortypedescriptionid	Investor Type Description ID = 600	11.25**	15.98***	2.016	9.441	15.17**	1.258	9.335	13.68**	1.260	9.335	13.68**	1.260	9.335	13.68**	1.260	11.18**	15.99***	2.046
		(5.303)	(5.205)	(3.800)	(6.671)	(6.369)	(4.836)	(6.667)	(6.373)	(4.840)	(6.667)	(6.373)	(4.840)	(6.667)	(6.373)	(4.840)	(5.319)	(5.220)	(3.813)
Constant	Constant	8.125***	8.120***	7.869***	7.994***	7.917***	8.100***	8.005***	7.934***	8.119***	8.005***	7.934***	8.119***	8.005***	7.934***	8.119***	8.143***	8.145***	7.896***
		(0.271)	(0.266)	(0.191)	(0.197)	(0.189)	(0.142)	(0.198)	(0.189)	(0.142)	(0.198)	(0.189)	(0.142)	(0.198)	(0.189)	(0.142)	(0.273)	(0.268)	(0.192)
																			
Observations		133,400	133,400	133,400	132,889	132,889	132,889	132,666	132,666	132,666	132,666	132,666	132,666	132,666	132,666	132,666	132,138	132,138	132,138
R-squared		0.104	0.141	0.561	0.168	0.243	0.574	0.169	0.242	0.574	0.169	0.242	0.574	0.169	0.242	0.574	0.104	0.141	0.560
Standard errors in parentheses																			
*** p<0.01, ** p<0.05, * p<0.1																			
