,Instrument,Investor Shares Held,Investor Perm Id,Investor Id,Date
0,SMBC.CI,,,,
1,SACL.ZI,,,,
2,SEMC.CI,,,,
3,ILV.MV,,,,
4,NITL.MV,,,,
5,TPCC.TZ,,,,
6,ZBFH.ZI,,,,
7,TTP.TZ,,,,
8,TCCL.TZ,,,,
9,FMB.MV,,,,
10,NBS.MV,,,,
11,SUNB.MV,,,,
12,MPICO.MV,,,,
13,DCB.TZ,,,,
14,NMB.TZ,,,,
15,COURTVI.LG,,,,
16,CRDB.TZ,,,,
17,NANG.LZ,,,,
18,PRIM.LZ,,,,
19,MCNICHO.LG,,,,
20,NIC.UG,,,,
21,BATZ.LZ,16079032,5000064072,2003708,2001-12-31T00:00:00Z
22,BATZ.LZ,16079032,5000221950,2003650,2001-12-31T00:00:00Z
23,BATZ.LZ,0,5000706029,2006494,2001-06-30T00:00:00Z
24,BATZ.LZ,0,5000057109,2003958,2000-09-30T00:00:00Z
25,BATZ.LZ,,,2005726,
26,BATZ.LZ,16079032,5000221950,2003650,2000-12-31T00:00:00Z
27,BATZ.LZ,3565839,5000706029,2006494,2000-12-31T00:00:00Z
28,BATZ.LZ,0,5001449043,2005726,1999-06-30T00:00:00Z
29,BATZ.LZ,0,5000057109,2003958,2000-09-30T00:00:00Z
30,BATZ.LZ,,,2003708,
31,BOAC.CI,,,,
32,RACPp.J,,,,
33,LHCJ.J,,,,
34,TNM.MV,,,,
35,CRESTA.BT,,,,
36,UHOMREI.LG,,,,
37,DANGCEM.LG,,,,
38,MULTITREX.LG,,,,
39,RBPJ.J,,,,
40,NPFMCRF.LG,,,,
41,BOABF.CI,,,,
42,MMPJ.J,,,,
43,OUTJ.J,,,,
44,IPFJ.J,,,,
45,LBTY.NR,,,,
46,REBJ.J,,,,
47,COHJ.J,,,,
48,LETL.BT,,,,
49,GOLI.MZ,,,,
50,BLR.RW,,,,
51,MPTJ.J,,,,
52,TCL.NR,,,,
53,BUCJ.J,,,,
54,TEXJ.J,,,,
55,DIBJ.J,,,,
56,BOK.RW,,,,
57,BRIT.NR,,,,
58,NAP.BT,,,,
59,FTAJ.J,,,,
60,SILPp.NM,,,,
61,PAL.TZ,,,,
62,TERA.MZ,,,,
63,CHOPP.BT,,,,
64,AUSTINLAZ.LG,,,,
65,SIT.MZ,,,,
66,LKL.NR,,,,
67,TCPJ.J,,,,
68,CIC.NR,,,,
69,FNBMIDJ.J,,,,
70,CIM.MZ,,,,
71,DLTJ.J,,,,
72,NHL.NM,,,,
73,UMEME.UG,,,,
74,MDIJ.J,,,,
75,UCAP.LG,,,,
76,AFRIPRU.LG,,,,
77,AGR.NM,,,,
78,ETFSAPJ.J,,,,
79,SHUMBA.BT,,,,
80,NGPLTJ.J,,,,
81,MLIJ.J,,,,
82,CGP.NM,,,,
83,HAFR.NR,,,,
84,ATTJ.J,,,,
85,ASCJ.J,,,,
86,APFJ.J,,,,
87,CWG.LG,,,,
88,UCHUMI.UG,,,,
89,ETFPLDJ.J,,,,
90,NGPLDJ.J,,,,
91,SARJ.J,,,,
92,ETFPLTJ.J,,,,
93,ETFGLDJ.J,,,,
94,THAJ.J,,,,
95,LVLTRXJ.J^H18,,,,
96,DIVTRXJ.J,,,,
97,AVLJ.J,,,,
98,LOTO.MZ,,,,
99,CAVERTON.LG,,,,
100,VISJ.J,,,,
101,MBP.TZ,,,,
102,SARE.MZ,,,,
103,KSTJ.J,,,,
104,EQUJ.J,,,,
105,AFHJ.J,,,,
106,MAFS.LZ,,,,
107,NSE.NR,,,,
108,SWALA.TZ,,,,
109,BTCL.BT,,,,
110,RFGJ.J,,,,
111,TRANSCOHOT.LG,,,,
112,QFHJ.J,,,,
113,NOV.MZ,,,,
114,LIVINGTRUST.LG,,,,
115,TTLS.CI,,,,
116,FTGH.NR,,,,
117,KCCGLDJ.J,,,,
118,KUR.NR,,,,
119,MEDVIEWAIR.LG,,,,
120,DNBJ.J,,,,
121,HILJ.J,,,,
122,ACSJ.J,,,,
123,IMRP7p.J,,,,
124,BOAS.CI,,,,
125,NVSJ.J,,,,
126,MFDG.MZ,,,,
127,MKCB.TZ,,,,
128,MAC.GH,,,,
129,IMR.RW,,,,
130,MCB.TZ,,,,
131,INFINITY.LG,,,,
132,VALUEFUND.LG,,,,
133,UPDCREIT.LG,,,,
134,ADB.GH,,,,
135,BOAM.CI,,,,
136,CTOP50J.J,,,,
137,IKUL.LZ,,,,
138,EIZP.LZ,,,,
139,ILUJ.J,,,,
140,PROL.ZI,,,,
141,RENJ.J,,,,
142,PEMJ.J,,,,
143,YETU.TZ,,,,
144,STANBIC.LG,,,,
145,VETIVA.LG,,,,
146,APL.MZ,,,,
147,DCPJ.J,,,,
148,BWNJ.J,,,,
149,SYGJ.J,,,,
150,TRLJ.J,,,,
151,CTAJ.J,,,,
152,IIL.GH,,,,
153,NOTORE.LG,,,,
154,SSSJ.J,,,,
155,SAMBA.GH,,,,
156,HORDS.GH,,,,
157,MMH.GH,,,,
158,MHBJ.J,,,,
159,ATIL.MZ,,,,
160,LTEJ.J,,,,
161,FAHR.NR,,,,
162,ETFRHOJ.J,,,,
163,SNHJ.J,7735996,5000054512,2003672,2001-12-31T00:00:00Z
164,SNHJ.J,50700,5000036750,2002451,2001-12-31T00:00:00Z
165,SNHJ.J,0,5000051932,2003066,2001-12-31T00:00:00Z
166,SNHJ.J,4769600,5000054512,2003672,2000-12-31T00:00:00Z
167,SNHJ.J,,,2003066,
168,SNHJ.J,,,2002451,
169,GBFS.ZI,,,,
170,ABCB.MZ,,,,
171,VETBANK.LG,,,,
172,VETGOODS.LG,,,,
173,VETINDETF.LG,,,,
174,NRLJ.J,,,,
175,TAD.MZ,,,,
176,DCON.NR,,,,
177,FPC.BT,,,,
178,AXIA.ZI,,,,
179,BIDJ.J,,,,
180,MUCOBA.TZ,,,,
181,NBV.NR,,,,
182,NSBC.CI,,,,
183,DSE.TZ,,,,
184,IBLL.MZ,,,,
185,EPEJ.J,,,,
186,UPL.MZ,,,,
187,YYLBEEJ.J,,,,
188,ACCESS.GH,,,,
