,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
0,SMBC.CI,,,,,,Ivory Coast,
1,SACL.ZI,,,,,,Zimbabwe,
2,SEMC.CI,,,,,,United States,
3,ILV.MV,,,,,,United Kingdom,
4,NITL.MV,,,,,,Malawi,
5,TPCC.TZ,,,,,,Germany,
6,ZBFH.ZI,,,,,,Zimbabwe,
7,TTP.TZ,,,,,,Tanzania,
8,TCCL.TZ,,,,,,,
9,FMB.MV,,,,,,Malawi,
10,NBS.MV,,,,,,Malawi,
11,SUNB.MV,,,,,,Malawi,
12,MPICO.MV,,,,,,Malawi,
13,DCB.TZ,,,,,,Tanzania,
14,NMB.TZ,,,,,,Tanzania,
15,COURTVI.LG,,,,,,Nigeria,
16,CRDB.TZ,,,,,,Tanzania,
17,NANG.LZ,,,,,,United Kingdom,
18,PRIM.LZ,,,,,,Zambia,
19,MCNICHO.LG,,,,,,Nigeria,
20,NIC.UG,,,,,,Uganda,
21,BATZ.LZ,,,,,,United Kingdom,
22,BATZ.LZ,,,,,,,
23,BOAC.CI,,,,,,Morocco,
24,RACPp.J,,,,,,South Africa,
25,LHCJ.J,,,,,,South Africa,
26,TNM.MV,,,,,,Malawi,
27,CRESTA.BT,,,,,,Botswana,
28,UHOMREI.LG,,,,,,Nigeria,
29,DANGCEM.LG,,,,,,Nigeria,
30,MULTITREX.LG,,,,,,Nigeria,
31,RBPJ.J,,,,,,South Africa,
32,NPFMCRF.LG,,,,,,Nigeria,
33,BOABF.CI,,,,,,Morocco,
34,MMPJ.J,,,,,,South Africa,
35,OUTJ.J,,,,,,South Africa,
36,IPFJ.J,,,,,,South Africa,
37,LBTY.NR,,,,,,South Africa,
38,REBJ.J,,,,,,South Africa,
39,COHJ.J,,,,,,South Africa,
40,LETL.BT,,,,,,Botswana,
41,GOLI.MZ,,,,,,Mauritius,
42,BLR.RW,,,,,,Netherlands,
43,MPTJ.J,,,,,,South Africa,
44,TCL.NR,,,,,,Kenya,
45,BUCJ.J,17.3912,2006-10-17T00:00:00Z,4130469,303,,South Africa,
46,BUCJ.J,8.6956,2006-10-17T00:00:00Z,3146531,303,34413490891,,
47,BUCJ.J,1.304,2006-10-17T00:00:00Z,4272091,303,34413670710,,
48,BUCJ.J,,,4272091,,,,
49,BUCJ.J,,,4130469,,,,
50,BUCJ.J,,,3146531,,,,
51,TEXJ.J,,,,,,South Africa,
52,DIBJ.J,,,,,,South Africa,
53,BOK.RW,,,,,,Rwanda,
54,BRIT.NR,,,,,,Kenya,
55,NAP.BT,,,,,,Botswana,
56,FTAJ.J,,,,,,South Africa,
57,SILPp.NM,,,,,,Namibia,
58,PAL.TZ,,,,,,Tanzania,
59,TERA.MZ,,,,,,Mauritius,
60,CHOPP.BT,,,,,,Botswana,
61,AUSTINLAZ.LG,,,,,,Nigeria,
62,SIT.MZ,,,,,,Mauritius,
63,LKL.NR,,,,,,Kenya,
64,TCPJ.J,,,,,,South Africa,
65,CIC.NR,,,,,,United Kingdom,
66,FNBMIDJ.J,,,,,,,
67,CIM.MZ,,,,,,,
68,DLTJ.J,,,,,,South Africa,
69,NHL.NM,,,,,,Namibia,
70,UMEME.UG,,,,,,Uganda,
71,MDIJ.J,,,,,,South Africa,
72,UCAP.LG,,,,,,Nigeria,
73,AFRIPRU.LG,,,,,,Nigeria,
74,AGR.NM,,,,,,Namibia,
75,ETFSAPJ.J,,,,,,,
76,SHUMBA.BT,,,,,,Botswana,
77,NGPLTJ.J,,,,,,,
78,MLIJ.J,,,,,,United Kingdom,
79,CGP.NM,,,,,,Namibia,
80,HAFR.NR,,,,,,Kenya,
81,ATTJ.J,,,,,,South Africa,
82,ASCJ.J,,,,,,South Africa,
83,APFJ.J,,,,,,South Africa,
84,CWG.LG,,,,,,Nigeria,
85,UCHUMI.UG,,,,,,Kenya,
86,ETFPLDJ.J,,,,,,,
87,NGPLDJ.J,,,,,,,
88,SARJ.J,,,,,,South Africa,
89,ETFPLTJ.J,,,,,,,
90,ETFGLDJ.J,,,,,,,
91,THAJ.J,,,,,,Cyprus,
92,LVLTRXJ.J^H18,,,,,,,
93,DIVTRXJ.J,,,,,,,
94,AVLJ.J,,,,,,South Africa,
95,LOTO.MZ,,,,,,Mauritius,
96,CAVERTON.LG,,,,,,Nigeria,
97,VISJ.J,,,,,,South Africa,
98,MBP.TZ,,,,,,Tanzania,
99,SARE.MZ,,,,,,South Africa,
100,KSTJ.J,,,,,,South Africa,
101,EQUJ.J,,,,,,South Africa,
102,AFHJ.J,,,,,,United States,
103,MAFS.LZ,,,,,,Zambia,
104,NSE.NR,,,,,,Kenya,
105,SWALA.TZ,,,,,,Tanzania,
106,BTCL.BT,,,,,,Botswana,
107,RFGJ.J,,,,,,South Africa,
108,TRANSCOHOT.LG,,,,,,Nigeria,
109,QFHJ.J,,,,,,South Africa,
110,NOV.MZ,,,,,,Mauritius,
111,LIVINGTRUST.LG,,,,,,Nigeria,
112,TTLS.CI,,,,,,France,
113,FTGH.NR,,,,,,Kenya,
114,KCCGLDJ.J,,,,,,,
115,KUR.NR,,,,,,Kenya,
116,MEDVIEWAIR.LG,,,,,,Nigeria,
117,DNBJ.J,,,,,,South Africa,
118,HILJ.J,,,,,,Malta,
119,ACSJ.J,,,,,,South Africa,
120,IMRP7p.J,,,,,,South Africa,
121,BOAS.CI,,,,,,Morocco,
122,NVSJ.J,,,,,,South Africa,
123,MFDG.MZ,,,,,,Mauritius,
124,MKCB.TZ,,,,,,Tanzania,
125,MAC.GH,,,,,,Ghana,
126,IMR.RW,,,,,,Kenya,
127,MCB.TZ,,,,,,Tanzania,
128,INFINITY.LG,,,,,,Nigeria,
129,VALUEFUND.LG,,,,,,Nigeria,
130,UPDCREIT.LG,,,,,,Nigeria,
131,ADB.GH,,,,,,Ghana,
132,BOAM.CI,,,,,,Morocco,
133,CTOP50J.J,,,,,,,
134,IKUL.LZ,,,,,,Zambia,
135,EIZP.LZ,,,,,,Zambia,
136,ILUJ.J,,,,,,South Africa,
137,PROL.ZI,,,,,,Zimbabwe,
138,RENJ.J,,,,,,South Africa,
139,PEMJ.J,,,,,,South Africa,
140,YETU.TZ,,,,,,Tanzania,
141,STANBIC.LG,,,,,,,
142,VETIVA.LG,,,,,,,
143,APL.MZ,,,,,,Mauritius,
144,DCPJ.J,,,,,,,
145,BWNJ.J,,,,,,South Africa,
146,SYGJ.J,,,,,,South Africa,
147,TRLJ.J,,,,,,South Africa,
148,CTAJ.J,,,,,,South Africa,
149,IIL.GH,,,,,,Ghana,
150,NOTORE.LG,,,,,,,
151,SSSJ.J,,,,,,South Africa,
152,SAMBA.GH,,,,,,Ghana,
153,HORDS.GH,,,,,,Ghana,
154,MMH.GH,,,,,,Ghana,
155,MHBJ.J,,,,,,South Africa,
156,ATIL.MZ,,,,,,South Africa,
157,LTEJ.J,,,,,,Malta,
158,FAHR.NR,,,,,,Kenya,
159,ETFRHOJ.J,,,,,,,
160,SNHJ.J,2.7613,2006-12-29T00:00:00Z,3238019,303,34413286392,South Africa,
161,SNHJ.J,0.0039,2006-12-31T00:00:00Z,2003276,107,4296618041,,
162,SNHJ.J,0.0038,2006-09-30T00:00:00Z,2484925,113,5000043067,,
163,SNHJ.J,,,2003066,107,,,
164,SNHJ.J,2.7601,2005-12-30T00:00:00Z,3238019,107,34413286392,,
165,SNHJ.J,0.0197,2005-09-10T00:00:00Z,2484925,113,5000043067,,
166,SNHJ.J,0.0039,2005-12-31T00:00:00Z,2003276,107,4296618041,,
167,SNHJ.J,0.0,2004-03-31T00:00:00Z,2003066,110,5000051932,,
168,SNHJ.J,,,,110,,,
169,SNHJ.J,,,,107,,,
170,SNHJ.J,,,,113,,,
171,SNHJ.J,,,,107,,,
172,SNHJ.J,,,,113,,,
173,SNHJ.J,,,,,,,
174,SNHJ.J,,,,,,,
175,SNHJ.J,,,,,,,
176,SNHJ.J,,,,303,,,
177,SNHJ.J,,,,107,,,
178,SNHJ.J,,,,107,,,
179,SNHJ.J,,,,113,,,
180,SNHJ.J,,,,113,,,
181,SNHJ.J,,,,113,,,
182,SNHJ.J,,,,107,,,
183,SNHJ.J,,,,113,,,
184,SNHJ.J,,,,107,,,
185,SNHJ.J,,,,107,,,
186,SNHJ.J,,,,113,,,
187,SNHJ.J,,,,110,,,
188,SNHJ.J,,,,110,,,
189,SNHJ.J,,,,107,,,
190,SNHJ.J,,,,,,,
191,SNHJ.J,,,,,,,
192,GBFS.ZI,,,,,,Luxembourg,
193,ABCB.MZ,,,,,,Mauritius,
194,VETBANK.LG,,,,,,,
195,VETGOODS.LG,,,,,,,
196,VETINDETF.LG,,,,,,,
197,NRLJ.J,,,,,,South Africa,
198,TAD.MZ,,,,,,Mauritius,
199,DCON.NR,,,,,,Kenya,
200,FPC.BT,,,,,,Botswana,
201,AXIA.ZI,,,,,,Zimbabwe,
202,BIDJ.J,,,,,,South Africa,
203,MUCOBA.TZ,,,,,,Tanzania,
204,NBV.NR,,,,,,United Arab Emirates,
205,NSBC.CI,,,,,,Ivory Coast,
206,DSE.TZ,,,,,,Tanzania,
207,IBLL.MZ,,,,,,Mauritius,
208,EPEJ.J,,,,,,Mauritius,
209,UPL.MZ,,,,,,Mauritius,
210,YYLBEEJ.J,,,,,,South Africa,
211,ACCESS.GH,,,,,,Nigeria,
212,SCRC.CI,,,,,,Ivory Coast,
213,SEAJ.J,,,,,,South Africa,
214,SIBC.CI,,,,,,Morocco,
215,GLPROPJ.J,,,,,,,
216,CBIBF.CI,,,,,,Burkina Faso,
217,TPFJ.J,,,,,,South Africa,
218,VODA.TZ,,,,,,United Kingdom,
219,CQCIL.UG,,,,,,India,
220,L2DJ.J,,,,,,South Africa,
221,TIP.LG,,,,,,Nigeria,
222,DCCUSDJ.J,,,,,,,
223,SHGJ.J,,,,,,South Africa,
224,JAIZBANK.LG,,,,,,Nigeria,
225,STXILBJ.J,,,,,,,
226,STXPROJ.J,,,,,,,
227,PFBJ.J,,,,,,South Africa,
228,MTNGH.GH,,,,,,South Africa,
229,MIN.BT,,,,,,Botswana,
230,BAYP.MZ,,,,,,Mauritius,
231,AILJ.J,,,,,,South Africa,
232,KALJ.J,,,,,,South Africa,
233,NRPJ.J,,,,,,Netherlands,
234,RHBJ.J,,,,,,South Africa,
235,HETJ.J,,,,,,South Africa,
236,STXWDMJ.J,,,,,,,
237,STXEMGJ.J,,,,,,,
238,STX500J.J,,,,,,,
239,FMP.ZI,,,,,,Zimbabwe,
240,ZXSWS.ZX,,,,,,South Africa,
241,ZXSWB.ZX,,,,,,South Africa,
242,ZXTWI.ZX,,,,,,South Africa,
243,FMBCH.MV,,,,,,Malawi,
244,PPHJ.J,,,,,,South Africa,
245,STXQUAJ.J,,,,,,,
246,LHN.NM,,,,,,Botswana,
247,4SIJ.J,,,,,,Mauritius,
248,SDOJ.J,,,,,,South Africa,
249,FNBEQFJ.J,,,,,,,
250,PNH.NM,,,,,,Namibia,
251,SYG500J.J,,,,,,,
252,CCAF.LZ,,,,,,Zambia,
253,DCCUS2J.J,,,,,,,
254,ECOC.CI,,,,,,Togo,
255,GSPECPLC.LG,,,,,,Nigeria,
256,ARIN.MZ,,,,,,Indonesia,
257,CVWJ.J,,,,,,,
258,AYOJ.J,,,,,,South Africa,
259,ZXTIP.ZX,,,,,,South Africa,
260,ETF500J.J,,,,,,,
261,FNBWGBJ.J,,,,,,,
262,STXNDQJ.J,,,,,,,
263,LBRJ.J,,,,,,South Africa,
264,DIGICUT.GH,,,,,,Ghana,
265,FTHJ.J,,,,,,South Africa,
266,AEIBy.MZ,,,,,,Egypt,
267,4ANWKH.4AX,,,,,,South Africa,
268,4AHWP.4AX,,,,,,South Africa,
269,4AASP.4AX,,,,,,South Africa,
270,NFEMODJ.J,,,,,,,
271,NFEHGEJ.J,,,,,,,
272,NFEDEFJ.J,,,,,,,
273,MTNN.LG,,,,,,South Africa,
274,ETFBNDJ.J,,,,,,,
275,NFNAMA.NM,,,,,,,
276,STXGOVJ.J,,,,,,,
277,STXESGJ.J,,,,,,,
278,STXEMEJ.J,,,,,,,
279,MERGROWTH.LG,,,,,,,
280,MERVALUE.LG,,,,,,,
281,SYGESGJ.J,,,,,,,
282,MTNR.RW,,,,,,South Africa,
283,SYGEMFJ.J,,,,,,,
284,STXCAPJ.J,,,,,,,
285,STXNDAJ.J,,,,,,,
286,4AAVC.4AX,,,,,,South Africa,
287,STXHLTJ.J,,,,,,,
288,ETFSRIJ.J,,,,,,,
289,ETFEMAJ.J,,,,,,,
290,BIND.VF,,,,,,United Kingdom,
291,PHL.VF,,,,,,Zimbabwe,
292,SYGSEJ.J,,,,,,,
293,CSGOVIJ.J,,,,,,South Africa,
294,SIM.VF,,,,,,Zimbabwe,
295,NED.VF,,,,,,Zimbabwe,
296,ZZDJ.J,,,,,,South Africa,
297,NTFD.VF,,,,,,Zimbabwe,
298,4AGFR1O.4AX,,,,,,South Africa,
299,GEREGU.LG,,,,,,Nigeria,
300,CAAJ.J,,,,,,South Africa,
