,Instrument,Investor Shares Held,Investor Perm Id,Investor Id,Date
0,SMBC.CI,,,,
1,SACL.ZI,,,,
2,SEMC.CI,,,,
3,ILV.MV,,,,
4,NITL.MV,,,,
5,TPCC.TZ,,,,
6,ZBFH.ZI,,,,
7,TTP.TZ,,,,
8,TCCL.TZ,,,,
9,FMB.MV,,,,
10,NBS.MV,,,,
11,SUNB.MV,,,,
12,MPICO.MV,,,,
13,DCB.TZ,,,,
14,NMB.TZ,,,,
15,COURTVI.LG,,,,
16,CRDB.TZ,,,,
17,NANG.LZ,,,,
18,PRIM.LZ,,,,
19,MCNICHO.LG,,,,
20,NIC.UG,,,,
21,BATZ.LZ,31408500,5000057109,2003958,1999-12-31T00:00:00Z
22,BATZ.LZ,16079032,5000221950,2003650,1999-12-31T00:00:00Z
23,BATZ.LZ,3565839,5000706029,2006494,1999-06-30T00:00:00Z
24,BATZ.LZ,0,5001449043,2005726,1999-06-30T00:00:00Z
25,BATZ.LZ,16079032,5000221950,2003650,1998-12-31T00:00:00Z
26,BATZ.LZ,1995000,5000706029,2006494,1998-12-31T00:00:00Z
27,BATZ.LZ,741000,5001449043,2005726,1998-12-31T00:00:00Z
28,BATZ.LZ,,,2003958,
29,BOAC.CI,,,,
30,RACPp.J,,,,
31,LHCJ.J,,,,
32,TNM.MV,,,,
33,CRESTA.BT,,,,
34,UHOMREI.LG,,,,
35,DANGCEM.LG,,,,
36,MULTITREX.LG,,,,
37,RBPJ.J,,,,
38,NPFMCRF.LG,,,,
39,BOABF.CI,,,,
40,MMPJ.J,,,,
41,OUTJ.J,,,,
42,IPFJ.J,,,,
43,LBTY.NR,,,,
44,REBJ.J,,,,
45,COHJ.J,,,,
46,LETL.BT,,,,
47,GOLI.MZ,,,,
48,BLR.RW,,,,
49,MPTJ.J,,,,
50,TCL.NR,,,,
51,BUCJ.J,,,,
52,TEXJ.J,,,,
53,DIBJ.J,,,,
54,BOK.RW,,,,
55,BRIT.NR,,,,
56,NAP.BT,,,,
57,FTAJ.J,,,,
58,SILPp.NM,,,,
59,PAL.TZ,,,,
60,TERA.MZ,,,,
61,CHOPP.BT,,,,
62,AUSTINLAZ.LG,,,,
63,SIT.MZ,,,,
64,LKL.NR,,,,
65,TCPJ.J,,,,
66,CIC.NR,,,,
67,FNBMIDJ.J,,,,
68,CIM.MZ,,,,
69,DLTJ.J,,,,
70,NHL.NM,,,,
71,UMEME.UG,,,,
72,MDIJ.J,,,,
73,UCAP.LG,,,,
74,AFRIPRU.LG,,,,
75,AGR.NM,,,,
76,ETFSAPJ.J,,,,
77,SHUMBA.BT,,,,
78,NGPLTJ.J,,,,
79,MLIJ.J,,,,
80,CGP.NM,,,,
81,HAFR.NR,,,,
82,ATTJ.J,,,,
83,ASCJ.J,,,,
84,APFJ.J,,,,
85,CWG.LG,,,,
86,UCHUMI.UG,,,,
87,ETFPLDJ.J,,,,
88,NGPLDJ.J,,,,
89,SARJ.J,,,,
90,ETFPLTJ.J,,,,
91,ETFGLDJ.J,,,,
92,THAJ.J,,,,
93,LVLTRXJ.J^H18,,,,
94,DIVTRXJ.J,,,,
95,AVLJ.J,,,,
96,LOTO.MZ,,,,
97,CAVERTON.LG,,,,
98,VISJ.J,,,,
99,MBP.TZ,,,,
100,SARE.MZ,,,,
101,KSTJ.J,,,,
102,EQUJ.J,,,,
103,AFHJ.J,,,,
104,MAFS.LZ,,,,
105,NSE.NR,,,,
106,SWALA.TZ,,,,
107,BTCL.BT,,,,
108,RFGJ.J,,,,
109,TRANSCOHOT.LG,,,,
110,QFHJ.J,,,,
111,NOV.MZ,,,,
112,LIVINGTRUST.LG,,,,
113,TTLS.CI,,,,
114,FTGH.NR,,,,
115,KCCGLDJ.J,,,,
116,KUR.NR,,,,
117,MEDVIEWAIR.LG,,,,
118,DNBJ.J,,,,
119,HILJ.J,,,,
120,ACSJ.J,,,,
121,IMRP7p.J,,,,
122,BOAS.CI,,,,
123,NVSJ.J,,,,
124,MFDG.MZ,,,,
125,MKCB.TZ,,,,
126,MAC.GH,,,,
127,IMR.RW,,,,
128,MCB.TZ,,,,
129,INFINITY.LG,,,,
130,VALUEFUND.LG,,,,
131,UPDCREIT.LG,,,,
132,ADB.GH,,,,
133,BOAM.CI,,,,
134,CTOP50J.J,,,,
135,IKUL.LZ,,,,
136,EIZP.LZ,,,,
137,ILUJ.J,,,,
138,PROL.ZI,,,,
139,RENJ.J,,,,
140,PEMJ.J,,,,
141,YETU.TZ,,,,
142,STANBIC.LG,,,,
143,VETIVA.LG,,,,
144,APL.MZ,,,,
145,DCPJ.J,,,,
146,BWNJ.J,,,,
147,SYGJ.J,,,,
148,TRLJ.J,,,,
149,CTAJ.J,,,,
150,IIL.GH,,,,
151,NOTORE.LG,,,,
152,SSSJ.J,,,,
153,SAMBA.GH,,,,
154,HORDS.GH,,,,
155,MMH.GH,,,,
156,MHBJ.J,,,,
157,ATIL.MZ,,,,
158,LTEJ.J,,,,
159,FAHR.NR,,,,
160,ETFRHOJ.J,,,,
161,SNHJ.J,,,,
162,GBFS.ZI,,,,
163,ABCB.MZ,,,,
164,VETBANK.LG,,,,
165,VETGOODS.LG,,,,
166,VETINDETF.LG,,,,
167,NRLJ.J,,,,
168,TAD.MZ,,,,
169,DCON.NR,,,,
170,FPC.BT,,,,
171,AXIA.ZI,,,,
172,BIDJ.J,,,,
173,MUCOBA.TZ,,,,
174,NBV.NR,,,,
175,NSBC.CI,,,,
176,DSE.TZ,,,,
177,IBLL.MZ,,,,
178,EPEJ.J,,,,
179,UPL.MZ,,,,
180,YYLBEEJ.J,,,,
181,ACCESS.GH,,,,
182,SCRC.CI,,,,
183,SEAJ.J,,,,
184,SIBC.CI,,,,
185,GLPROPJ.J,,,,
186,CBIBF.CI,,,,
187,TPFJ.J,,,,
188,VODA.TZ,,,,
189,CQCIL.UG,,,,
190,L2DJ.J,,,,
191,TIP.LG,,,,
192,DCCUSDJ.J,,,,
193,SHGJ.J,,,,
194,JAIZBANK.LG,,,,
195,STXILBJ.J,,,,
196,STXPROJ.J,,,,
