		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	LABELS	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE
																			
200.investortypedescriptionid	Investor Type Description ID = 200	-11.89	-12.07	-4.436	-12.90	-13.00	-4.373	-12.88	-12.99	-4.370	-12.88	-12.99	-4.370	-12.88	-12.99	-4.370	-11.93	-12.10	-4.433
		(12.98)	(12.71)	(9.094)	(9.436)	(9.001)	(6.756)	(9.430)	(9.005)	(6.762)	(9.430)	(9.005)	(6.762)	(9.430)	(9.005)	(6.762)	(13.02)	(12.74)	(9.125)
201.investortypedescriptionid	Investor Type Description ID = 201	0.590	0.349	-0.160	0.827	0.747	-0.158	0.806	0.724	-0.154	0.806	0.724	-0.154	0.806	0.724	-0.154	0.577	0.259	-0.213
		(0.935)	(0.917)	(0.656)	(0.694)	(0.662)	(0.497)	(0.694)	(0.663)	(0.498)	(0.694)	(0.663)	(0.498)	(0.694)	(0.663)	(0.498)	(0.945)	(0.926)	(0.663)
202.investortypedescriptionid	Investor Type Description ID = 202	3.260	2.828	3.708	3.551	2.923	3.548	3.585	2.966	3.552	3.585	2.966	3.552	3.585	2.966	3.552	2.967	2.649	3.673
		(9.177)	(8.986)	(6.430)	(6.672)	(6.365)	(4.777)	(6.669)	(6.368)	(4.781)	(6.669)	(6.368)	(4.781)	(6.669)	(6.368)	(4.781)	(9.205)	(9.012)	(6.453)
301.investortypedescriptionid	Investor Type Description ID = 301	-5.619***	-5.643***	-1.149***	-3.987***	-3.604***	-1.007***	-3.981***	-3.619***	-1.008***	-3.981***	-3.619***	-1.008***	-3.981***	-3.619***	-1.008***	-5.637***	-5.687***	-1.188***
		(0.332)	(0.327)	(0.239)	(0.242)	(0.232)	(0.178)	(0.242)	(0.232)	(0.178)	(0.242)	(0.232)	(0.178)	(0.242)	(0.232)	(0.178)	(0.336)	(0.331)	(0.242)
302.investortypedescriptionid	Investor Type Description ID = 302	-0.545	-0.754	-1.124***	-0.598	-0.796**	-1.088***	-0.595	-0.806**	-1.088***	-0.595	-0.806**	-1.088***	-0.595	-0.806**	-1.088***	-0.533	-0.716	-1.131***
		(0.556)	(0.545)	(0.394)	(0.408)	(0.389)	(0.295)	(0.408)	(0.390)	(0.296)	(0.408)	(0.390)	(0.296)	(0.408)	(0.390)	(0.296)	(0.565)	(0.554)	(0.401)
303.investortypedescriptionid	Investor Type Description ID = 303	-4.586***	-4.321***	-0.376*	-2.164***	-1.543***	-0.416**	-2.161***	-1.557***	-0.418**	-2.161***	-1.557***	-0.418**	-2.161***	-1.557***	-0.418**	-4.600***	-4.382***	-0.406*
		(0.308)	(0.302)	(0.220)	(0.224)	(0.215)	(0.164)	(0.224)	(0.215)	(0.164)	(0.224)	(0.215)	(0.164)	(0.224)	(0.215)	(0.164)	(0.312)	(0.306)	(0.222)
