,Instrument,Investor Shares Held,Investor Perm Id,Investor Id,Date
0,SMBC.CI,,,,
1,SACL.ZI,,,,
2,SEMC.CI,,,,
3,ILV.MV,,,,
4,NITL.MV,,,,
5,TPCC.TZ,,,,
6,ZBFH.ZI,,,,
7,TTP.TZ,,,,
8,TCCL.TZ,,,,
9,FMB.MV,,,,
10,NBS.MV,,,,
11,SUNB.MV,,,,
12,MPICO.MV,,,,
13,DCB.TZ,,,,
14,NMB.TZ,1411462,5001448923,2003661,2014-12-31T00:00:00Z
15,NMB.TZ,202000,4296380501,2003347,2014-12-31T00:00:00Z
16,NMB.TZ,25000,5000059423,2006764,2014-12-31T00:00:00Z
17,NMB.TZ,25000,4297765030,2004653,2014-12-31T00:00:00Z
18,NMB.TZ,0,5000050199,2005972,2014-06-30T00:00:00Z
19,NMB.TZ,183572,5001448923,2003661,2013-12-31T00:00:00Z
20,NMB.TZ,138000,5000050199,2005972,2013-12-31T00:00:00Z
21,NMB.TZ,,,2006764,
22,NMB.TZ,,,2004653,
23,NMB.TZ,,,2003347,
24,COURTVI.LG,,,,
25,CRDB.TZ,21120714,5000706029,2006494,2014-12-31T00:00:00Z
26,CRDB.TZ,11971800,5000812571,5363286,2014-12-31T00:00:00Z
27,CRDB.TZ,5184000,4296380501,2003347,2014-12-31T00:00:00Z
28,CRDB.TZ,17220714,5000706029,2006494,2013-12-31T00:00:00Z
29,CRDB.TZ,,,5363286,
30,CRDB.TZ,,,2003347,
31,NANG.LZ,,,,
32,PRIM.LZ,,,,
33,MCNICHO.LG,,,,
34,NIC.UG,,,,
35,BATZ.LZ,,,,
36,BOAC.CI,,,,
37,RACPp.J,7008394,5000749186,2636816,2014-03-31T00:00:00Z
38,RACPp.J,4935282,4295888500,2007153,2014-03-31T00:00:00Z
39,RACPp.J,3500000,5000068710,2445138,2014-03-31T00:00:00Z
40,RACPp.J,2577655,,2918570,2014-03-31T00:00:00Z
41,RACPp.J,2494285,5000003949,2132705,2014-03-31T00:00:00Z
42,RACPp.J,1610390,5000660468,3879199,2014-09-30T00:00:00Z
43,RACPp.J,1250000,34418289536,6237635,2014-03-31T00:00:00Z
44,RACPp.J,954725,34415071139,5894107,2014-03-31T00:00:00Z
45,RACPp.J,739700,34413507034,5338216,2014-03-31T00:00:00Z
46,RACPp.J,313678,34415552795,5659934,2014-03-31T00:00:00Z
47,RACPp.J,,,5894119,
48,RACPp.J,,,2522977,
49,RACPp.J,,,2005221,
50,RACPp.J,4668940,4295888500,2007153,2013-03-31T00:00:00Z
51,RACPp.J,4500000,5000749186,2636816,2013-03-31T00:00:00Z
52,RACPp.J,3500000,5000068710,2445138,2013-03-31T00:00:00Z
53,RACPp.J,1610390,5000660468,3879199,2013-12-31T00:00:00Z
54,RACPp.J,722495,34415071139,5894107,2013-03-31T00:00:00Z
55,RACPp.J,170000,34413507034,5338216,2013-03-31T00:00:00Z
56,RACPp.J,80300,34414693282,5894119,2013-03-31T00:00:00Z
57,RACPp.J,0,5001196700,2522977,2012-06-30T00:00:00Z
58,RACPp.J,0,5000131279,2005221,2012-04-30T00:00:00Z
59,RACPp.J,,,6237635,
60,RACPp.J,,,5659934,
61,RACPp.J,,,2918570,
62,RACPp.J,,,2132705,
63,LHCJ.J,139965722,4297369644,2637859,2014-09-30T00:00:00Z
64,LHCJ.J,52388003,4296477482,2003356,2014-12-09T00:00:00Z
65,LHCJ.J,52370738,4295888698,2644211,2014-09-30T00:00:00Z
66,LHCJ.J,52056137,5001449709,2657747,2014-09-30T00:00:00Z
67,LHCJ.J,48496555,4297901803,2002962,2014-09-30T00:00:00Z
68,LHCJ.J,31800000,4296537663,2639737,2014-09-30T00:00:00Z
69,LHCJ.J,30463029,5000002955,2003937,2014-09-30T00:00:00Z
70,LHCJ.J,27165856,4297651992,2004260,2014-12-31T00:00:00Z
71,LHCJ.J,14841750,5037588919,2002702,2014-12-31T00:00:00Z
72,LHCJ.J,13827920,5000280296,2003003,2014-12-31T00:00:00Z
73,LHCJ.J,11543078,5000074025,2002535,2014-12-31T00:00:00Z
74,LHCJ.J,9564505,5000054512,2003672,2014-12-31T00:00:00Z
75,LHCJ.J,9080000,4297954501,4960562,2014-12-31T00:00:00Z
76,LHCJ.J,8719741,4297115531,2002801,2014-12-31T00:00:00Z
77,LHCJ.J,7397512,5000757415,2004540,2014-12-31T00:00:00Z
78,LHCJ.J,6908769,5000025607,2003819,2014-12-31T00:00:00Z
79,LHCJ.J,6879019,5001446506,2004198,2014-12-31T00:00:00Z
80,LHCJ.J,6666916,5000074303,2002658,2014-12-31T00:00:00Z
81,LHCJ.J,6498455,5000667881,2005965,2014-12-31T00:00:00Z
82,LHCJ.J,6377973,5000001154,2003828,2014-12-31T00:00:00Z
83,LHCJ.J,6323128,34424382919,5433356,2014-09-30T00:00:00Z
84,LHCJ.J,6282485,5000038183,2003679,2014-12-31T00:00:00Z
85,LHCJ.J,6253100,5000025092,2001999,2014-12-31T00:00:00Z
86,LHCJ.J,5091302,5035522290,2005224,2014-12-31T00:00:00Z
87,LHCJ.J,4912811,4297014976,2003029,2014-12-31T00:00:00Z
88,LHCJ.J,4900818,5000045878,2003660,2013-12-31T00:00:00Z
89,LHCJ.J,4661070,5044026629,2002611,2014-12-31T00:00:00Z
90,LHCJ.J,4263916,5000022436,2003700,2014-12-31T00:00:00Z
91,LHCJ.J,4220613,4296929271,2003798,2014-12-31T00:00:00Z
92,LHCJ.J,3553121,5000062654,2575181,2014-12-31T00:00:00Z
93,LHCJ.J,3210373,5000062007,5400926,2014-12-31T00:00:00Z
94,LHCJ.J,2818367,4297044369,2002921,2014-12-31T00:00:00Z
95,LHCJ.J,2812360,,2003436,2014-12-31T00:00:00Z
96,LHCJ.J,2802051,5000068977,2003710,2014-12-31T00:00:00Z
97,LHCJ.J,2677265,5000652799,2003407,2014-12-31T00:00:00Z
98,LHCJ.J,2673845,5000003949,2132705,2014-12-31T00:00:00Z
99,LHCJ.J,2662127,5000317033,2002346,2014-12-31T00:00:00Z
