,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
0,SMBC.CI,,,,,,Ivory Coast,
1,SACL.ZI,,,,,,Zimbabwe,
2,SEMC.CI,,,,,,United States,
3,ILV.MV,,,,,,United Kingdom,
4,NITL.MV,,,,,,Malawi,
5,TPCC.TZ,,,,,,Germany,
6,ZBFH.ZI,,,,,,Zimbabwe,
7,TTP.TZ,,,,,,Tanzania,
8,TCCL.TZ,,,,,,,
9,FMB.MV,,,,,,Malawi,
10,NBS.MV,,,,,,Malawi,
11,SUNB.MV,,,,,,Malawi,
12,MPICO.MV,,,,,,Malawi,
13,DCB.TZ,,,,,,Tanzania,
14,NMB.TZ,,,,,,Tanzania,
15,COURTVI.LG,,,,,,Nigeria,
16,CRDB.TZ,,,,,,Tanzania,
17,NANG.LZ,,,,,,United Kingdom,
18,PRIM.LZ,,,,,,Zambia,
19,MCNICHO.LG,,,,,,Nigeria,
20,NIC.UG,,,,,,Uganda,
21,BATZ.LZ,,,2003708,,,United Kingdom,
22,BATZ.LZ,0.0,2002-12-31T00:00:00Z,2003708,,5000064072,,
23,BATZ.LZ,,,,113,,,
24,BATZ.LZ,,,,113,,,
25,BOAC.CI,,,,,,Morocco,
26,RACPp.J,,,,,,South Africa,
27,LHCJ.J,,,,,,South Africa,
28,TNM.MV,,,,,,Malawi,
29,CRESTA.BT,,,,,,Botswana,
30,UHOMREI.LG,,,,,,Nigeria,
31,DANGCEM.LG,,,,,,Nigeria,
32,MULTITREX.LG,,,,,,Nigeria,
33,RBPJ.J,,,,,,South Africa,
34,NPFMCRF.LG,,,,,,Nigeria,
35,BOABF.CI,,,,,,Morocco,
36,MMPJ.J,,,,,,South Africa,
37,OUTJ.J,,,,,,South Africa,
38,IPFJ.J,,,,,,South Africa,
39,LBTY.NR,,,,,,South Africa,
40,REBJ.J,,,,,,South Africa,
41,COHJ.J,,,,,,South Africa,
42,LETL.BT,,,,,,Botswana,
43,GOLI.MZ,,,,,,Mauritius,
44,BLR.RW,,,,,,Netherlands,
45,MPTJ.J,,,,,,South Africa,
46,TCL.NR,,,,,,Kenya,
47,BUCJ.J,,,,,,South Africa,
48,TEXJ.J,,,,,,South Africa,
49,DIBJ.J,,,,,,South Africa,
50,BOK.RW,,,,,,Rwanda,
51,BRIT.NR,,,,,,Kenya,
52,NAP.BT,,,,,,Botswana,
53,FTAJ.J,,,,,,South Africa,
54,SILPp.NM,,,,,,Namibia,
55,PAL.TZ,,,,,,Tanzania,
56,TERA.MZ,,,,,,Mauritius,
57,CHOPP.BT,,,,,,Botswana,
58,AUSTINLAZ.LG,,,,,,Nigeria,
59,SIT.MZ,,,,,,Mauritius,
60,LKL.NR,,,,,,Kenya,
61,TCPJ.J,,,,,,South Africa,
62,CIC.NR,,,,,,United Kingdom,
63,FNBMIDJ.J,,,,,,,
64,CIM.MZ,,,,,,,
65,DLTJ.J,,,,,,South Africa,
66,NHL.NM,,,,,,Namibia,
67,UMEME.UG,,,,,,Uganda,
68,MDIJ.J,,,,,,South Africa,
69,UCAP.LG,,,,,,Nigeria,
70,AFRIPRU.LG,,,,,,Nigeria,
71,AGR.NM,,,,,,Namibia,
72,ETFSAPJ.J,,,,,,,
73,SHUMBA.BT,,,,,,Botswana,
74,NGPLTJ.J,,,,,,,
75,MLIJ.J,,,,,,United Kingdom,
76,CGP.NM,,,,,,Namibia,
77,HAFR.NR,,,,,,Kenya,
78,ATTJ.J,,,,,,South Africa,
79,ASCJ.J,,,,,,South Africa,
80,APFJ.J,,,,,,South Africa,
81,CWG.LG,,,,,,Nigeria,
82,UCHUMI.UG,,,,,,Kenya,
83,ETFPLDJ.J,,,,,,,
84,NGPLDJ.J,,,,,,,
85,SARJ.J,,,,,,South Africa,
86,ETFPLTJ.J,,,,,,,
87,ETFGLDJ.J,,,,,,,
88,THAJ.J,,,,,,Cyprus,
89,LVLTRXJ.J^H18,,,,,,,
90,DIVTRXJ.J,,,,,,,
91,AVLJ.J,,,,,,South Africa,
92,LOTO.MZ,,,,,,Mauritius,
93,CAVERTON.LG,,,,,,Nigeria,
94,VISJ.J,,,,,,South Africa,
95,MBP.TZ,,,,,,Tanzania,
96,SARE.MZ,,,,,,South Africa,
97,KSTJ.J,,,,,,South Africa,
98,EQUJ.J,,,,,,South Africa,
99,AFHJ.J,,,,,,United States,
100,MAFS.LZ,,,,,,Zambia,
101,NSE.NR,,,,,,Kenya,
102,SWALA.TZ,,,,,,Tanzania,
103,BTCL.BT,,,,,,Botswana,
104,RFGJ.J,,,,,,South Africa,
105,TRANSCOHOT.LG,,,,,,Nigeria,
106,QFHJ.J,,,,,,South Africa,
107,NOV.MZ,,,,,,Mauritius,
108,LIVINGTRUST.LG,,,,,,Nigeria,
109,TTLS.CI,,,,,,France,
110,FTGH.NR,,,,,,Kenya,
111,KCCGLDJ.J,,,,,,,
112,KUR.NR,,,,,,Kenya,
113,MEDVIEWAIR.LG,,,,,,Nigeria,
114,DNBJ.J,,,,,,South Africa,
115,HILJ.J,,,,,,Malta,
116,ACSJ.J,,,,,,South Africa,
117,IMRP7p.J,,,,,,South Africa,
118,BOAS.CI,,,,,,Morocco,
119,NVSJ.J,,,,,,South Africa,
120,MFDG.MZ,,,,,,Mauritius,
121,MKCB.TZ,,,,,,Tanzania,
122,MAC.GH,,,,,,Ghana,
123,IMR.RW,,,,,,Kenya,
124,MCB.TZ,,,,,,Tanzania,
125,INFINITY.LG,,,,,,Nigeria,
126,VALUEFUND.LG,,,,,,Nigeria,
127,UPDCREIT.LG,,,,,,Nigeria,
128,ADB.GH,,,,,,Ghana,
129,BOAM.CI,,,,,,Morocco,
130,CTOP50J.J,,,,,,,
131,IKUL.LZ,,,,,,Zambia,
132,EIZP.LZ,,,,,,Zambia,
133,ILUJ.J,,,,,,South Africa,
134,PROL.ZI,,,,,,Zimbabwe,
135,RENJ.J,,,,,,South Africa,
136,PEMJ.J,,,,,,South Africa,
137,YETU.TZ,,,,,,Tanzania,
138,STANBIC.LG,,,,,,,
139,VETIVA.LG,,,,,,,
140,APL.MZ,,,,,,Mauritius,
141,DCPJ.J,,,,,,,
142,BWNJ.J,,,,,,South Africa,
143,SYGJ.J,,,,,,South Africa,
144,TRLJ.J,,,,,,South Africa,
145,CTAJ.J,,,,,,South Africa,
146,IIL.GH,,,,,,Ghana,
147,NOTORE.LG,,,,,,,
148,SSSJ.J,,,,,,South Africa,
149,SAMBA.GH,,,,,,Ghana,
150,HORDS.GH,,,,,,Ghana,
151,MMH.GH,,,,,,Ghana,
152,MHBJ.J,,,,,,South Africa,
153,ATIL.MZ,,,,,,South Africa,
154,LTEJ.J,,,,,,Malta,
155,FAHR.NR,,,,,,Kenya,
156,ETFRHOJ.J,,,,,,,
157,SNHJ.J,0.0,2004-03-31T00:00:00Z,2003066,107,5000051932,South Africa,
158,SNHJ.J,0.0065,2003-12-31T00:00:00Z,2003066,113,5000051932,,
159,SNHJ.J,,,,107,,,
160,SNHJ.J,,,,113,,,
161,SNHJ.J,,,,107,,,
162,SNHJ.J,,,,113,,,
163,SNHJ.J,,,,107,,,
164,SNHJ.J,,,,113,,,
165,SNHJ.J,,,,107,,,
166,SNHJ.J,,,,,,,
167,SNHJ.J,,,,107,,,
168,SNHJ.J,,,,113,,,
169,SNHJ.J,,,,113,,,
170,SNHJ.J,,,,107,,,
171,SNHJ.J,,,,107,,,
172,SNHJ.J,,,,107,,,
173,SNHJ.J,,,,113,,,
174,SNHJ.J,,,,113,,,
175,SNHJ.J,,,,,,,
176,SNHJ.J,,,,,,,
177,GBFS.ZI,,,,,,Luxembourg,
178,ABCB.MZ,,,,,,Mauritius,
179,VETBANK.LG,,,,,,,
180,VETGOODS.LG,,,,,,,
181,VETINDETF.LG,,,,,,,
182,NRLJ.J,,,,,,South Africa,
183,TAD.MZ,,,,,,Mauritius,
184,DCON.NR,,,,,,Kenya,
185,FPC.BT,,,,,,Botswana,
186,AXIA.ZI,,,,,,Zimbabwe,
187,BIDJ.J,,,,,,South Africa,
188,MUCOBA.TZ,,,,,,Tanzania,
189,NBV.NR,,,,,,United Arab Emirates,
190,NSBC.CI,,,,,,Ivory Coast,
191,DSE.TZ,,,,,,Tanzania,
192,IBLL.MZ,,,,,,Mauritius,
193,EPEJ.J,,,,,,Mauritius,
194,UPL.MZ,,,,,,Mauritius,
195,YYLBEEJ.J,,,,,,South Africa,
196,ACCESS.GH,,,,,,Nigeria,
197,SCRC.CI,,,,,,Ivory Coast,
198,SEAJ.J,,,,,,South Africa,
199,SIBC.CI,,,,,,Morocco,
200,GLPROPJ.J,,,,,,,
201,CBIBF.CI,,,,,,Burkina Faso,
202,TPFJ.J,,,,,,South Africa,
203,VODA.TZ,,,,,,United Kingdom,
204,CQCIL.UG,,,,,,India,
205,L2DJ.J,,,,,,South Africa,
206,TIP.LG,,,,,,Nigeria,
207,DCCUSDJ.J,,,,,,,
208,SHGJ.J,,,,,,South Africa,
209,JAIZBANK.LG,,,,,,Nigeria,
210,STXILBJ.J,,,,,,,
211,STXPROJ.J,,,,,,,
212,PFBJ.J,,,,,,South Africa,
213,MTNGH.GH,,,,,,South Africa,
214,MIN.BT,,,,,,Botswana,
215,BAYP.MZ,,,,,,Mauritius,
216,AILJ.J,,,,,,South Africa,
217,KALJ.J,,,,,,South Africa,
218,NRPJ.J,,,,,,Netherlands,
219,RHBJ.J,,,,,,South Africa,
220,HETJ.J,,,,,,South Africa,
221,STXWDMJ.J,,,,,,,
222,STXEMGJ.J,,,,,,,
223,STX500J.J,,,,,,,
224,FMP.ZI,,,,,,Zimbabwe,
225,ZXSWS.ZX,,,,,,South Africa,
226,ZXSWB.ZX,,,,,,South Africa,
227,ZXTWI.ZX,,,,,,South Africa,
228,FMBCH.MV,,,,,,Malawi,
229,PPHJ.J,,,,,,South Africa,
230,STXQUAJ.J,,,,,,,
231,LHN.NM,,,,,,Botswana,
232,4SIJ.J,,,,,,Mauritius,
233,SDOJ.J,,,,,,South Africa,
234,FNBEQFJ.J,,,,,,,
235,PNH.NM,,,,,,Namibia,
236,SYG500J.J,,,,,,,
237,CCAF.LZ,,,,,,Zambia,
238,DCCUS2J.J,,,,,,,
239,ECOC.CI,,,,,,Togo,
240,GSPECPLC.LG,,,,,,Nigeria,
241,ARIN.MZ,,,,,,Indonesia,
242,CVWJ.J,,,,,,,
243,AYOJ.J,,,,,,South Africa,
244,ZXTIP.ZX,,,,,,South Africa,
245,ETF500J.J,,,,,,,
246,FNBWGBJ.J,,,,,,,
247,STXNDQJ.J,,,,,,,
248,LBRJ.J,,,,,,South Africa,
249,DIGICUT.GH,,,,,,Ghana,
250,FTHJ.J,,,,,,South Africa,
251,AEIBy.MZ,,,,,,Egypt,
252,4ANWKH.4AX,,,,,,South Africa,
253,4AHWP.4AX,,,,,,South Africa,
254,4AASP.4AX,,,,,,South Africa,
255,NFEMODJ.J,,,,,,,
256,NFEHGEJ.J,,,,,,,
257,NFEDEFJ.J,,,,,,,
258,MTNN.LG,,,,,,South Africa,
259,ETFBNDJ.J,,,,,,,
260,NFNAMA.NM,,,,,,,
261,STXGOVJ.J,,,,,,,
262,STXESGJ.J,,,,,,,
263,STXEMEJ.J,,,,,,,
264,MERGROWTH.LG,,,,,,,
265,MERVALUE.LG,,,,,,,
266,SYGESGJ.J,,,,,,,
267,MTNR.RW,,,,,,South Africa,
268,SYGEMFJ.J,,,,,,,
269,STXCAPJ.J,,,,,,,
270,STXNDAJ.J,,,,,,,
271,4AAVC.4AX,,,,,,South Africa,
272,STXHLTJ.J,,,,,,,
273,ETFSRIJ.J,,,,,,,
274,ETFEMAJ.J,,,,,,,
275,BIND.VF,,,,,,United Kingdom,
276,PHL.VF,,,,,,Zimbabwe,
277,SYGSEJ.J,,,,,,,
278,CSGOVIJ.J,,,,,,South Africa,
279,SIM.VF,,,,,,Zimbabwe,
280,NED.VF,,,,,,Zimbabwe,
281,ZZDJ.J,,,,,,South Africa,
282,NTFD.VF,,,,,,Zimbabwe,
283,4AGFR1O.4AX,,,,,,South Africa,
284,GEREGU.LG,,,,,,Nigeria,
285,CAAJ.J,,,,,,South Africa,
286,SREE.MZ,,,,,,Mauritius,
287,ACCESSCORP.LG,,,,,,Nigeria,
288,4ABKB.4AX,,,,,,South Africa,
289,APOJ.J,,,,,,South Africa,
290,TANG.ZI,,,,,,Zimbabwe,
291,BUAFOODS.LG,,,,,,Nigeria,
292,RONCHESS.LG,,,,,,Nigeria,
293,VELG.MZ,,,,,,,
294,ANIJ.J,,,,,,South Africa,
295,MTNU.UG,,,,,,South Africa,
296,MOC.NM,,,,,,Namibia,
297,CTEL.MZ,,,,,,Mauritius,
298,NGXGROUP.LG,,,,,,Nigeria,
299,GTCO.LG,,,,,,Nigeria,
300,TGAJ.J,,,,,,South Africa,
301,SZKJ.J,,,,,,South Africa,
302,BAPLC.LG,,,,,,Nigeria,
303,HBE.NR,,,,,,Kenya,
304,HPL.MZ,,,,,,Mauritius,
305,DASPHARMA.GH,,,,,,Ghana,
