,Instrument,Investor Shares Held,Investor Perm Id,Investor Id,Date
0,SMBC.CI,,,,
1,SACL.ZI,,,,
2,SEMC.CI,,,,
3,ILV.MV,,,,
4,NITL.MV,,,,
5,TPCC.TZ,,,,
6,ZBFH.ZI,,,,
7,TTP.TZ,,,,
8,TCCL.TZ,,,,
9,FMB.MV,,,,
10,NBS.MV,,,,
11,SUNB.MV,,,,
12,MPICO.MV,,,,
13,DCB.TZ,,,,
14,NMB.TZ,,,,
15,COURTVI.LG,,,,
16,CRDB.TZ,,,,
17,NANG.LZ,,,,
18,PRIM.LZ,,,,
19,MCNICHO.LG,,,,
20,NIC.UG,,,,
21,BATZ.LZ,,,2003708,
22,BATZ.LZ,,,2003650,
23,BATZ.LZ,0,5000064072,2003708,2002-12-31T00:00:00Z
24,BATZ.LZ,0,5000221950,2003650,2002-09-30T00:00:00Z
25,BOAC.CI,,,,
26,RACPp.J,,,,
27,LHCJ.J,,,,
28,TNM.MV,,,,
29,CRESTA.BT,,,,
30,UHOMREI.LG,,,,
31,DANGCEM.LG,,,,
32,MULTITREX.LG,,,,
33,RBPJ.J,,,,
34,NPFMCRF.LG,,,,
35,BOABF.CI,,,,
36,MMPJ.J,,,,
37,OUTJ.J,,,,
38,IPFJ.J,,,,
39,LBTY.NR,,,,
40,REBJ.J,,,,
41,COHJ.J,,,,
42,LETL.BT,,,,
43,GOLI.MZ,,,,
44,BLR.RW,,,,
45,MPTJ.J,,,,
46,TCL.NR,,,,
47,BUCJ.J,,,,
48,TEXJ.J,,,,
49,DIBJ.J,,,,
50,BOK.RW,,,,
51,BRIT.NR,,,,
52,NAP.BT,,,,
53,FTAJ.J,,,,
54,SILPp.NM,,,,
55,PAL.TZ,,,,
56,TERA.MZ,,,,
57,CHOPP.BT,,,,
58,AUSTINLAZ.LG,,,,
59,SIT.MZ,,,,
60,LKL.NR,,,,
61,TCPJ.J,,,,
62,CIC.NR,,,,
63,FNBMIDJ.J,,,,
64,CIM.MZ,,,,
65,DLTJ.J,,,,
66,NHL.NM,,,,
67,UMEME.UG,,,,
68,MDIJ.J,,,,
69,UCAP.LG,,,,
70,AFRIPRU.LG,,,,
71,AGR.NM,,,,
72,ETFSAPJ.J,,,,
73,SHUMBA.BT,,,,
74,NGPLTJ.J,,,,
75,MLIJ.J,,,,
76,CGP.NM,,,,
77,HAFR.NR,,,,
78,ATTJ.J,,,,
79,ASCJ.J,,,,
80,APFJ.J,,,,
81,CWG.LG,,,,
82,UCHUMI.UG,,,,
83,ETFPLDJ.J,,,,
84,NGPLDJ.J,,,,
85,SARJ.J,,,,
86,ETFPLTJ.J,,,,
87,ETFGLDJ.J,,,,
88,THAJ.J,,,,
89,LVLTRXJ.J^H18,,,,
90,DIVTRXJ.J,,,,
91,AVLJ.J,,,,
92,LOTO.MZ,,,,
93,CAVERTON.LG,,,,
94,VISJ.J,,,,
95,MBP.TZ,,,,
96,SARE.MZ,,,,
97,KSTJ.J,,,,
98,EQUJ.J,,,,
99,AFHJ.J,,,,
100,MAFS.LZ,,,,
101,NSE.NR,,,,
102,SWALA.TZ,,,,
103,BTCL.BT,,,,
104,RFGJ.J,,,,
105,TRANSCOHOT.LG,,,,
106,QFHJ.J,,,,
107,NOV.MZ,,,,
108,LIVINGTRUST.LG,,,,
109,TTLS.CI,,,,
110,FTGH.NR,,,,
111,KCCGLDJ.J,,,,
112,KUR.NR,,,,
113,MEDVIEWAIR.LG,,,,
114,DNBJ.J,,,,
115,HILJ.J,,,,
116,ACSJ.J,,,,
117,IMRP7p.J,,,,
118,BOAS.CI,,,,
119,NVSJ.J,,,,
120,MFDG.MZ,,,,
121,MKCB.TZ,,,,
122,MAC.GH,,,,
123,IMR.RW,,,,
124,MCB.TZ,,,,
125,INFINITY.LG,,,,
126,VALUEFUND.LG,,,,
127,UPDCREIT.LG,,,,
128,ADB.GH,,,,
129,BOAM.CI,,,,
130,CTOP50J.J,,,,
131,IKUL.LZ,,,,
132,EIZP.LZ,,,,
133,ILUJ.J,,,,
134,PROL.ZI,,,,
135,RENJ.J,,,,
136,PEMJ.J,,,,
137,YETU.TZ,,,,
138,STANBIC.LG,,,,
139,VETIVA.LG,,,,
140,APL.MZ,,,,
141,DCPJ.J,,,,
142,BWNJ.J,,,,
143,SYGJ.J,,,,
144,TRLJ.J,,,,
145,CTAJ.J,,,,
146,IIL.GH,,,,
147,NOTORE.LG,,,,
148,SSSJ.J,,,,
149,SAMBA.GH,,,,
150,HORDS.GH,,,,
151,MMH.GH,,,,
152,MHBJ.J,,,,
153,ATIL.MZ,,,,
154,LTEJ.J,,,,
155,FAHR.NR,,,,
156,ETFRHOJ.J,,,,
157,SNHJ.J,21945186,5000003949,2132705,2003-06-27T00:00:00Z
158,SNHJ.J,15304756,5000054512,2003672,2004-12-31T00:00:00Z
159,SNHJ.J,11751132,5037588919,2002702,2004-10-31T00:00:00Z
160,SNHJ.J,10218770,4297772128,2001973,2004-08-31T00:00:00Z
161,SNHJ.J,3684154,5000045174,2002653,2004-12-31T00:00:00Z
162,SNHJ.J,3113300,4297648458,2003410,2004-12-31T00:00:00Z
163,SNHJ.J,585000,4296540815,2004263,2004-10-31T00:00:00Z
164,SNHJ.J,369200,5000001154,2003828,2004-12-31T00:00:00Z
165,SNHJ.J,0,5000051932,2003066,2004-03-31T00:00:00Z
166,SNHJ.J,,,2002451,
167,SNHJ.J,21945186,5000003949,2132705,2003-06-27T00:00:00Z
168,SNHJ.J,14537441,5000054512,2003672,2003-12-31T00:00:00Z
169,SNHJ.J,7858054,4297772128,2001973,2003-12-31T00:00:00Z
170,SNHJ.J,1343767,5000045174,2002653,2003-12-31T00:00:00Z
171,SNHJ.J,435000,4296540815,2004263,2003-10-31T00:00:00Z
172,SNHJ.J,250000,5000051932,2003066,2003-12-31T00:00:00Z
173,SNHJ.J,56000,4297648458,2003410,2003-12-31T00:00:00Z
174,SNHJ.J,0,5000036750,2002451,2002-06-30T00:00:00Z
175,SNHJ.J,,,2003828,
176,SNHJ.J,,,2002702,
177,GBFS.ZI,,,,
