,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
0,SMBC.CI,,,,,,Ivory Coast,
1,SACL.ZI,,,,,,Zimbabwe,
2,SEMC.CI,,,,,,United States,
3,ILV.MV,,,,,,United Kingdom,
4,NITL.MV,,,,,,Malawi,
5,TPCC.TZ,,,,,,Germany,
6,ZBFH.ZI,,,,,,Zimbabwe,
7,TTP.TZ,,,,,,Tanzania,
8,TCCL.TZ,,,,,,,
9,FMB.MV,,,,,,Malawi,
10,NBS.MV,,,,,,Malawi,
11,SUNB.MV,,,,,,Malawi,
12,MPICO.MV,,,,,,Malawi,
13,DCB.TZ,,,,,,Tanzania,
14,NMB.TZ,,,,,,Tanzania,
15,COURTVI.LG,,,,,,Nigeria,
16,CRDB.TZ,,,,,,Tanzania,
17,NANG.LZ,,,,,,United Kingdom,
18,PRIM.LZ,,,,,,Zambia,
19,MCNICHO.LG,,,,,,Nigeria,
20,NIC.UG,,,,,,Uganda,
21,BATZ.LZ,0.0,2002-12-31T00:00:00Z,2003708,113,5000064072,United Kingdom,
22,BATZ.LZ,,,2006494,113,,,
23,BATZ.LZ,0.0,2001-06-30T00:00:00Z,2006494,,5000706029,,
24,BATZ.LZ,0.0,2002-12-31T00:00:00Z,2003708,107,5000064072,,
25,BATZ.LZ,,,,113,,,
26,BATZ.LZ,,,,113,,,
27,BOAC.CI,,,,,,Morocco,
28,RACPp.J,,,,,,South Africa,
29,LHCJ.J,,,,,,South Africa,
30,TNM.MV,,,,,,Malawi,
31,CRESTA.BT,,,,,,Botswana,
32,UHOMREI.LG,,,,,,Nigeria,
33,DANGCEM.LG,,,,,,Nigeria,
34,MULTITREX.LG,,,,,,Nigeria,
35,RBPJ.J,,,,,,South Africa,
36,NPFMCRF.LG,,,,,,Nigeria,
37,BOABF.CI,,,,,,Morocco,
38,MMPJ.J,,,,,,South Africa,
39,OUTJ.J,,,,,,South Africa,
40,IPFJ.J,,,,,,South Africa,
41,LBTY.NR,,,,,,South Africa,
42,REBJ.J,,,,,,South Africa,
43,COHJ.J,,,,,,South Africa,
44,LETL.BT,,,,,,Botswana,
45,GOLI.MZ,,,,,,Mauritius,
46,BLR.RW,,,,,,Netherlands,
47,MPTJ.J,,,,,,South Africa,
48,TCL.NR,,,,,,Kenya,
49,BUCJ.J,,,,,,South Africa,
50,TEXJ.J,,,,,,South Africa,
51,DIBJ.J,,,,,,South Africa,
52,BOK.RW,,,,,,Rwanda,
53,BRIT.NR,,,,,,Kenya,
54,NAP.BT,,,,,,Botswana,
55,FTAJ.J,,,,,,South Africa,
56,SILPp.NM,,,,,,Namibia,
57,PAL.TZ,,,,,,Tanzania,
58,TERA.MZ,,,,,,Mauritius,
59,CHOPP.BT,,,,,,Botswana,
60,AUSTINLAZ.LG,,,,,,Nigeria,
61,SIT.MZ,,,,,,Mauritius,
62,LKL.NR,,,,,,Kenya,
63,TCPJ.J,,,,,,South Africa,
64,CIC.NR,,,,,,United Kingdom,
65,FNBMIDJ.J,,,,,,,
66,CIM.MZ,,,,,,,
67,DLTJ.J,,,,,,South Africa,
68,NHL.NM,,,,,,Namibia,
69,UMEME.UG,,,,,,Uganda,
70,MDIJ.J,,,,,,South Africa,
71,UCAP.LG,,,,,,Nigeria,
72,AFRIPRU.LG,,,,,,Nigeria,
73,AGR.NM,,,,,,Namibia,
74,ETFSAPJ.J,,,,,,,
75,SHUMBA.BT,,,,,,Botswana,
76,NGPLTJ.J,,,,,,,
77,MLIJ.J,,,,,,United Kingdom,
78,CGP.NM,,,,,,Namibia,
79,HAFR.NR,,,,,,Kenya,
80,ATTJ.J,,,,,,South Africa,
81,ASCJ.J,,,,,,South Africa,
82,APFJ.J,,,,,,South Africa,
83,CWG.LG,,,,,,Nigeria,
84,UCHUMI.UG,,,,,,Kenya,
85,ETFPLDJ.J,,,,,,,
86,NGPLDJ.J,,,,,,,
87,SARJ.J,,,,,,South Africa,
88,ETFPLTJ.J,,,,,,,
89,ETFGLDJ.J,,,,,,,
90,THAJ.J,,,,,,Cyprus,
91,LVLTRXJ.J^H18,,,,,,,
92,DIVTRXJ.J,,,,,,,
93,AVLJ.J,,,,,,South Africa,
94,LOTO.MZ,,,,,,Mauritius,
95,CAVERTON.LG,,,,,,Nigeria,
96,VISJ.J,,,,,,South Africa,
97,MBP.TZ,,,,,,Tanzania,
98,SARE.MZ,,,,,,South Africa,
99,KSTJ.J,,,,,,South Africa,
100,EQUJ.J,,,,,,South Africa,
101,AFHJ.J,,,,,,United States,
102,MAFS.LZ,,,,,,Zambia,
103,NSE.NR,,,,,,Kenya,
104,SWALA.TZ,,,,,,Tanzania,
105,BTCL.BT,,,,,,Botswana,
106,RFGJ.J,,,,,,South Africa,
107,TRANSCOHOT.LG,,,,,,Nigeria,
108,QFHJ.J,,,,,,South Africa,
109,NOV.MZ,,,,,,Mauritius,
110,LIVINGTRUST.LG,,,,,,Nigeria,
111,TTLS.CI,,,,,,France,
112,FTGH.NR,,,,,,Kenya,
113,KCCGLDJ.J,,,,,,,
114,KUR.NR,,,,,,Kenya,
115,MEDVIEWAIR.LG,,,,,,Nigeria,
116,DNBJ.J,,,,,,South Africa,
117,HILJ.J,,,,,,Malta,
118,ACSJ.J,,,,,,South Africa,
119,IMRP7p.J,,,,,,South Africa,
120,BOAS.CI,,,,,,Morocco,
121,NVSJ.J,,,,,,South Africa,
122,MFDG.MZ,,,,,,Mauritius,
123,MKCB.TZ,,,,,,Tanzania,
124,MAC.GH,,,,,,Ghana,
125,IMR.RW,,,,,,Kenya,
126,MCB.TZ,,,,,,Tanzania,
127,INFINITY.LG,,,,,,Nigeria,
128,VALUEFUND.LG,,,,,,Nigeria,
129,UPDCREIT.LG,,,,,,Nigeria,
130,ADB.GH,,,,,,Ghana,
131,BOAM.CI,,,,,,Morocco,
132,CTOP50J.J,,,,,,,
133,IKUL.LZ,,,,,,Zambia,
134,EIZP.LZ,,,,,,Zambia,
135,ILUJ.J,,,,,,South Africa,
136,PROL.ZI,,,,,,Zimbabwe,
137,RENJ.J,,,,,,South Africa,
138,PEMJ.J,,,,,,South Africa,
139,YETU.TZ,,,,,,Tanzania,
140,STANBIC.LG,,,,,,,
141,VETIVA.LG,,,,,,,
142,APL.MZ,,,,,,Mauritius,
143,DCPJ.J,,,,,,,
144,BWNJ.J,,,,,,South Africa,
145,SYGJ.J,,,,,,South Africa,
146,TRLJ.J,,,,,,South Africa,
147,CTAJ.J,,,,,,South Africa,
148,IIL.GH,,,,,,Ghana,
149,NOTORE.LG,,,,,,,
150,SSSJ.J,,,,,,South Africa,
151,SAMBA.GH,,,,,,Ghana,
152,HORDS.GH,,,,,,Ghana,
153,MMH.GH,,,,,,Ghana,
154,MHBJ.J,,,,,,South Africa,
155,ATIL.MZ,,,,,,South Africa,
156,LTEJ.J,,,,,,Malta,
157,FAHR.NR,,,,,,Kenya,
158,ETFRHOJ.J,,,,,,,
159,SNHJ.J,0.0065,2003-12-31T00:00:00Z,2003066,107,5000051932,South Africa,
160,SNHJ.J,0.0,2001-12-31T00:00:00Z,2003066,113,5000051932,,
161,SNHJ.J,,,,113,,,
162,SNHJ.J,,,,107,,,
163,SNHJ.J,,,,107,,,
164,SNHJ.J,,,,107,,,
165,SNHJ.J,,,,113,,,
166,SNHJ.J,,,,113,,,
167,SNHJ.J,,,,113,,,
168,SNHJ.J,,,,107,,,
169,SNHJ.J,,,,113,,,
170,SNHJ.J,,,,,,,
171,SNHJ.J,,,,,,,
172,SNHJ.J,,,,,,,
173,SNHJ.J,,,,,,,
174,SNHJ.J,,,,,,,
175,GBFS.ZI,,,,,,Luxembourg,
176,ABCB.MZ,,,,,,Mauritius,
177,VETBANK.LG,,,,,,,
178,VETGOODS.LG,,,,,,,
179,VETINDETF.LG,,,,,,,
180,NRLJ.J,,,,,,South Africa,
181,TAD.MZ,,,,,,Mauritius,
182,DCON.NR,,,,,,Kenya,
183,FPC.BT,,,,,,Botswana,
184,AXIA.ZI,,,,,,Zimbabwe,
185,BIDJ.J,,,,,,South Africa,
186,MUCOBA.TZ,,,,,,Tanzania,
187,NBV.NR,,,,,,United Arab Emirates,
188,NSBC.CI,,,,,,Ivory Coast,
189,DSE.TZ,,,,,,Tanzania,
190,IBLL.MZ,,,,,,Mauritius,
191,EPEJ.J,,,,,,Mauritius,
192,UPL.MZ,,,,,,Mauritius,
193,YYLBEEJ.J,,,,,,South Africa,
194,ACCESS.GH,,,,,,Nigeria,
195,SCRC.CI,,,,,,Ivory Coast,
196,SEAJ.J,,,,,,South Africa,
197,SIBC.CI,,,,,,Morocco,
198,GLPROPJ.J,,,,,,,
199,CBIBF.CI,,,,,,Burkina Faso,
200,TPFJ.J,,,,,,South Africa,
201,VODA.TZ,,,,,,United Kingdom,
202,CQCIL.UG,,,,,,India,
203,L2DJ.J,,,,,,South Africa,
204,TIP.LG,,,,,,Nigeria,
205,DCCUSDJ.J,,,,,,,
206,SHGJ.J,,,,,,South Africa,
207,JAIZBANK.LG,,,,,,Nigeria,
208,STXILBJ.J,,,,,,,
209,STXPROJ.J,,,,,,,
210,PFBJ.J,,,,,,South Africa,
211,MTNGH.GH,,,,,,South Africa,
212,MIN.BT,,,,,,Botswana,
213,BAYP.MZ,,,,,,Mauritius,
214,AILJ.J,,,,,,South Africa,
215,KALJ.J,,,,,,South Africa,
216,NRPJ.J,,,,,,Netherlands,
217,RHBJ.J,,,,,,South Africa,
218,HETJ.J,,,,,,South Africa,
219,STXWDMJ.J,,,,,,,
220,STXEMGJ.J,,,,,,,
221,STX500J.J,,,,,,,
222,FMP.ZI,,,,,,Zimbabwe,
223,ZXSWS.ZX,,,,,,South Africa,
224,ZXSWB.ZX,,,,,,South Africa,
225,ZXTWI.ZX,,,,,,South Africa,
226,FMBCH.MV,,,,,,Malawi,
227,PPHJ.J,,,,,,South Africa,
228,STXQUAJ.J,,,,,,,
229,LHN.NM,,,,,,Botswana,
230,4SIJ.J,,,,,,Mauritius,
231,SDOJ.J,,,,,,South Africa,
232,FNBEQFJ.J,,,,,,,
233,PNH.NM,,,,,,Namibia,
234,SYG500J.J,,,,,,,
235,CCAF.LZ,,,,,,Zambia,
236,DCCUS2J.J,,,,,,,
237,ECOC.CI,,,,,,Togo,
238,GSPECPLC.LG,,,,,,Nigeria,
239,ARIN.MZ,,,,,,Indonesia,
240,CVWJ.J,,,,,,,
241,AYOJ.J,,,,,,South Africa,
242,ZXTIP.ZX,,,,,,South Africa,
243,ETF500J.J,,,,,,,
244,FNBWGBJ.J,,,,,,,
245,STXNDQJ.J,,,,,,,
246,LBRJ.J,,,,,,South Africa,
247,DIGICUT.GH,,,,,,Ghana,
248,FTHJ.J,,,,,,South Africa,
249,AEIBy.MZ,,,,,,Egypt,
250,4ANWKH.4AX,,,,,,South Africa,
251,4AHWP.4AX,,,,,,South Africa,
252,4AASP.4AX,,,,,,South Africa,
253,NFEMODJ.J,,,,,,,
254,NFEHGEJ.J,,,,,,,
255,NFEDEFJ.J,,,,,,,
256,MTNN.LG,,,,,,South Africa,
257,ETFBNDJ.J,,,,,,,
258,NFNAMA.NM,,,,,,,
259,STXGOVJ.J,,,,,,,
260,STXESGJ.J,,,,,,,
261,STXEMEJ.J,,,,,,,
262,MERGROWTH.LG,,,,,,,
263,MERVALUE.LG,,,,,,,
264,SYGESGJ.J,,,,,,,
265,MTNR.RW,,,,,,South Africa,
266,SYGEMFJ.J,,,,,,,
267,STXCAPJ.J,,,,,,,
268,STXNDAJ.J,,,,,,,
269,4AAVC.4AX,,,,,,South Africa,
270,STXHLTJ.J,,,,,,,
271,ETFSRIJ.J,,,,,,,
272,ETFEMAJ.J,,,,,,,
273,BIND.VF,,,,,,United Kingdom,
274,PHL.VF,,,,,,Zimbabwe,
275,SYGSEJ.J,,,,,,,
276,CSGOVIJ.J,,,,,,South Africa,
277,SIM.VF,,,,,,Zimbabwe,
278,NED.VF,,,,,,Zimbabwe,
279,ZZDJ.J,,,,,,South Africa,
280,NTFD.VF,,,,,,Zimbabwe,
281,4AGFR1O.4AX,,,,,,South Africa,
282,GEREGU.LG,,,,,,Nigeria,
283,CAAJ.J,,,,,,South Africa,
284,SREE.MZ,,,,,,Mauritius,
285,ACCESSCORP.LG,,,,,,Nigeria,
286,4ABKB.4AX,,,,,,South Africa,
287,APOJ.J,,,,,,South Africa,
288,TANG.ZI,,,,,,Zimbabwe,
289,BUAFOODS.LG,,,,,,Nigeria,
290,RONCHESS.LG,,,,,,Nigeria,
291,VELG.MZ,,,,,,,
292,ANIJ.J,,,,,,South Africa,
293,MTNU.UG,,,,,,South Africa,
294,MOC.NM,,,,,,Namibia,
295,CTEL.MZ,,,,,,Mauritius,
296,NGXGROUP.LG,,,,,,Nigeria,
297,GTCO.LG,,,,,,Nigeria,
298,TGAJ.J,,,,,,South Africa,
299,SZKJ.J,,,,,,South Africa,
300,BAPLC.LG,,,,,,Nigeria,
301,HBE.NR,,,,,,Kenya,
302,HPL.MZ,,,,,,Mauritius,
