,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
0,SMBC.CI,,,,,,Ivory Coast,
1,SACL.ZI,,,,,,Zimbabwe,
2,SEMC.CI,,,,,,United States,
3,ILV.MV,,,,,,United Kingdom,
4,NITL.MV,,,,,,Malawi,
5,TPCC.TZ,,,,,,Germany,
6,ZBFH.ZI,,,,,,Zimbabwe,
7,TTP.TZ,,,,,,Tanzania,
8,TCCL.TZ,,,,,,,
9,FMB.MV,,,,,,Malawi,
10,NBS.MV,,,,,,Malawi,
11,SUNB.MV,,,,,,Malawi,
12,MPICO.MV,,,,,,Malawi,
13,DCB.TZ,,,,,,Tanzania,
14,NMB.TZ,,,,,,Tanzania,
15,COURTVI.LG,,,,,,Nigeria,
16,CRDB.TZ,,,,,,Tanzania,
17,NANG.LZ,,,,,,United Kingdom,
18,PRIM.LZ,,,,,,Zambia,
19,MCNICHO.LG,,,,,,Nigeria,
20,NIC.UG,,,,,,Uganda,
21,BATZ.LZ,,,,,,United Kingdom,
22,BATZ.LZ,,,,,,,
23,BOAC.CI,,,,,,Morocco,
24,RACPp.J,,,,,,South Africa,
25,LHCJ.J,,,,,,South Africa,
26,TNM.MV,,,,,,Malawi,
27,CRESTA.BT,,,,,,Botswana,
28,UHOMREI.LG,,,,,,Nigeria,
29,DANGCEM.LG,,,,,,Nigeria,
30,MULTITREX.LG,,,,,,Nigeria,
31,RBPJ.J,,,,,,South Africa,
32,NPFMCRF.LG,,,,,,Nigeria,
33,BOABF.CI,,,,,,Morocco,
34,MMPJ.J,,,,,,South Africa,
35,OUTJ.J,,,,,,South Africa,
36,IPFJ.J,,,,,,South Africa,
37,LBTY.NR,,,,,,South Africa,
38,REBJ.J,,,,,,South Africa,
39,COHJ.J,,,,,,South Africa,
40,LETL.BT,,,,,,Botswana,
41,GOLI.MZ,,,,,,Mauritius,
42,BLR.RW,,,,,,Netherlands,
43,MPTJ.J,,,,,,South Africa,
44,TCL.NR,,,,,,Kenya,
45,BUCJ.J,13.0,2007-08-20T00:00:00Z,4262098,303,34414031482,South Africa,
46,BUCJ.J,17.3912,2006-10-17T00:00:00Z,4130469,303,,,
47,BUCJ.J,13.0,2007-08-20T00:00:00Z,3151053,303,34413757104,,
48,BUCJ.J,11.05,2007-08-20T00:00:00Z,3048306,303,34414031853,,
49,BUCJ.J,10.01,2007-08-20T00:00:00Z,3078839,303,34413749299,,
50,BUCJ.J,13.04,2007-02-27T00:00:00Z,4129695,303,34419905059,,
51,BUCJ.J,8.6956,2006-10-17T00:00:00Z,3146531,303,34413490891,,
52,BUCJ.J,6.5,2007-08-20T00:00:00Z,3093916,303,34414042296,,
53,BUCJ.J,0.9751,2007-08-20T00:00:00Z,4272091,303,34413670710,,
54,BUCJ.J,17.3912,2006-10-17T00:00:00Z,4130469,303,,,
55,BUCJ.J,8.6956,2006-10-17T00:00:00Z,3146531,303,34413490891,,
56,BUCJ.J,1.304,2006-10-17T00:00:00Z,4272091,303,34413670710,,
57,BUCJ.J,,,4262098,,,,
58,BUCJ.J,,,4129695,,,,
59,BUCJ.J,,,3151053,,,,
60,BUCJ.J,,,3093916,,,,
61,BUCJ.J,,,3078839,,,,
62,BUCJ.J,,,3048306,,,,
63,TEXJ.J,,,,,,South Africa,
64,DIBJ.J,,,,,,South Africa,
65,BOK.RW,,,,,,Rwanda,
66,BRIT.NR,,,,,,Kenya,
67,NAP.BT,,,,,,Botswana,
68,FTAJ.J,,,,,,South Africa,
69,SILPp.NM,,,,,,Namibia,
70,PAL.TZ,,,,,,Tanzania,
71,TERA.MZ,,,,,,Mauritius,
72,CHOPP.BT,,,,,,Botswana,
73,AUSTINLAZ.LG,,,,,,Nigeria,
74,SIT.MZ,,,,,,Mauritius,
75,LKL.NR,,,,,,Kenya,
76,TCPJ.J,,,,,,South Africa,
77,CIC.NR,,,,,,United Kingdom,
78,FNBMIDJ.J,,,,,,,
79,CIM.MZ,,,,,,,
80,DLTJ.J,,,,,,South Africa,
81,NHL.NM,,,,,,Namibia,
82,UMEME.UG,,,,,,Uganda,
83,MDIJ.J,,,,,,South Africa,
84,UCAP.LG,,,,,,Nigeria,
85,AFRIPRU.LG,,,,,,Nigeria,
86,AGR.NM,,,,,,Namibia,
87,ETFSAPJ.J,,,,,,,
88,SHUMBA.BT,,,,,,Botswana,
89,NGPLTJ.J,,,,,,,
90,MLIJ.J,,,,,,United Kingdom,
91,CGP.NM,,,,,,Namibia,
92,HAFR.NR,,,,,,Kenya,
93,ATTJ.J,,,,,,South Africa,
94,ASCJ.J,,,,,,South Africa,
95,APFJ.J,,,,,,South Africa,
96,CWG.LG,,,,,,Nigeria,
97,UCHUMI.UG,,,,,,Kenya,
98,ETFPLDJ.J,,,,,,,
99,NGPLDJ.J,,,,,,,
100,SARJ.J,,,,,,South Africa,
101,ETFPLTJ.J,,,,,,,
102,ETFGLDJ.J,,,,,,,
103,THAJ.J,,,,,,Cyprus,
104,LVLTRXJ.J^H18,,,,,,,
105,DIVTRXJ.J,,,,,,,
106,AVLJ.J,,,,,,South Africa,
107,LOTO.MZ,,,,,,Mauritius,
108,CAVERTON.LG,,,,,,Nigeria,
109,VISJ.J,,,,,,South Africa,
110,MBP.TZ,,,,,,Tanzania,
111,SARE.MZ,,,,,,South Africa,
112,KSTJ.J,,,,,,South Africa,
113,EQUJ.J,,,,,,South Africa,
114,AFHJ.J,,,,,,United States,
115,MAFS.LZ,,,,,,Zambia,
116,NSE.NR,,,,,,Kenya,
117,SWALA.TZ,,,,,,Tanzania,
118,BTCL.BT,,,,,,Botswana,
119,RFGJ.J,,,,,,South Africa,
120,TRANSCOHOT.LG,,,,,,Nigeria,
121,QFHJ.J,,,,,,South Africa,
122,NOV.MZ,,,,,,Mauritius,
123,LIVINGTRUST.LG,,,,,,Nigeria,
124,TTLS.CI,,,,,,France,
125,FTGH.NR,,,,,,Kenya,
126,KCCGLDJ.J,,,,,,,
127,KUR.NR,,,,,,Kenya,
128,MEDVIEWAIR.LG,,,,,,Nigeria,
129,DNBJ.J,,,,,,South Africa,
130,HILJ.J,,,,,,Malta,
131,ACSJ.J,,,,,,South Africa,
132,IMRP7p.J,,,,,,South Africa,
133,BOAS.CI,,,,,,Morocco,
134,NVSJ.J,,,,,,South Africa,
135,MFDG.MZ,,,,,,Mauritius,
136,MKCB.TZ,,,,,,Tanzania,
137,MAC.GH,,,,,,Ghana,
138,IMR.RW,,,,,,Kenya,
139,MCB.TZ,,,,,,Tanzania,
140,INFINITY.LG,,,,,,Nigeria,
141,VALUEFUND.LG,,,,,,Nigeria,
142,UPDCREIT.LG,,,,,,Nigeria,
143,ADB.GH,,,,,,Ghana,
144,BOAM.CI,,,,,,Morocco,
145,CTOP50J.J,,,,,,,
146,IKUL.LZ,,,,,,Zambia,
147,EIZP.LZ,,,,,,Zambia,
148,ILUJ.J,,,,,,South Africa,
149,PROL.ZI,,,,,,Zimbabwe,
150,RENJ.J,,,,,,South Africa,
151,PEMJ.J,,,,,,South Africa,
152,YETU.TZ,,,,,,Tanzania,
153,STANBIC.LG,,,,,,,
154,VETIVA.LG,,,,,,,
155,APL.MZ,,,,,,Mauritius,
156,DCPJ.J,,,,,,,
157,BWNJ.J,,,,,,South Africa,
158,SYGJ.J,,,,,,South Africa,
159,TRLJ.J,,,,,,South Africa,
160,CTAJ.J,,,,,,South Africa,
161,IIL.GH,,,,,,Ghana,
162,NOTORE.LG,,,,,,,
163,SSSJ.J,,,,,,South Africa,
164,SAMBA.GH,,,,,,Ghana,
165,HORDS.GH,,,,,,Ghana,
166,MMH.GH,,,,,,Ghana,
167,MHBJ.J,,,,,,South Africa,
168,ATIL.MZ,,,,,,South Africa,
169,LTEJ.J,,,,,,Malta,
170,FAHR.NR,,,,,,Kenya,
171,ETFRHOJ.J,,,,,,,
172,SNHJ.J,3.9254,2007-06-30T00:00:00Z,3238019,303,34413286392,South Africa,
173,SNHJ.J,0.0039,2007-12-31T00:00:00Z,2003276,113,4296618041,,
174,SNHJ.J,0.0,2007-09-10T00:00:00Z,2484925,107,5000043067,,
175,SNHJ.J,0.0,2007-09-30T00:00:00Z,2004498,113,,,
176,SNHJ.J,2.7613,2006-12-29T00:00:00Z,3238019,110,34413286392,,
177,SNHJ.J,0.0039,2006-12-31T00:00:00Z,2003276,107,4296618041,,
178,SNHJ.J,0.0038,2006-09-30T00:00:00Z,2484925,110,5000043067,,
179,SNHJ.J,,,2004498,107,,,
180,SNHJ.J,,,,113,,,
181,SNHJ.J,,,,107,,,
182,SNHJ.J,,,,107,,,
183,SNHJ.J,,,,113,,,
184,SNHJ.J,,,,113,,,
185,SNHJ.J,,,,,,,
186,SNHJ.J,,,,303,,,
187,SNHJ.J,,,,107,,,
188,SNHJ.J,,,,113,,,
189,SNHJ.J,,,,107,,,
190,SNHJ.J,,,,107,,,
191,SNHJ.J,,,,113,,,
192,SNHJ.J,,,,107,,,
193,SNHJ.J,,,,110,,,
194,SNHJ.J,,,,110,,,
195,SNHJ.J,,,,107,,,
196,SNHJ.J,,,,113,,,
197,SNHJ.J,,,,107,,,
198,SNHJ.J,,,,113,,,
199,SNHJ.J,,,,,,,
200,GBFS.ZI,,,,,,Luxembourg,
201,ABCB.MZ,,,,,,Mauritius,
202,VETBANK.LG,,,,,,,
203,VETGOODS.LG,,,,,,,
204,VETINDETF.LG,,,,,,,
205,NRLJ.J,,,,,,South Africa,
206,TAD.MZ,,,,,,Mauritius,
207,DCON.NR,,,,,,Kenya,
208,FPC.BT,,,,,,Botswana,
209,AXIA.ZI,,,,,,Zimbabwe,
210,BIDJ.J,,,,,,South Africa,
211,MUCOBA.TZ,,,,,,Tanzania,
212,NBV.NR,,,,,,United Arab Emirates,
213,NSBC.CI,,,,,,Ivory Coast,
214,DSE.TZ,,,,,,Tanzania,
215,IBLL.MZ,,,,,,Mauritius,
216,EPEJ.J,,,,,,Mauritius,
217,UPL.MZ,,,,,,Mauritius,
218,YYLBEEJ.J,,,,,,South Africa,
219,ACCESS.GH,,,,,,Nigeria,
220,SCRC.CI,,,,,,Ivory Coast,
221,SEAJ.J,,,,,,South Africa,
222,SIBC.CI,,,,,,Morocco,
223,GLPROPJ.J,,,,,,,
224,CBIBF.CI,,,,,,Burkina Faso,
225,TPFJ.J,,,,,,South Africa,
226,VODA.TZ,,,,,,United Kingdom,
227,CQCIL.UG,,,,,,India,
228,L2DJ.J,,,,,,South Africa,
229,TIP.LG,,,,,,Nigeria,
230,DCCUSDJ.J,,,,,,,
231,SHGJ.J,,,,,,South Africa,
232,JAIZBANK.LG,,,,,,Nigeria,
233,STXILBJ.J,,,,,,,
234,STXPROJ.J,,,,,,,
235,PFBJ.J,,,,,,South Africa,
236,MTNGH.GH,,,,,,South Africa,
237,MIN.BT,,,,,,Botswana,
238,BAYP.MZ,,,,,,Mauritius,
239,AILJ.J,,,,,,South Africa,
240,KALJ.J,,,,,,South Africa,
241,NRPJ.J,,,,,,Netherlands,
242,RHBJ.J,,,,,,South Africa,
243,HETJ.J,,,,,,South Africa,
244,STXWDMJ.J,,,,,,,
245,STXEMGJ.J,,,,,,,
246,STX500J.J,,,,,,,
247,FMP.ZI,,,,,,Zimbabwe,
248,ZXSWS.ZX,,,,,,South Africa,
249,ZXSWB.ZX,,,,,,South Africa,
250,ZXTWI.ZX,,,,,,South Africa,
251,FMBCH.MV,,,,,,Malawi,
252,PPHJ.J,,,,,,South Africa,
253,STXQUAJ.J,,,,,,,
254,LHN.NM,,,,,,Botswana,
255,4SIJ.J,,,,,,Mauritius,
256,SDOJ.J,,,,,,South Africa,
257,FNBEQFJ.J,,,,,,,
258,PNH.NM,,,,,,Namibia,
259,SYG500J.J,,,,,,,
260,CCAF.LZ,,,,,,Zambia,
261,DCCUS2J.J,,,,,,,
262,ECOC.CI,,,,,,Togo,
263,GSPECPLC.LG,,,,,,Nigeria,
264,ARIN.MZ,,,,,,Indonesia,
265,CVWJ.J,,,,,,,
266,AYOJ.J,,,,,,South Africa,
267,ZXTIP.ZX,,,,,,South Africa,
268,ETF500J.J,,,,,,,
269,FNBWGBJ.J,,,,,,,
270,STXNDQJ.J,,,,,,,
271,LBRJ.J,,,,,,South Africa,
272,DIGICUT.GH,,,,,,Ghana,
273,FTHJ.J,,,,,,South Africa,
274,AEIBy.MZ,,,,,,Egypt,
275,4ANWKH.4AX,,,,,,South Africa,
276,4AHWP.4AX,,,,,,South Africa,
277,4AASP.4AX,,,,,,South Africa,
278,NFEMODJ.J,,,,,,,
279,NFEHGEJ.J,,,,,,,
280,NFEDEFJ.J,,,,,,,
281,MTNN.LG,,,,,,South Africa,
282,ETFBNDJ.J,,,,,,,
283,NFNAMA.NM,,,,,,,
284,STXGOVJ.J,,,,,,,
285,STXESGJ.J,,,,,,,
286,STXEMEJ.J,,,,,,,
287,MERGROWTH.LG,,,,,,,
288,MERVALUE.LG,,,,,,,
289,SYGESGJ.J,,,,,,,
290,MTNR.RW,,,,,,South Africa,
291,SYGEMFJ.J,,,,,,,
