,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Perm Id,Country of Headquarters
0,SMBC.CI,,,,Ivory Coast
1,SACL.ZI,,,,Zimbabwe
2,SEMC.CI,,,,United States
3,ILV.MV,,,,United Kingdom
4,NITL.MV,,,,Malawi
5,TPCC.TZ,,,,Germany
6,ZBFH.ZI,,,,Zimbabwe
7,TTP.TZ,,,,Tanzania
8,TCCL.TZ,,,,
9,FMB.MV,,,,Malawi
10,NBS.MV,,,,Malawi
11,SUNB.MV,,,,Malawi
12,MPICO.MV,,,,Malawi
13,DCB.TZ,,,,Tanzania
14,NMB.TZ,,,,Tanzania
15,COURTVI.LG,,,,Nigeria
16,CRDB.TZ,,,,Tanzania
17,NANG.LZ,,,,United Kingdom
18,PRIM.LZ,,,,Zambia
19,MCNICHO.LG,,,,Nigeria
20,NIC.UG,,,,Uganda
21,BATZ.LZ,0.17,2000-12-31T00:00:00Z,5000706029,United Kingdom
22,BATZ.LZ,0.0,1999-06-30T00:00:00Z,5001449043,
23,BATZ.LZ,0.17,1999-06-30T00:00:00Z,5000706029,
24,BATZ.LZ,0.0,1999-06-30T00:00:00Z,5001449043,
25,BATZ.LZ,0.09,1998-12-31T00:00:00Z,5000706029,
26,BATZ.LZ,0.03,1998-12-31T00:00:00Z,5001449043,
27,BOAC.CI,,,,Morocco
28,RACPp.J,,,,South Africa
29,LHCJ.J,,,,South Africa
30,TNM.MV,,,,Malawi
31,CRESTA.BT,,,,Botswana
32,UHOMREI.LG,,,,Nigeria
33,DANGCEM.LG,,,,Nigeria
34,MULTITREX.LG,,,,Nigeria
35,RBPJ.J,,,,South Africa
36,NPFMCRF.LG,,,,Nigeria
37,BOABF.CI,,,,Morocco
38,MMPJ.J,,,,South Africa
39,OUTJ.J,,,,South Africa
40,IPFJ.J,,,,South Africa
41,LBTY.NR,,,,South Africa
42,REBJ.J,,,,South Africa
43,COHJ.J,,,,South Africa
44,LETL.BT,,,,Botswana
45,GOLI.MZ,,,,Mauritius
46,BLR.RW,,,,Netherlands
47,MPTJ.J,,,,South Africa
48,TCL.NR,,,,Kenya
49,BUCJ.J,,,,South Africa
50,TEXJ.J,,,,South Africa
51,DIBJ.J,,,,South Africa
52,BOK.RW,,,,Rwanda
53,BRIT.NR,,,,Kenya
54,NAP.BT,,,,Botswana
55,FTAJ.J,,,,South Africa
56,SILPp.NM,,,,Namibia
57,PAL.TZ,,,,Tanzania
58,TERA.MZ,,,,Mauritius
59,CHOPP.BT,,,,Botswana
60,AUSTINLAZ.LG,,,,Nigeria
61,SIT.MZ,,,,Mauritius
62,LKL.NR,,,,Kenya
63,TCPJ.J,,,,South Africa
64,CIC.NR,,,,United Kingdom
65,FNBMIDJ.J,,,,
66,CIM.MZ,,,,
67,DLTJ.J,,,,South Africa
68,NHL.NM,,,,Namibia
69,UMEME.UG,,,,Uganda
70,MDIJ.J,,,,South Africa
71,UCAP.LG,,,,Nigeria
72,AFRIPRU.LG,,,,Nigeria
73,AGR.NM,,,,Namibia
74,ETFSAPJ.J,,,,
75,SHUMBA.BT,,,,Botswana
76,NGPLTJ.J,,,,
77,MLIJ.J,,,,United Kingdom
78,CGP.NM,,,,Namibia
79,HAFR.NR,,,,Kenya
80,ATTJ.J,,,,South Africa
81,ASCJ.J,,,,South Africa
82,APFJ.J,,,,South Africa
83,CWG.LG,,,,Nigeria
84,ETFPLDJ.J,,,,
85,NGPLDJ.J,,,,
86,SARJ.J,,,,South Africa
87,ETFPLTJ.J,,,,
88,ETFGLDJ.J,,,,
89,THAJ.J,,,,Cyprus
90,LVLTRXJ.J^H18,,,,
91,DIVTRXJ.J,,,,
92,AVLJ.J,,,,South Africa
93,LOTO.MZ,,,,Mauritius
94,CAVERTON.LG,,,,Nigeria
95,VISJ.J,,,,South Africa
96,MBP.TZ,,,,Tanzania
97,SARE.MZ,,,,South Africa
98,KSTJ.J,,,,South Africa
99,EQUJ.J,,,,South Africa
100,AFHJ.J,,,,United States
101,MAFS.LZ,,,,Zambia
102,NSE.NR,,,,Kenya
103,SWALA.TZ,,,,Tanzania
104,BTCL.BT,,,,Botswana
105,RFGJ.J,,,,South Africa
106,TRANSCOHOT.LG,,,,Nigeria
107,QFHJ.J,,,,South Africa
108,NOV.MZ,,,,Mauritius
109,LIVINGTRUST.LG,,,,Nigeria
110,TTLS.CI,,,,France
111,FTGH.NR,,,,Kenya
112,KCCGLDJ.J,,,,
113,KUR.NR,,,,Kenya
114,MEDVIEWAIR.LG,,,,Nigeria
115,DNBJ.J,,,,South Africa
116,HILJ.J,,,,Malta
117,ACSJ.J,,,,South Africa
118,IMRP7p.J,,,,South Africa
119,BOAS.CI,,,,Morocco
120,NVSJ.J,,,,South Africa
121,MFDG.MZ,,,,Mauritius
122,MKCB.TZ,,,,Tanzania
123,MAC.GH,,,,Ghana
124,IMR.RW,,,,Kenya
125,MCB.TZ,,,,Tanzania
126,INFINITY.LG,,,,Nigeria
127,VALUEFUND.LG,,,,Nigeria
128,UPDCREIT.LG,,,,Nigeria
129,ADB.GH,,,,Ghana
130,BOAM.CI,,,,Morocco
131,CTOP50J.J,,,,
132,IKUL.LZ,,,,Zambia
133,EIZP.LZ,,,,Zambia
134,ILUJ.J,,,,South Africa
135,PROL.ZI,,,,Zimbabwe
136,RENJ.J,,,,South Africa
137,PEMJ.J,,,,South Africa
138,YETU.TZ,,,,Tanzania
139,STANBIC.LG,,,,
140,VETIVA.LG,,,,
141,APL.MZ,,,,Mauritius
142,DCPJ.J,,,,
143,BWNJ.J,,,,South Africa
144,SYGJ.J,,,,South Africa
145,TRLJ.J,,,,South Africa
146,CTAJ.J,,,,South Africa
147,IIL.GH,,,,Ghana
148,NOTORE.LG,,,,
149,SSSJ.J,,,,South Africa
150,SAMBA.GH,,,,Ghana
151,HORDS.GH,,,,Ghana
152,MMH.GH,,,,Ghana
153,MHBJ.J,,,,South Africa
154,ATIL.MZ,,,,South Africa
155,LTEJ.J,,,,Malta
156,FAHR.NR,,,,Kenya
157,ETFRHOJ.J,,,,
158,SNHJ.J,,,,South Africa
159,GBFS.ZI,,,,Luxembourg
160,ABCB.MZ,,,,Mauritius
161,VETBANK.LG,,,,
162,VETGOODS.LG,,,,
163,VETINDETF.LG,,,,
164,NRLJ.J,,,,South Africa
165,TAD.MZ,,,,Mauritius
166,DCON.NR,,,,Kenya
167,FPC.BT,,,,Botswana
168,AXIA.ZI,,,,Zimbabwe
169,BIDJ.J,,,,South Africa
170,MUCOBA.TZ,,,,Tanzania
171,NBV.NR,,,,United Arab Emirates
172,NSBC.CI,,,,Ivory Coast
173,DSE.TZ,,,,Tanzania
174,IBLL.MZ,,,,Mauritius
175,EPEJ.J,,,,Mauritius
176,UPL.MZ,,,,Mauritius
177,YYLBEEJ.J,,,,South Africa
178,ACCESS.GH,,,,Nigeria
179,SCRC.CI,,,,Ivory Coast
180,SEAJ.J,,,,South Africa
181,SIBC.CI,,,,Morocco
182,GLPROPJ.J,,,,
183,CBIBF.CI,,,,Burkina Faso
184,TPFJ.J,,,,South Africa
185,VODA.TZ,,,,United Kingdom
186,CQCIL.UG,,,,India
187,L2DJ.J,,,,South Africa
188,TIP.LG,,,,Nigeria
189,DCCUSDJ.J,,,,
190,SHGJ.J,,,,South Africa
191,JAIZBANK.LG,,,,Nigeria
192,STXILBJ.J,,,,
193,STXPROJ.J,,,,
194,PFBJ.J,,,,South Africa
195,MTNGH.GH,,,,South Africa
196,MIN.BT,,,,Botswana
197,BAYP.MZ,,,,Mauritius
198,AILJ.J,,,,South Africa
199,KALJ.J,,,,South Africa
200,NRPJ.J,,,,Netherlands
201,RHBJ.J,,,,South Africa
202,HETJ.J,,,,South Africa
203,STXWDMJ.J,,,,
204,STXEMGJ.J,,,,
205,STX500J.J,,,,
206,FMP.ZI,,,,Zimbabwe
207,ZXSWS.ZX,,,,South Africa
208,ZXSWB.ZX,,,,South Africa
209,ZXTWI.ZX,,,,South Africa
210,FMBCH.MV,,,,Malawi
211,PPHJ.J,,,,South Africa
212,STXQUAJ.J,,,,
213,LHN.NM,,,,Botswana
214,4SIJ.J,,,,Mauritius
215,SDOJ.J,,,,South Africa
216,FNBEQFJ.J,,,,
217,PNH.NM,,,,Namibia
218,SYG500J.J,,,,
219,CCAF.LZ,,,,Zambia
220,DCCUS2J.J,,,,
221,ECOC.CI,,,,Togo
222,GSPECPLC.LG,,,,Nigeria
223,ARIN.MZ,,,,Indonesia
224,CVWJ.J,,,,
225,AYOJ.J,,,,South Africa
226,ZXTIP.ZX,,,,South Africa
227,ETF500J.J,,,,
228,FNBWGBJ.J,,,,
229,STXNDQJ.J,,,,
230,LBRJ.J,,,,South Africa
231,DIGICUT.GH,,,,Ghana
232,FTHJ.J,,,,South Africa
233,AEIBy.MZ,,,,Egypt
234,4ANWKH.4AX,,,,South Africa
235,4AHWP.4AX,,,,South Africa
236,4AASP.4AX,,,,South Africa
237,NFEMODJ.J,,,,
238,NFEHGEJ.J,,,,
239,NFEDEFJ.J,,,,
240,MTNN.LG,,,,South Africa
241,ETFBNDJ.J,,,,
242,NFNAMA.NM,,,,
243,STXGOVJ.J,,,,
244,STXESGJ.J,,,,
245,STXEMEJ.J,,,,
246,MERGROWTH.LG,,,,
247,MERVALUE.LG,,,,
248,SYGESGJ.J,,,,
249,MTNR.RW,,,,South Africa
250,SYGEMFJ.J,,,,
251,STXCAPJ.J,,,,
252,STXNDAJ.J,,,,
253,4AAVC.4AX,,,,South Africa
254,STXHLTJ.J,,,,
255,ETFSRIJ.J,,,,
256,ETFEMAJ.J,,,,
257,BIND.VF,,,,United Kingdom
258,PHL.VF,,,,Zimbabwe
259,SYGSEJ.J,,,,
260,CSGOVIJ.J,,,,South Africa
261,SIM.VF,,,,Zimbabwe
262,NED.VF,,,,Zimbabwe
263,ZZDJ.J,,,,South Africa
264,NTFD.VF,,,,Zimbabwe
265,4AGFR1O.4AX,,,,South Africa
266,GEREGU.LG,,,,Nigeria
267,CAAJ.J,,,,South Africa
268,SREE.MZ,,,,Mauritius
269,ACCESSCORP.LG,,,,Nigeria
270,4ABKB.4AX,,,,South Africa
271,APOJ.J,,,,South Africa
272,TANG.ZI,,,,Zimbabwe
273,BUAFOODS.LG,,,,Nigeria
274,RONCHESS.LG,,,,Nigeria
275,VELG.MZ,,,,
276,ANIJ.J,,,,South Africa
277,MTNU.UG,,,,South Africa
278,MOC.NM,,,,Namibia
279,CTEL.MZ,,,,Mauritius
280,NGXGROUP.LG,,,,Nigeria
281,GTCO.LG,,,,Nigeria
282,TGAJ.J,,,,South Africa
283,SZKJ.J,,,,South Africa
284,BAPLC.LG,,,,Nigeria
285,HBE.NR,,,,Kenya
286,HPL.MZ,,,,Mauritius
287,DASPHARMA.GH,,,,Ghana
288,4AGR1O.4AX,,,,South Africa
289,CMR.RW,,,,South Africa
290,FDHB.MV,,,,Malawi
291,OMJ.NM,,,,Namibia
292,MQA.NM,,,,Namibia
293,SBPJ.J,,,,South Africa
294,NY1J.J,,,,South Africa
295,AIRTEL.MV,,,,India
296,SSWJ.J,,,,South Africa
297,4AIHG.4AX,,,,
298,ZFCO.LZ,,,,Zambia
299,ZXRPG.ZX,,,,South Africa
300,BUACEMENT.LG,,,,Nigeria
301,MTNZFJ.J,,,,South Africa
302,SNO.NM,,,,South Africa
303,FRBP01p.J^K22,,,,South Africa
304,SEMA.MZ,,,,Mauritius
305,ANE.NM,,,,Namibia
306,JATU.TZ,,,,Tanzania
307,SSUJ.J,,,,South Africa
308,ACES.MZ,,,,Mauritius
309,ORGT.CI,,,,Togo
310,REGI.MZ,,,,Mauritius
311,ENLG.MZ,,,,
312,ICON.MV,,,,Malawi
313,LAVA.MZ,,,,
314,ACCESS.BT,,,,Nigeria
315,MTHJ.J,,,,South Africa
316,EHZL.ZI,,,,Zimbabwe
317,MCGJ.J,,,,South Africa
318,SCIL.BT,,,,Botswana
319,NICO.TZ,,,,Tanzania
320,EXPJ.J,,,,South Africa
321,DGHJ.J,,,,South Africa
322,TICL.TZ,,,,Tanzania
323,KLOS.MZ,,,,Mauritius
324,TSAH.MZ,,,,Mauritius
325,ABL.GH,,,,Belgium
326,ABL.GH,0.0,1998-11-28T00:00:00Z,5043415975,
327,ABL.GH,0.0,1998-11-28T00:00:00Z,5043415975,
328,ABOSELA.LG,,,,Nigeria
329,ABPLAST.LG,,,,Nigeria
330,ABSPp.J,,,,South Africa
331,ACADEMY.LG,,,,Nigeria
332,ACLJ.J,43.14,2000-11-30T00:00:00Z,5000854298,Luxembourg
333,ACLJ.J,12.21,2000-11-30T00:00:00Z,5001449709,
334,ACLJ.J,12.02,2000-11-30T00:00:00Z,4297902883,
335,ACLJ.J,2.77,2000-11-30T00:00:00Z,4297636693,
336,ACLJ.J,1.73,2000-11-30T00:00:00Z,,
337,ACLJ.J,0.77,2000-12-31T00:00:00Z,4296293277,
338,ACLJ.J,0.4275,1999-12-31T00:00:00Z,5001218765,
339,ACLJ.J,0.42,2000-12-31T00:00:00Z,,
340,ACLJ.J,0.39,2000-12-31T00:00:00Z,4296555936,
